date,open,high,low,close,VIXCLS,DTWEXBGS,DFII10,month,ret,ret5,sma20,sma50,fast_raw,fast,slow,prior,mom1,origin_gold,mom3_forecast,vw_forecast,patch_forecast,idma_forecast,vw_dir,patch_dir,idma_dir,level_median,level_gap_pct,mtd_peak,mtd_trough,mtd_dd,mtd_up,vix5,usd5,ry5,down_emg,up_emg,pos,action,reason,evidence_state,turn,strat_ret,equity,signal_day,GVZ_OFFICIAL,gvz5,gvz_q90_252,gvz_stress,event_down,event_up_context,pos_r3,action_r3,reason_r3,equity_r3,turn_r3,evidence_r3,dd_r3,signal_day_r3
2023-01-03,1826.93,1849.94,1823.61,1839.28,,,,2023-01,0.0086481565771505,0.0228564437375569,1799.2445,1750.7472,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0136401191801998,1839.28,1839.28,0.0,0.0,,,,False,False,1,AL,INITIAL_MONTHLY_ANCHOR,ANCHOR_CONFIRMED,0.0,0.0086481565771505,1.0086481565771506,True,17.26,,,False,False,False,1,AL,INITIAL_MONTHLY_ANCHOR,0.999,1,ANCHOR_CONFIRMED,0.0,True
2023-01-12,1875.01,1901.53,1874.44,1896.77,,,,2023-01,0.0114596220297769,0.0350723055934516,1827.726,1781.1080000000002,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0453232617423271,1896.77,1832.5,0.0,0.0350723055934516,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0114596220297769,1.040175266381868,True,15.95,-0.04946364719904661,,False,False,False,1,TUT,HOLD,1.0302255393414816,0,ANCHOR_CONFIRMED,0.0,True
2023-01-13,1896.06,1921.83,1892.22,1920.23,,,,2023-01,0.0123683946920289,0.0291504094670498,1833.3835,1786.8108,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0582522324243155,1920.23,1832.5,0.0,0.04787448840382,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0123683946920289,1.053040564625365,True,16.37,-0.0042579075425790425,,False,False,False,1,TUT,HOLD,1.0429677754338655,0,ANCHOR_CONFIRMED,0.0,True
2023-01-16,1920.0,1928.93,1910.81,1915.41,,,,2023-01,-0.0025101159756903,0.02339137543211,1840.318,1792.5286,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0555958965893972,1920.23,1832.5,-0.0025101159756903,0.045244201909959,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0025101159756903,1.0503973106810491,True,16.37,-0.03250591016548465,,False,False,False,1,TUT,HOLD,1.0403498053586189,0,ANCHOR_CONFIRMED,-0.0025101159756902858,True
2023-01-25,1936.87,1948.03,1919.83,1945.76,,,,2023-01,0.004403194251586,0.0218522700417509,1883.723,1820.7452,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0723219946370674,1945.76,1832.5,0.0,0.061806275579809,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.004403194251586,1.067041036243289,True,16.12,-0.004323656578134716,,False,False,False,1,TUT,HOLD,1.0568343264755777,0,ANCHOR_CONFIRMED,0.0,True
2023-02-02,1950.32,1959.72,1911.27,1912.63,,,,2023-02,-0.0192395456759736,-0.0085222412872523,1913.8055,1841.3234,-1.0,0,1,1,1,1898.0,1983.1537,1905.6621,1913.3991,1910.6701,1.0,1.0,1.0,1912.0346,0.0003113960385445,1950.15,1912.63,-0.0192395456759736,0.0,,,,False,False,1,TUT,HOLD,MIXED_NEUTRAL,0.0,-0.0192395456759736,1.0488727783231242,True,15.14,-0.028864656831302127,,False,False,False,1,TUT,HOLD,1.038839855813145,0,MIXED_NEUTRAL,-0.019239545675973524,True
2023-02-03,1911.74,1918.57,1861.4,1864.97,,,,2023-02,-0.0249185676267756,-0.0320543096334203,1913.762,1843.634,-1.0,-1,1,1,1,1898.0,1983.1537,1905.6621,1913.3991,1910.6701,1.0,1.0,1.0,1912.0346,-0.0246149311314763,1950.15,1864.97,-0.0436786913827141,0.0,,,,False,False,1,TUT,HOLD,EARLY_REVERSAL_FAST,0.0,-0.0249185676267756,1.0227363710645954,True,15.06,-0.011162179908076109,,False,True,False,0,SAT,MACRO_EVENT_DOWN,1.0119405011580629,1,MACRO_EVENT_REVERSAL_DOWN,-0.04463501269133108,True
2023-02-06,1861.68,1881.24,1859.94,1867.25,,,,2023-02,0.0012225397727576,-0.0290315535495142,1913.543,1845.8736,-1.0,-1,0,1,1,1898.0,1983.1537,1905.6621,1913.3991,1910.6701,1.0,1.0,1.0,1912.0346,-0.0234224840910305,1950.15,1864.97,-0.0425095505473938,0.0012225397727576,,,,False,False,1,TUT,HOLD,EARLY_REVERSAL_FAST,0.0,0.0012225397727576,1.0239867069552675,False,15.81,0.014111610006414477,,False,False,False,0,TUT,OVERRIDE_HOLD_CASH,1.0119405011580629,0,TACTICAL_EARLY_REVERSAL,-0.04463501269133108,True
2023-02-13,1864.7,1866.48,1850.44,1853.47,,,,2023-02,-0.006379431426473,-0.0073798366581872,1905.7685,1856.1308,-1.0,-1,-1,1,1,1898.0,1983.1537,1905.6621,1913.3991,1910.6701,1.0,1.0,1.0,1912.0346,-0.0306294666424968,1950.15,1853.47,-0.0495756736661282,0.0,,,,False,False,1,TUT,HOLD,REVERSAL_CONFIRMED_FAST_SLOW,0.0,-0.006379431426473,1.0164298523177833,True,15.58,-0.01454775458570523,,False,False,False,0,TUT,OVERRIDE_HOLD_CASH,1.0119405011580629,0,TACTICAL_REVERSAL_CONFIRMED,-0.04463501269133108,True
