month,gate_pick,gate_forecast,gate_ape,past_mape_pick,past_mape_forecast,past_mape_ape,equal_ensemble,equal_ensemble_ape,always_vw_ape,oracle_pick,oracle_ape,gate_hit
2024-01-01,vw,2030.4200087038976,0.1760074383531187,vw,2030.4200087038976,0.1760074383531187,2034.619575827748,0.0304609551498361,0.1760074383531187,vw,0.1760074383531187,1
2024-02-01,rw,2034.0,0.5437469105289174,vw,2022.5183219524424,0.0238100863844577,2044.8329474822272,1.079236158291011,0.0238100863844689,vw,0.0238100863844577,0
2024-03-01,vw,2010.565215559565,6.832010400390866,vw,2010.565215559565,6.832010400390866,2024.9657151808697,6.164702725631619,6.832010400390866,momentum,5.639894230321779,0
2024-04-01,vw,2242.27194581289,3.806437331064352,vw,2242.27194581289,3.806437331064352,2191.3724593730017,5.990027482925711,3.806437331064352,vw,3.806437331064352,1
2024-05-01,vw,2336.0182158429925,0.6372515592091662,vw,2336.0182158429925,0.6372515592091662,2361.434462756627,0.4438308275894087,0.6372515592091662,patch,0.5622769464453291,0
2024-06-01,patch,2365.413951875324,1.6944949215530556,vw,2386.585518103592,2.604708430936897,2393.960874276019,2.921791671367961,2.604708430936897,rw,1.0748065348237317,0
2024-07-01,rw,2326.0,3.0025020850708923,vw,2301.705566779598,4.015614396180232,2341.42162838418,2.3593983159224474,4.015614396180232,momentum,0.4769117288209837,0
2024-08-01,rw,2398.0,2.91497975708502,vw,2412.8600717388654,2.313357419479135,2413.6632845596923,2.2808386817938326,2.313357419479135,patch,1.9153116407721469,0
2024-09-01,rw,2470.0,3.928432516530533,vw,2518.429866530118,2.0447348685290536,2499.443449646465,2.783218605738408,2.0447348685290536,vw,2.0447348685290536,0
2024-10-01,vw,2665.597035169788,0.907173413762532,vw,2665.597035169788,0.907173413762532,2626.234935327684,2.3704485008295886,0.907173413762532,vw,0.907173413762532,1
2024-11-01,vw,2797.0198791330563,5.508105587818042,vw,2797.0198791330563,5.508105587818042,2746.2915934814105,3.5945527529766306,5.508105587818042,rw,1.4711429649188985,0
2024-12-01,patch,2661.482269504381,0.5091491504675543,vw,2622.440982491364,0.9652196944348892,2662.5366031194617,0.5489653746020274,0.9652196944348892,rw,0.1132930513595166,0
2025-01-01,momentum,2675.058766588142,1.2893444063416186,vw,2630.384223071911,2.937851547161954,2653.888901408915,2.070520243213469,2.937851547161954,momentum,1.2893444063416186,1
2025-02-01,momentum,2717.0316438495006,6.147438899844539,vw,2813.287195284256,2.822549385690636,2741.9879776062367,5.285389374568682,2.822549385690636,vw,2.822549385690636,0
2025-03-01,vw,2895.728431325841,2.92563086403483,vw,2895.728431325841,2.92563086403483,2930.100232738731,1.7733746986680878,2.92563086403483,momentum,0.0208262185508853,0
2025-04-01,vw,3140.720430986016,2.401478216717968,vw,3140.720430986016,2.401478216717968,3069.508619656242,4.6143996377799255,2.401478216717982,vw,2.401478216717968,1
2025-05-01,vw,3269.596230480286,1.1908059691663322,vw,3269.596230480286,1.1908059691663322,3292.5726426747124,0.4964447665544766,1.1908059691663322,patch,1.0469174500207663,0
2025-06-01,patch,3292.506408740868,1.8041631750412104,vw,3352.0436718789483,0.0285215663898503,3353.5408528685907,0.0161304165997828,0.0285215663898503,vw,0.0285215663898503,0
2025-07-01,vw,3335.225640273718,0.142944901984491,vw,3335.225640273718,0.142944901984491,3394.486702154731,1.6313383878662011,0.142944901984491,vw,0.142944901984491,1
2025-08-01,momentum,3381.970860225313,0.4148117644095344,vw,3334.3874496829144,0.9979973372056296,3366.4254941760955,0.0467489852703228,0.9979973372056296,momentum,0.4148117644095344,1
2025-09-01,vw,3437.281350756227,6.28186344620504,vw,3437.281350756227,6.28186344620504,3395.5478590126227,7.419735118313953,6.28186344620504,vw,6.28186344620504,1
2025-10-01,patch,3707.6445467011386,8.641127096585576,vw,3793.899005736081,6.51575880384096,3737.798561260971,7.898111753825564,6.51575880384096,vw,6.51575880384096,0
2025-11-01,patch,4081.458791387118,0.1355813215777392,vw,4100.804039448968,0.3377548189128473,4143.679478333859,1.3868235462162748,0.3377548189128473,patch,0.1355813215777392,1
2025-12-01,rw,4087.0,5.152007426317011,vw,4220.7454739139785,2.048144026131853,4198.710050927774,2.5595253903974395,2.048144026131853,momentum,1.2519576011236786,0
2026-01-01,patch,4360.65041761,8.254777664422475,vw,4294.39675481,9.648711239006944,4378.549919315,7.878183898274776,9.64871124,momentum,4.267778143488325,0
2026-02-01,patch,4918.79269951,2.016081683067735,vw,4860.62401771,3.174820364342632,4886.47946915,2.659771530876492,3.17482036,momentum,0.1294589764940241,0
2026-03-01,patch,5092.11234674,4.862280616556842,vw,5178.73417594,6.646090937808889,5167.039923175,6.405270246602138,6.64609094,rw,3.3772652388797364,0
2026-04-01,momentum,5060.83558668,7.1983814166490205,vw,4739.06505269,0.3826530965897035,4877.029722065,3.3050142356492263,0.3826531,vw,0.3826530965897035,0
2026-05-01,momentum,4714.24120498,2.773952582951811,vw,4668.48622947,1.776460202092864,4702.375061365,2.5152618566601257,1.7764602,vw,1.776460202092864,0
2026-06-01,momentum,4451.14254182,5.277732777199614,vw,4609.68325191,9.027513053689685,4563.05334429,7.92462971357615,9.02751305,momentum,5.277732777199614,1
2026-07-01,momentum,4038.51634964,0.8466400775840892,vw,4243.43756026,4.184570593174572,4197.268117395,3.0510217872575383,4.18457059,momentum,0.8466400775840892,1
