month,prior,end_pos,strategy_return,buyhold_return,turns,actions
2023-01,1,1,0.057438675960098884,0.04837218911748087,0,2023-01-03 AL(INITIAL_MONTHLY_ANCHOR)
2023-02,1,1,-0.0526902631920132,-0.0633284619131862,0,-
2023-03,1,1,0.07757370048996748,0.07194593299350838,0,-
2023-04,1,1,0.010866969797038939,0.0030094214551081855,0,-
2023-05,1,1,-0.013700282448963264,-0.009998486606467183,0,-
2023-06,1,1,-0.02194162488280127,-0.029340966097580745,0,-
2023-07,1,1,0.02379364599722833,0.022802506662225053,0,-
2023-08,-1,0,-0.011625467535838041,-0.0021396865564934364,1,2023-08-01 SAT(MONTHLY_PRIOR_CHANGE)
2023-09,-1,0,0.0,-0.04728597863007766,0,-
2023-10,-1,1,0.025197380744175213,0.08518228724946786,1,2023-10-13 AL(FROZEN_EMERGENCY_UP)
2023-11,-1,1,0.026486292977829784,0.027315069460914554,0,-
2023-12,1,1,0.013203524869586314,-0.004445173776853273,0,-
