dd,r5,sma,stress,stress_thr,period,n,needs,triggers,corrected,damaged,precision,recall,false_rate,utility
-0.05,-0.02,50,VIX,0.2,DEV,77,36,3,2,1,0.6666666666666666,0.05555555555555555,0.024390243902439025,1
-0.05,-0.02,50,VIX,0.2,VAL,9,6,1,1,0,1.0,0.16666666666666666,0.0,1
-0.05,-0.02,50,VIX,0.2,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.02,50,VIX,0.2,LOCK,27,7,1,1,0,1.0,0.14285714285714285,0.0,1
-0.05,-0.02,50,USD_OR_RY,0.1,DEV,77,36,12,7,5,0.5833333333333334,0.19444444444444445,0.12195121951219512,2
-0.05,-0.02,50,USD_OR_RY,0.1,VAL,9,6,1,1,0,1.0,0.16666666666666666,0.0,1
-0.05,-0.02,50,USD_OR_RY,0.1,TEST2023,8,3,1,1,0,1.0,0.3333333333333333,0.0,1
-0.05,-0.02,50,USD_OR_RY,0.1,LOCK,27,7,3,3,0,1.0,0.42857142857142855,0.0,3
-0.05,-0.02,50,USD_OR_RY,0.2,DEV,77,36,12,7,5,0.5833333333333334,0.19444444444444445,0.12195121951219512,2
-0.05,-0.02,50,USD_OR_RY,0.2,VAL,9,6,1,1,0,1.0,0.16666666666666666,0.0,1
-0.05,-0.02,50,USD_OR_RY,0.2,TEST2023,8,3,1,1,0,1.0,0.3333333333333333,0.0,1
-0.05,-0.02,50,USD_OR_RY,0.2,LOCK,27,7,3,3,0,1.0,0.42857142857142855,0.0,3
-0.05,-0.02,50,VIX_OR_MACRO,0.1,DEV,77,36,12,7,5,0.5833333333333334,0.19444444444444445,0.12195121951219512,2
-0.05,-0.02,50,VIX_OR_MACRO,0.1,VAL,9,6,1,1,0,1.0,0.16666666666666666,0.0,1
-0.05,-0.02,50,VIX_OR_MACRO,0.1,TEST2023,8,3,1,1,0,1.0,0.3333333333333333,0.0,1
-0.05,-0.02,50,VIX_OR_MACRO,0.1,LOCK,27,7,3,3,0,1.0,0.42857142857142855,0.0,3
-0.05,-0.02,50,VIX_OR_MACRO,0.2,DEV,77,36,12,7,5,0.5833333333333334,0.19444444444444445,0.12195121951219512,2
-0.05,-0.02,50,VIX_OR_MACRO,0.2,VAL,9,6,1,1,0,1.0,0.16666666666666666,0.0,1
-0.05,-0.02,50,VIX_OR_MACRO,0.2,TEST2023,8,3,1,1,0,1.0,0.3333333333333333,0.0,1
-0.05,-0.02,50,VIX_OR_MACRO,0.2,LOCK,27,7,3,3,0,1.0,0.42857142857142855,0.0,3
-0.05,-0.04,20,NONE,0.1,DEV,77,36,11,5,6,0.45454545454545453,0.1388888888888889,0.14634146341463414,-1
-0.05,-0.04,20,NONE,0.1,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,NONE,0.1,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,NONE,0.1,LOCK,27,7,4,2,2,0.5,0.2857142857142857,0.1,0
-0.05,-0.04,20,NONE,0.2,DEV,77,36,11,5,6,0.45454545454545453,0.1388888888888889,0.14634146341463414,-1
-0.05,-0.04,20,NONE,0.2,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,NONE,0.2,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,NONE,0.2,LOCK,27,7,4,2,2,0.5,0.2857142857142857,0.1,0
-0.05,-0.04,20,VIX,0.1,DEV,77,36,5,2,3,0.4,0.05555555555555555,0.07317073170731707,-1
-0.05,-0.04,20,VIX,0.1,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,VIX,0.1,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,VIX,0.1,LOCK,27,7,1,1,0,1.0,0.14285714285714285,0.0,1
-0.05,-0.04,20,VIX,0.2,DEV,77,36,4,2,2,0.5,0.05555555555555555,0.04878048780487805,0
-0.05,-0.04,20,VIX,0.2,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,VIX,0.2,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,VIX,0.2,LOCK,27,7,1,1,0,1.0,0.14285714285714285,0.0,1
-0.05,-0.04,20,USD_OR_RY,0.1,DEV,77,36,10,4,6,0.4,0.1111111111111111,0.14634146341463414,-2
-0.05,-0.04,20,USD_OR_RY,0.1,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,USD_OR_RY,0.1,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,USD_OR_RY,0.1,LOCK,27,7,4,2,2,0.5,0.2857142857142857,0.1,0
-0.05,-0.04,20,USD_OR_RY,0.2,DEV,77,36,10,4,6,0.4,0.1111111111111111,0.14634146341463414,-2
-0.05,-0.04,20,USD_OR_RY,0.2,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,USD_OR_RY,0.2,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,USD_OR_RY,0.2,LOCK,27,7,4,2,2,0.5,0.2857142857142857,0.1,0
-0.05,-0.04,20,VIX_OR_MACRO,0.1,DEV,77,36,10,4,6,0.4,0.1111111111111111,0.14634146341463414,-2
-0.05,-0.04,20,VIX_OR_MACRO,0.1,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,VIX_OR_MACRO,0.1,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,VIX_OR_MACRO,0.1,LOCK,27,7,4,2,2,0.5,0.2857142857142857,0.1,0
-0.05,-0.04,20,VIX_OR_MACRO,0.2,DEV,77,36,10,4,6,0.4,0.1111111111111111,0.14634146341463414,-2
-0.05,-0.04,20,VIX_OR_MACRO,0.2,VAL,9,6,2,1,1,0.5,0.16666666666666666,0.3333333333333333,0
-0.05,-0.04,20,VIX_OR_MACRO,0.2,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,20,VIX_OR_MACRO,0.2,LOCK,27,7,4,2,2,0.5,0.2857142857142857,0.1,0
-0.05,-0.04,50,NONE,0.1,DEV,77,36,8,5,3,0.625,0.1388888888888889,0.07317073170731707,2
-0.05,-0.04,50,NONE,0.1,VAL,9,6,1,1,0,1.0,0.16666666666666666,0.0,1
-0.05,-0.04,50,NONE,0.1,TEST2023,8,3,0,0,0,,0.0,0.0,0
-0.05,-0.04,50,NONE,0.1,LOCK,27,7,2,2,0,1.0,0.2857142857142857,0.0,2
-0.05,-0.04,50,NONE,0.2,DEV,77,36,8,5,3,0.625,0.1388888888888889,0.07317073170731707,2
