date,open,high,low,close,month,ret,sma20,fast_raw,fast,slow,prior,pos,turn,strat_ret,equity
2023-01-03,1826.93,1849.94,1823.61,1839.28,2023-01,0.008648156577150568,1799.2445,1.0,1,1,1,1,0.0,0.008648156577150568,1.0086481565771506
2023-01-04,1838.81,1865.11,1836.1,1854.32,2023-01,0.008177112783263052,1803.527,1.0,1,1,1,1,0.0,0.008177112783263052,1.0168959863121123
2023-01-05,1854.3,1859.01,1825.06,1832.5,2023-01,-0.011767116786746579,1806.6119999999999,1.0,1,1,1,1,0.0,-0.011767116786746579,1.004930052481204
2023-01-06,1829.99,1869.83,1829.99,1865.84,2023-01,0.01819372442019085,1810.6050000000002,1.0,1,1,1,1,0.0,0.01819372442019085,1.0232134729176148
2023-01-09,1866.66,1881.51,1866.22,1871.63,2023-01,0.003103159970844427,1814.7325,1.0,1,1,1,1,0.0,0.003103159970844427,1.0263886680084013
2023-01-10,1871.37,1880.71,1867.82,1876.7,2023-01,0.0027088687400822486,1818.712,1.0,1,1,1,1,0.0,0.0027088687400822486,1.029169020186344
2023-01-11,1876.54,1886.61,1867.12,1875.28,2023-01,-0.0007566473064422041,1823.4184999999998,1.0,1,1,1,1,0.0,-0.0007566473064422041,1.0283903022193461
2023-01-12,1875.01,1901.53,1874.44,1896.77,2023-01,0.011459622029776906,1827.726,1.0,1,1,1,1,0.0,0.011459622029776906,1.040175266381868
2023-01-13,1896.06,1921.83,1892.22,1920.23,2023-01,0.012368394692028994,1833.3835,1.0,1,1,1,1,0.0,0.012368394692028994,1.0530405646253653
2023-01-16,1920.0,1928.93,1910.81,1915.41,2023-01,-0.002510115975690397,1840.318,1.0,1,1,1,1,0.0,-0.002510115975690397,1.0503973106810491
2023-01-17,1915.02,1918.97,1903.76,1908.51,2023-01,-0.0036023618964086124,1846.0915,1.0,1,1,1,1,0.0,-0.0036023618964086124,1.0466133994329616
2023-01-18,1908.34,1925.8,1896.56,1904.15,2023-01,-0.002284504665943543,1851.9230000000002,1.0,1,1,1,1,0.0,-0.002284504665943543,1.044222406238518
2023-01-19,1904.33,1935.13,1900.92,1932.08,2023-01,0.014667962082818953,1857.6375,1.0,1,1,1,1,0.0,0.014667962082818953,1.0595390208992546
2023-01-20,1931.79,1937.48,1920.67,1925.8,2023-01,-0.0032503830069148254,1863.2295000000001,1.0,1,1,1,1,0.0,-0.0032503830069148254,1.0560951132705605
2023-01-23,1925.31,1935.49,1911.36,1930.81,2023-01,0.0026015162529857694,1870.152,1.0,1,1,1,1,0.0,0.0026015162529857694,1.0588425618724326
2023-01-24,1930.36,1942.46,1917.12,1937.23,2023-01,0.003325029391809675,1877.1045000000001,1.0,1,1,1,1,0.0,0.003325029391809675,1.0623632445119575
2023-01-25,1936.87,1948.03,1919.83,1945.76,2023-01,0.0044031942515860845,1883.723,1.0,1,1,1,1,0.0,0.0044031942515860845,1.067041036243289
2023-01-26,1946.22,1949.05,1918.67,1929.07,2023-01,-0.008577625195296479,1889.9739999999997,1.0,1,1,1,1,0.0,-0.008577625195296479,1.0578883581663932
2023-01-27,1928.48,1935.02,1916.62,1926.73,2023-01,-0.0012130197452657754,1895.5805,1.0,1,1,1,1,0.0,-0.0012130197452657754,1.0566051186996506
2023-01-30,1928.02,1934.4,1920.65,1923.08,2023-01,-0.0018944013951098793,1900.559,1.0,1,1,1,1,0.0,-0.0018944013951098793,1.0546034844887058
2023-01-31,1921.81,1931.03,1900.83,1928.25,2023-01,0.0026883956985668256,1905.0075000000002,1.0,1,1,1,1,0.0,0.0026883956985668256,1.0574386759600989
2023-02-01,1928.02,1954.42,1920.49,1950.15,2023-02,0.011357448463632958,1909.7990000000002,1.0,1,1,1,1,0.0,0.011357448463632958,1.069448481225768
