date,close,action_r3,reason_r3,prior,fast,slow,event_down,event_up_context,down_emg,up_emg,GVZ_OFFICIAL,gvz_stress,equity_r3
2023-01-03,1839.28,AL,INITIAL_MONTHLY_ANCHOR,1,1,1,False,False,False,False,17.26,False,0.999
2023-02-03,1864.97,SAT,MACRO_EVENT_DOWN,1,-1,1,True,False,False,False,15.06,False,1.0119405011580629
2023-03-01,1836.24,AL,MONTHLY_ORIGIN_REEVALUATION,1,-1,-1,False,False,False,False,14.16,False,1.0109285606569047
2023-08-01,1944.21,SAT,MONTHLY_ORIGIN_REEVALUATION,-1,0,1,False,False,False,False,11.83,False,1.0693002872706459
2023-10-13,1932.61,AL,PRICE_EMERGENCY_UP,-1,0,-1,False,False,False,True,18.91,True,1.0682309869833753
2023-11-01,1981.69,SAT,MONTHLY_ORIGIN_REEVALUATION,-1,1,1,False,False,False,False,15.36,False,1.094264110156985
2023-11-28,2040.7,AL,PRICE_EMERGENCY_UP,-1,1,1,False,False,False,True,15.54,False,1.093169846046828
