month,mom3_prior,actual_dir_completed,main_model_context,monthly_forecast,last_daily_close,end_pos,actions
2026-01,1,1.0,patch,4360.65041761,4886.27,1,2026-01-02 AL(INITIAL_MONTHLY_ANCHOR)
2026-02,1,1.0,patch,4918.79269951,5280.23,1,-
2026-03,1,-1.0,patch,5092.11234674,4668.29,0,2026-03-18 SAT(MACRO_EVENT_DOWN)
2026-04,1,-1.0,momentum,5060.83558668,4566.37,0,2026-04-01 AL(MONTHLY_ORIGIN_REEVALUATION); 2026-04-30 SAT(MACRO_EVENT_DOWN)
2026-05,-1,-1.0,momentum,4714.24120498,4541.06,1,2026-05-12 AL(PRICE_EMERGENCY_UP)
2026-06,-1,-1.0,momentum,4451.14254182,4014.85,0,2026-06-01 SAT(MONTHLY_ORIGIN_REEVALUATION)
2026-07,-1,-1.0,momentum,4038.51634964,4046.57,0,-
2026-08,-1,,AUG_CONTEXT,,4593.71,1,2026-08-06 AL(PRICE_EMERGENCY_UP)
