origin,target,origin_end,origin_price,target_price,actual_dir,mom3_dir,mom1_dir,week_label,week_end,weekly_close,sma4,gap_pct,raw_dir,slow_dir,raw_persistence,conflict,conflict_strength,gap_accel,oriented_weekly_ret,vol8,strength_z
2025-12,2026-01,2025-12-31,4309.0,4753.0,1,1,1,2025-12-21,2025-12-26,4529.82,4341.5275,0.0433701041856811,1,1,7,0,-0.0433701041856811,-0.025919932920476008,0.04415595192542621,0.01908920847582746,-2.271969748803382
2026-01,2026-02,2026-01-31,4753.0,5020.0,1,1,1,2026-01-25,2026-01-30,4886.27,4744.4425,0.029893396326333477,1,1,4,0,-0.029893396326333477,0.05284180673400929,-0.0202181628601793,0.03975961059886169,-0.751853347557416
2026-02,2026-03,2026-02-28,5020.0,4856.0,-1,1,1,2026-02-22,2026-02-27,5280.23,5099.3675,0.03546763397617436,1,1,8,0,-0.03546763397617436,-0.014064890157714727,0.03373591155678146,0.03010989098005528,-1.1779396345097377
2026-03,2026-04,2026-03-31,4856.0,4721.0,-1,1,-1,2026-03-22,2026-03-27,4495.1,4796.547500000001,-0.06284676634600206,-1,-1,3,1,0.06284676634600206,-0.03624733459474705,0.0006602831881227234,0.043355607568313394,1.4495648860871655
2026-04,2026-05,2026-04-30,4721.0,4587.0,-1,-1,-1,2026-04-19,2026-04-24,4698.4,4747.635,-0.01037042653868725,-1,0,1,0,-0.01037042653868725,-0.046727017501489554,,0.04517857121322463,-0.22954303910460158
2026-05,2026-06,2026-05-31,4587.0,4228.0,-1,-1,-1,2026-05-24,2026-05-29,4541.06,4603.62,-0.013589305807168994,-1,-1,6,0,-0.013589305807168994,0.011613455300971798,-0.007324690996530769,0.023271764494597533,-0.5839396411184768
2026-06,2026-07,2026-06-30,4228.0,4073.0,-1,-1,-1,2026-06-21,2026-06-26,4017.04,4221.7125,-0.048480918584579036,-1,-1,10,0,-0.048480918584579036,-0.011054299466752182,0.04123576009413321,0.024465308274653735,-1.9816189536759556
