release_k,dev_net,dev_mdd,dev_turns,val_net,val_mdd,val_turns,dominates_baseline
1,0.09121732585059261,-0.46580617572675165,87,0.040740281044284066,-0.11491460614754978,18,True
2,0.08721389693993631,-0.46728207541748734,87,0.04741321701128465,-0.10923968583738586,18,True
3,0.08648536935374196,-0.46414683139662904,83,0.04668251390362954,-0.10986110374501035,18,True
5,0.06585086358051462,-0.4743237427596638,83,0.03217165933988575,-0.12220169021082905,18,False
0,0.08216248699278594,-0.473528758491069,77,0.034236588587133854,-0.12044559529515575,14,False
