date,open,high,low,close,VIXCLS,DTWEXBGS,DFII10,month,ret,ret5,sma20,sma50,fast_raw,fast,slow,prior,mom1,origin_gold,mom3_forecast,vw_forecast,patch_forecast,idma_forecast,vw_dir,patch_dir,idma_dir,level_median,level_gap_pct,mtd_peak,mtd_trough,mtd_dd,mtd_up,vix5,usd5,ry5,down_emg,up_emg,pos,action,reason,evidence_state,turn,strat_ret,equity,signal_day,GVZ_OFFICIAL,gvz5,gvz_q90_252,gvz_stress,event_down,event_up_context,pos_r3,action_r3,reason_r3,equity_r3,turn_r3,evidence_r3,dd_r3,signal_day_r3
2023-01-03,1826.93,1849.94,1823.61,1839.28,,,,2023-01,0.0086481565771505,0.0228564437375569,1799.2445,1750.7472,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0136401191801998,1839.28,1839.28,0.0,0.0,,,,False,False,1,AL,INITIAL_MONTHLY_ANCHOR,ANCHOR_CONFIRMED,0.0,0.0086481565771505,1.0086481565771506,True,17.26,,,False,False,False,1,AL,INITIAL_MONTHLY_ANCHOR,0.999,1,ANCHOR_CONFIRMED,0.0,True
2023-01-04,1838.81,1865.11,1836.1,1854.32,,,,2023-01,0.008177112783263,0.0225709858331633,1803.527,1754.8422,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0219287687563762,1854.32,1839.28,0.0,0.008177112783263,,,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.008177112783263,1.0168959863121123,False,17.35,,,False,False,False,1,TUT,HOLD,1.0071689356704798,0,ANCHOR_CONFIRMED,0.0,False
2023-01-05,1854.3,1859.01,1825.06,1832.5,,,,2023-01,-0.0117671167867465,0.0157700728915495,1806.612,1758.4356,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0099036135866839,1854.32,1832.5,-0.0117671167867465,0.0,,,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0117671167867465,1.004930052481204,False,16.78,,,False,False,False,1,TUT,HOLD,0.9953174611804622,0,ANCHOR_CONFIRMED,-0.011767116786746468,False
2023-01-06,1829.99,1869.83,1829.99,1865.84,,,,2023-01,0.0181937244201908,0.028237628127411,1810.605,1762.4642,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0282775216232351,1865.84,1832.5,0.0,0.0181937244201908,,,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0181937244201908,1.0232134729176148,False,16.44,,,False,False,False,1,TUT,HOLD,1.0134259927797835,0,ANCHOR_CONFIRMED,0.0,False
2023-01-09,1866.66,1881.51,1866.22,1871.63,,,,2023-01,0.0031031599708444,0.0263886680084013,1814.7325,1766.6364,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0314684312672552,1871.63,1832.5,0.0,0.0213533424283765,,,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0031031599708444,1.0263886680084011,False,16.92,,,False,False,False,1,TUT,HOLD,1.016570815753991,0,ANCHOR_CONFIRMED,0.0,False
2023-01-10,1871.37,1880.71,1867.82,1876.7,,,,2023-01,0.0027088687400822,0.0203449175764429,1818.712,1771.289,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0342625438570967,1876.7,1832.5,0.0,0.0241200545702593,,,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0027088687400822,1.029169020186344,False,16.59,-0.03881807647740454,,False,False,False,1,TUT,HOLD,1.019324572658867,0,ANCHOR_CONFIRMED,0.0,False
2023-01-11,1876.54,1886.61,1867.12,1875.28,,,,2023-01,-0.0007566473064422,0.0113033349152249,1823.4185,1776.1274,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0334799718891332,1876.7,1832.5,-0.0007566473064422,0.0233451568894951,,,,False,False,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0007566473064422,1.028390302219346,False,16.32,-0.05936599423631128,,False,False,False,1,TUT,HOLD,1.0185533034665741,0,ANCHOR_CONFIRMED,-0.0007566473064423151,False
2023-01-12,1875.01,1901.53,1874.44,1896.77,,,,2023-01,0.0114596220297769,0.0350723055934516,1827.726,1781.1080000000002,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0453232617423271,1896.77,1832.5,0.0,0.0350723055934516,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0114596220297769,1.040175266381868,True,15.95,-0.04946364719904661,,False,False,False,1,TUT,HOLD,1.0302255393414816,0,ANCHOR_CONFIRMED,0.0,True
2023-01-13,1896.06,1921.83,1892.22,1920.23,,,,2023-01,0.0123683946920289,0.0291504094670498,1833.3835,1786.8108,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0582522324243155,1920.23,1832.5,0.0,0.04787448840382,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,0.0123683946920289,1.053040564625365,True,16.37,-0.0042579075425790425,,False,False,False,1,TUT,HOLD,1.0429677754338655,0,ANCHOR_CONFIRMED,0.0,True
2023-01-16,1920.0,1928.93,1910.81,1915.41,,,,2023-01,-0.0025101159756903,0.02339137543211,1840.318,1792.5286,1.0,1,1,1,1,1798.0,1839.3504,1823.0737,1799.3105,1805.9855,1.0,1.0,1.0,1814.5296,0.0555958965893972,1920.23,1832.5,-0.0025101159756903,0.045244201909959,,,,False,True,1,TUT,HOLD,ANCHOR_CONFIRMED,0.0,-0.0025101159756903,1.0503973106810491,True,16.37,-0.03250591016548465,,False,False,False,1,TUT,HOLD,1.0403498053586189,0,ANCHOR_CONFIRMED,-0.0025101159756902858,True
