persist,release,eligible,dev_net,dev_mdd,dev_turns,val_net,val_mdd,val_turns,val_utility
1,1,False,0.30523099741761417,-0.3229737550163708,149,-0.14716430888926446,-0.22668794746348297,28,-0.26050828262100595
1,2,False,0.39771725393985924,-0.3055353062462367,143,-0.1288258038592156,-0.20902762203530278,28,-0.233339614876867
1,3,False,0.3282252724265955,-0.34426590123617296,141,-0.13242086416068632,-0.19958911164656223,28,-0.23221541998396744
2,1,False,0.2713767435413399,-0.3301344183137611,147,-0.13470660349844765,-0.21116754992312026,28,-0.24029037846000778
2,2,False,0.3499782698320537,-0.3128804097496001,141,-0.11610022073373905,-0.1931527812007512,28,-0.21267661133411464
2,3,False,0.2828597845260712,-0.3512013651545326,139,-0.11974779549088266,-0.18409442931625952,28,-0.21179501014901242
3,1,False,0.36042777125844827,-0.3140103942407102,143,-0.1255971961398521,-0.19686568772358615,26,-0.22403004000164517
3,2,False,0.46174766774448606,-0.3041957981510828,137,-0.10679493401126472,-0.17852430371073302,26,-0.19605708586663123
3,3,False,0.3890722095159811,-0.3355844337987266,135,-0.11048090874287864,-0.1687218035103153,26,-0.19484181049803628
