origin_index,origin_date,target_date,y,p_cal,p_raw,p_50,p_frequency,p_fast_only,p_static_logistic,p_equal_candidates,config_id,ridge_lambda,state_discount,dma_alpha,calibration_n,calibration_intercept,calibration_slope,direction,candidate_weights
120,2025-09-16,2025-09-17,0,0.4755541724318577,0.6233768568150079,0.5,0.5743801652892562,0.5556361395429968,0.5307930416799901,0.6232848244068534,L4_D0.97_A0.95,4.0,0.97,0.95,60,0.553152367079672,-1.2919343617024102,UNCERTAIN,"[0.350788088207024,0.324678774792858,0.3245331370001179]"
121,2025-09-17,2025-09-18,0,0.5669354746126636,0.5561002087818376,0.5,0.569672131147541,0.5493579483637833,0.5226599506571047,0.5558401473287614,L4_D0.99_A0.95,4.0,0.99,0.95,61,0.513540203444457,-1.0835669112799167,UNCERTAIN,"[0.35020744697798484,0.32859216567522276,0.32120038734679235]"
122,2025-09-18,2025-09-19,1,0.569904375369441,0.5440694517351967,0.5,0.5650406504065041,0.5432187058766682,0.5147720759840031,0.5439142288539189,L4_D0.99_A0.95,4.0,0.99,0.95,62,0.46634710991566053,-1.0461120397666994,UNCERTAIN,"[0.3421440771618195,0.3315651607954574,0.32629076204272317]"
123,2025-09-19,2025-09-22,1,0.5671971699658214,0.5539584617200458,0.5,0.5685483870967742,0.5482670504954931,0.5219861563219703,0.5537324753407904,L4_D0.99_A0.95,4.0,0.99,0.95,63,0.5111122915304085,-1.1108095506719218,UNCERTAIN,"[0.3482957105959625,0.3291157396262499,0.3225885497777876]"
124,2025-09-22,2025-09-23,1,0.5635461983470123,0.5634556580787293,0.5,0.572,0.5532042012432205,0.5289887521159884,0.563199235984852,L4_D0.99_A0.95,4.0,0.99,0.95,64,0.5477795336971196,-1.1450401892523159,UNCERTAIN,"[0.35319582040302544,0.32718071890310907,0.3196234606938655]"
125,2025-09-23,2025-09-24,0,0.482526174765783,0.6217617159287585,0.5,0.5753968253968254,0.5580337224807201,0.5357883858683835,0.6217016884870725,L4_D0.97_A0.95,4.0,0.97,0.95,65,0.5912489889206208,-1.3302403814210424,UNCERTAIN,"[0.34853585124532777,0.3257922714157566,0.32567187733891556]"
126,2025-09-24,2025-09-25,1,0.5648819433485008,0.5608566866633276,0.5,0.5708661417322834,0.5520661791350834,0.5281636228948153,0.5606380925107877,L4_D0.99_A0.95,4.0,0.99,0.95,66,0.5498671077998974,-1.1807889602692185,UNCERTAIN,"[0.3504224150312773,0.3280582004002953,0.3215193845684273]"
127,2025-09-25,2025-09-26,1,0.4891117913231349,0.6132083387627594,0.5,0.57421875,0.5568057562056948,0.5347841522586396,0.6131522769282857,L4_D0.97_A0.95,4.0,0.97,0.95,67,0.616253389361527,-1.4318284796457867,UNCERTAIN,"[0.3469070464426986,0.3265983479960565,0.3264946055612449]"
128,2025-09-26,2025-09-29,1,0.49112234759367035,0.627250171411528,0.5,0.5775193798449613,0.5614452386386294,0.5412203498180176,0.6272090636619593,L4_D0.97_A0.95,4.0,0.97,0.95,68,0.5905083144183139,-1.2028766130736093,UNCERTAIN,"[0.3476704175752654,0.32622098039673153,0.3261086020280031]"
129,2025-09-29,2025-09-30,1,0.5039868235384097,0.6405805971273926,0.5,0.5807692307692308,0.5659877123953247,0.5474793720460225,0.6405547086652127,L4_D0.97_A0.95,4.0,0.97,0.95,69,0.551655598949667,-0.9270148517081014,UNCERTAIN,"[0.3479305521509322,0.32609361590083996,0.3259758319482278]"
