origin_index,origin_date,target_date,y,return,p,p50,pfreq,config,calibration_n
213,2025-01-03,2025-01-21,1,0.03912616477817721,0.6098144311177587,0.5,0.5778301886792453,LOGIT_C01,69
214,2025-01-08,2025-01-22,1,0.034916699680656284,0.6338031097458872,0.5,0.57981220657277,LOGIT_C01,70
215,2025-01-09,2025-01-23,1,0.03114935295978928,0.6339224243758463,0.5,0.5817757009345794,LOGIT_C01,71
216,2025-01-21,2025-02-03,1,0.02514023220926525,0.6379037026119757,0.5,0.5837209302325581,LOGIT_C01,72
217,2025-01-22,2025-02-14,1,0.04478264500615303,0.6473409673885664,0.5,0.5856481481481481,LOGIT_C01,73
218,2025-01-23,2025-02-21,1,0.06370154397510114,0.6482762855675088,0.5,0.5875576036866359,LOGIT_C01,74
219,2025-02-03,2025-02-25,1,0.03500053996686835,0.6570351351172591,0.5,0.5894495412844036,LOGIT_C01,75
220,2025-02-14,2025-02-28,0,-0.008742262561615328,0.6667980013390704,0.5,0.591324200913242,LOGIT_C01,76
221,2025-02-21,2025-03-05,0,-0.00584801015196727,0.6704512069276831,0.5,0.5931818181818181,LOGIT_C01,77
222,2025-02-25,2025-03-06,0,-0.001318160306089214,0.6778728472639445,0.5,0.5950226244343891,LOGIT_C01,78
223,2025-02-28,2025-03-13,1,0.04499253720807944,0.6581658074795006,0.5,0.5923423423423423,LOGIT_C01,79
224,2025-03-05,2025-03-14,1,0.022385785403421937,0.6494783792164895,0.5,0.5896860986547086,LOGIT_C01,80
225,2025-03-06,2025-03-17,1,0.030484373134720664,0.6226873932109256,0.5,0.5870535714285714,LOGIT_C01,81
226,2025-03-13,2025-03-18,1,0.015002549753197281,0.6574064381003855,0.5,0.5888888888888889,LOGIT_C01,82
227,2025-03-14,2025-03-21,1,0.012917726827886538,0.6410597957826535,0.5,0.5907079646017699,LOGIT_C01,83
228,2025-03-17,2025-03-25,1,0.0062479120424632035,0.6534644508707717,0.5,0.5925110132158591,LOGIT_C01,84
229,2025-03-18,2025-03-27,1,0.007443945323403225,0.6474400292132213,0.5,0.5942982456140351,LOGIT_C01,85
230,2025-03-21,2025-04-01,1,0.029496036141922415,0.6544817049975414,0.5,0.5960698689956332,LOGIT_C01,86
231,2025-03-25,2025-04-03,1,0.03068622061668438,0.6595307259453199,0.5,0.5978260869565217,LOGIT_C01,87
232,2025-03-27,2025-04-04,0,-0.006110004622984857,0.6637020892770409,0.5,0.5995670995670995,LOGIT_C01,88
233,2025-04-01,2025-04-09,0,-0.010068660591937858,0.6667988431940756,0.5,0.6012931034482759,LOGIT_C01,89
234,2025-04-03,2025-04-11,1,0.03906151786998227,0.6737276749696909,0.5,0.6030042918454935,LOGIT_C01,90
235,2025-04-04,2025-04-17,1,0.09056887593107231,0.6739357912429549,0.5,0.6004273504273504,LOGIT_C01,91
236,2025-04-09,2025-04-21,1,0.10450066702894993,0.6750713351118617,0.5,0.597872340425532,LOGIT_C01,92
237,2025-04-11,2025-04-24,1,0.035407450518622124,0.6790622229252765,0.5,0.5995762711864406,LOGIT_C01,93
238,2025-04-17,2025-04-25,0,-0.0029778011884494734,0.6864988430523281,0.5,0.6012658227848101,LOGIT_C01,94
239,2025-04-21,2025-04-28,0,-0.023261330480212353,0.7085012347463456,0.5,0.6029411764705882,LOGIT_C01,95
240,2025-04-24,2025-04-30,0,-0.018926680905291933,0.6991412977145489,0.5,0.604602510460251,LOGIT_C01,96
241,2025-04-25,2025-05-01,0,-0.02369621503033429,0.704659175800502,0.5,0.6020833333333333,LOGIT_C01,97
242,2025-04-28,2025-05-02,0,-0.02703604585915297,0.6625680104634212,0.5,0.5995850622406639,LOGIT_C01,98
243,2025-04-30,2025-05-05,1,0.012977396552763667,0.6492970712182161,0.5,0.5971074380165289,LOGIT_C01,99
244,2025-05-01,2025-05-06,1,0.058776097018908055,0.6101462066164767,0.5,0.5946502057613169,LOGIT_C01,100
245,2025-05-02,2025-05-07,1,0.03374177978044671,0.6165388063388285,0.5,0.5922131147540983,LOGIT_C01,101
246,2025-05-05,2025-05-08,0,-0.007705775291980163,0.6273053950780274,0.5,0.5938775510204082,LOGIT_C01,102
247,2025-05-06,2025-05-09,0,-0.03286901773685541,0.6410989317728885,0.5,0.5955284552845529,LOGIT_C01,103
248,2025-05-07,2025-05-12,0,-0.039800219239219115,0.6484320737951794,0.5,0.597165991902834,LOGIT_C01,104
249,2025-05-08,2025-05-13,0,-0.0185735527371582,0.6177494428854282,0.5,0.594758064516129,LOGIT_C01,105
250,2025-05-09,2025-05-14,0,-0.04380208377804086,0.631977173464732,0.5,0.5923694779116466,LOGIT_C01,106
251,2025-05-12,2025-05-15,1,0.0028581413154609332,0.6234307058439452,0.5,0.59,LOGIT_C01,107
252,2025-05-13,2025-05-16,0,-0.01201587650791518,0.5878474309693287,0.5,0.5876494023904383,LOGIT_C01,108
253,2025-05-14,2025-05-19,1,0.014960460606870639,0.615750153611466,0.5,0.5853174603174603,LOGIT_C01,109
254,2025-05-15,2025-05-20,1,0.012435837794462053,0.5870983636654755,0.5,0.5869565217391305,LOGIT_C01,110
255,2025-05-16,2025-05-22,1,0.026164958164227783,0.6195904620182179,0.5,0.5846456692913385,LOGIT_C01,111
256,2025-05-19,2025-05-23,1,0.03850104607546475,0.6111728599867466,0.5,0.5862745098039216,LOGIT_C01,112
257,2025-05-20,2025-05-27,1,0.004434462375495457,0.6207475892884848,0.5,0.587890625,LOGIT_C01,113
258,2025-05-22,2025-05-28,0,-0.0010294268156158606,0.6432744045691317,0.5,0.5894941634241245,LOGIT_C01,114
259,2025-05-23,2025-05-29,0,-0.011372868447335786,0.6258358730712824,0.5,0.5910852713178295,LOGIT_C01,115
260,2025-05-27,2025-05-30,0,-0.0033939397080560755,0.638564268729091,0.5,0.5926640926640927,LOGIT_C01,116
261,2025-05-28,2025-06-02,1,0.026864432938749596,0.6215237186038419,0.5,0.5903846153846154,LOGIT_C01,117
262,2025-05-29,2025-06-03,1,0.0108959825034526,0.6270413731389454,0.5,0.5881226053639846,LOGIT_C01,118
263,2025-05-30,2025-06-04,1,0.02516924988331601,0.6305830607481724,0.5,0.5858778625954199,LOGIT_C01,119
