origin_date,target_date,horizon,actual_return,previous_sign_return,AR1_QBOOST_q0.10,AR1_QBOOST_m0.10,AR1_QBOOST_q0.15,AR1_QBOOST_m0.15,AR1_QBOOST_q0.20,AR1_QBOOST_m0.20,AR1_QBOOST_q0.25,AR1_QBOOST_m0.25,AR1_QBOOST_q0.30,AR1_QBOOST_m0.30,AR1_QBOOST_q0.35,AR1_QBOOST_m0.35,AR1_QBOOST_q0.40,AR1_QBOOST_m0.40,AR1_QBOOST_q0.45,AR1_QBOOST_m0.45,AR1_QBOOST_q0.50,AR1_QBOOST_m0.50,AR1_QBOOST_q0.55,AR1_QBOOST_m0.55,AR1_QBOOST_q0.60,AR1_QBOOST_m0.60,AR1_QBOOST_q0.65,AR1_QBOOST_m0.65,AR1_QBOOST_q0.70,AR1_QBOOST_m0.70,AR1_QBOOST_q0.75,AR1_QBOOST_m0.75,AR1_QBOOST_q0.80,AR1_QBOOST_m0.80,AR1_QBOOST_q0.85,AR1_QBOOST_m0.85,AR1_QBOOST_q0.90,AR1_QBOOST_m0.90,AR1_RM_QBOOST_q0.10,AR1_RM_QBOOST_m0.10,AR1_RM_QBOOST_q0.15,AR1_RM_QBOOST_m0.15,AR1_RM_QBOOST_q0.20,AR1_RM_QBOOST_m0.20,AR1_RM_QBOOST_q0.25,AR1_RM_QBOOST_m0.25,AR1_RM_QBOOST_q0.30,AR1_RM_QBOOST_m0.30,AR1_RM_QBOOST_q0.35,AR1_RM_QBOOST_m0.35,AR1_RM_QBOOST_q0.40,AR1_RM_QBOOST_m0.40,AR1_RM_QBOOST_q0.45,AR1_RM_QBOOST_m0.45,AR1_RM_QBOOST_q0.50,AR1_RM_QBOOST_m0.50,AR1_RM_QBOOST_q0.55,AR1_RM_QBOOST_m0.55,AR1_RM_QBOOST_q0.60,AR1_RM_QBOOST_m0.60,AR1_RM_QBOOST_q0.65,AR1_RM_QBOOST_m0.65,AR1_RM_QBOOST_q0.70,AR1_RM_QBOOST_m0.70,AR1_RM_QBOOST_q0.75,AR1_RM_QBOOST_m0.75,AR1_RM_QBOOST_q0.80,AR1_RM_QBOOST_m0.80,AR1_RM_QBOOST_q0.85,AR1_RM_QBOOST_m0.85,AR1_RM_QBOOST_q0.90,AR1_RM_QBOOST_m0.90
2022-12-29,2023-01-03,1,0.016780857507039514,0.003801421323772567,0.0011703186688868455,1,0.0011703186688868448,1,0.0011703186688868457,1,0.0011703186688868453,1,0.0011703186688868448,1,0.0011703186688868448,1,0.0011703186688868453,1,0.0011703186688868453,1,0.0011703186688868453,1,0.0011703186688868453,1,0.0011703186688868453,1,0.0011703186688868455,1,0.0011703186688868448,1,0.0011703186688868453,1,0.0011703186688868448,1,0.0011703186688868448,1,0.0011703186688868448,1,0.0019228394614703333,1,0.0019228394614703337,1,0.0019228394614703337,1,0.0019228394614703341,1,0.0019228394614703346,1,0.0019228394614703346,1,0.001922839461470335,1,0.0019228394614703359,1,0.0019228394614703363,1,0.0019228394614703359,1,0.0019228394614703363,1,0.0019228394614703372,1,0.0019228394614703376,1,0.001922839461470338,1,0.0019228394614703385,1,0.0019228394614703385,1,0.0019228394614703393,1
2023-01-03,2023-01-04,1,0.002919946742020148,0.016780857507039514,0.003914515392699406,1,0.003914515392699406,1,0.003914515392699406,1,0.0039145153926994055,1,0.003914515392699404,1,0.0039145153926994055,1,0.0039145153926994055,1,0.0039145153926994055,1,0.003914515392699406,1,0.003914515392699406,1,0.003914515392699407,1,0.0039145153926994055,1,0.003914515392699405,1,0.0039145153926994055,1,0.003914515392699405,1,0.003914515392699406,1,0.003914515392699407,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.00040766398304513033,1,0.0004076639830451303,1,0.0004076639830451303,1,0.0004076639830451303,1,0.0004076639830451303,1,0.0004076639830451303,1,0.0004076639830451303,1
2023-01-04,2023-01-05,1,-0.007506314692604031,0.002919946742020148,0.0010893565500114688,1,0.0010893565500114692,1,0.001089356550011469,1,0.0010893565500114688,1,0.0010893565500114688,1,0.001089356550011469,1,0.001089356550011469,1,0.001089356550011469,1,0.001089356550011469,1,0.001089356550011469,1,0.001089356550011469,1,0.0010893565500114685,1,0.0010893565500114688,1,0.0010893565500114688,1,0.0010893565500114683,1,0.0010893565500114688,1,0.0010893565500114688,1,0.0026404930716383288,1,0.0026404930716383257,1,0.0026404930716383288,1,0.002640493071638328,1,0.0026404930716383288,1,0.0026404930716383297,1,0.0026404930716383297,1,0.0026404930716383305,1,0.0026404930716383305,1,0.0026404930716383305,1,0.0026404930716383323,1,0.0026404930716383327,1,0.0026404930716383336,1,0.0026404930716383336,1,0.0026404930716383344,1,0.0026404930716383336,1,0.002640493071638336,1
2023-01-05,2023-01-09,1,0.01788387634527822,-0.007506314692604031,-0.001284037659449517,1,-0.0012840376594495176,1,-0.0012840376594495172,1,-0.0012840376594495165,1,-0.0012840376594495165,1,-0.0012840376594495165,1,-0.0012840376594495172,1,-0.0012840376594495176,1,-0.0012840376594495159,1,-0.001284037659449517,1,-0.0012840376594495172,1,-0.0012840376594495172,1,-0.0012840376594495163,1,-0.0012840376594495163,1,-0.0012840376594495163,1,-0.0012840376594495159,1,-0.0012840376594495165,1,0.00020759608455699294,1,0.000207596084556993,1,0.00020759608455699278,1,0.00020759608455699278,1,0.00020759608455699275,1,0.00020759608455699267,1,0.00020759608455699256,1,0.00020759608455699256,1,0.00020759608455699256,1,0.00020759608455699248,1,0.00020759608455699248,1,0.0002075960845569924,1,0.0002075960845569923,1,0.0002075960845569923,1,0.0002075960845569923,1,0.0002075960845569921,1,0.00020759608455699215,1
2023-01-09,2023-01-10,1,0.003488676053335052,0.01788387634527822,0.004512099527114386,1,0.004512099527114387,1,0.004512099527114389,1,0.004512099527114387,1,0.004512099527114389,1,0.004512099527114388,1,0.004512099527114389,1,0.004512099527114387,1,0.004512099527114387,1,0.004512099527114389,1,0.004512099527114389,1,0.004512099527114388,1,0.004512099527114391,1,0.004512099527114389,1,0.00451209952711439,1,0.00451209952711439,1,0.004512099527114391,1,0.0003267666458722315,1,0.0003267666458722315,1,0.0003267666458722315,1,0.0003267666458722315,1,0.0003267666458722314,1,0.0003267666458722314,1,0.00032676664587223133,1,0.0003267666458722313,1,0.0003267666458722313,1,0.0003267666458722313,1,0.0003267666458722312,1,0.0003267666458722312,1,0.00032676664587223117,1,0.00032676664587223117,1,0.0003267666458722311,1,0.00032676664587223117,1,0.00032676664587223106,1
2023-01-10,2023-01-11,1,0.0034924192873265654,0.003488676053335052,0.001255165747346629,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466287,1,0.0012551657473466285,1,0.0012551657473466285,1,0.0012551657473466285,1,0.0012551657473466285,1,0.0012551657473466283,1,0.0012551657473466285,1,0.0012551657473466285,1,0.0012551657473466285,1,0.0019686421948702697,1,0.001968642194870269,1,0.0019686421948702697,1,0.00196864219487027,1,0.0019686421948702706,1,0.00196864219487027,1,0.001968642194870271,1,0.001968642194870272,1,0.001968642194870272,1,0.0019686421948702727,1,0.001968642194870273,1,0.0019686421948702736,1,0.001968642194870274,1,0.001968642194870274,1,0.0019686421948702745,1,0.0019686421948702753,1,0.001968642194870276,1
2023-01-11,2023-01-12,1,0.006094461397593419,0.0034924192873265654,0.0010853201941280854,1,0.0010853201941280852,1,0.0010853201941280852,1,0.0010853201941280852,1,0.0010853201941280852,1,0.0010853201941280854,1,0.0010853201941280854,1,0.0010853201941280854,1,0.0010853201941280852,1,0.0010853201941280852,1,0.0010853201941280852,1,0.0010853201941280852,1,0.001085320194128085,1,0.0010853201941280852,1,0.001085320194128085,1,0.0010853201941280852,1,0.0010853201941280852,1,0.0006692556682792666,1,0.0006692556682792668,1,0.0006692556682792667,1,0.0006692556682792669,1,0.0006692556682792669,1,0.0006692556682792668,1,0.0006692556682792669,1,0.0006692556682792669,1,0.000669255668279267,1,0.0006692556682792671,1,0.0006692556682792671,1,0.0006692556682792671,1,0.0006692556682792671,1,0.0006692556682792672,1,0.0006692556682792672,1,0.0006692556682792673,1,0.0006692556682792673,1
2023-01-12,2023-01-16,1,0.008089521944008927,0.006094461397593419,0.0016072804230133656,1,0.0016072804230133665,1,0.0016072804230133665,1,0.001607280423013366,1,0.0016072804230133665,1,0.0016072804230133656,1,0.0016072804230133665,1,0.0016072804230133665,1,0.001607280423013366,1,0.001607280423013366,1,0.0016072804230133665,1,0.0016072804230133665,1,0.001607280423013366,1,0.001607280423013366,1,0.0016072804230133656,1,0.0016072804230133665,1,0.001607280423013366,1,-0.0022204657088049098,1,-0.0022204657088049085,1,-0.00222046570880491,1,-0.00222046570880491,1,-0.0022204657088049124,1,-0.002220465708804913,1,-0.002220465708804913,1,-0.0022204657088049132,1,-0.0022204657088049145,1,-0.002220465708804915,1,-0.002220465708804915,1,-0.002220465708804915,1,-0.0022204657088049163,1,-0.002220465708804917,1,-0.002220465708804918,1,-0.00222046570880492,1,-0.00222046570880492,1
2023-01-16,2023-01-17,1,-0.006187339129039534,0.008089521944008927,0.00218973054559635,1,0.00218973054559635,1,0.0021897305455963493,1,0.0021897305455963493,1,0.0021897305455963493,1,0.0021897305455963498,1,0.0021897305455963498,1,0.0021897305455963493,1,0.0021897305455963493,1,0.0021897305455963485,1,0.0021897305455963493,1,0.0021897305455963498,1,0.0021897305455963493,1,0.0021897305455963493,1,0.0021897305455963485,1,0.0021897305455963485,1,0.0021897305455963493,1,-0.0012656680052790389,1,-0.0012656680052790398,1,-0.0012656680052790389,1,-0.0012656680052790398,1,-0.00126566800527904,1,-0.0012656680052790408,1,-0.0012656680052790417,1,-0.0012656680052790417,1,-0.0012656680052790426,1,-0.0012656680052790428,1,-0.001265668005279043,1,-0.0012656680052790439,1,-0.001265668005279044,1,-0.0012656680052790452,1,-0.0012656680052790458,1,-0.0012656680052790458,1,-0.0012656680052790458,1
2023-01-17,2023-01-18,1,0.005365587038309033,-0.006187339129039534,-0.000598349358697792,1,-0.000598349358697792,1,-0.0005983493586977923,1,-0.0005983493586977925,1,-0.0005983493586977918,1,-0.0005983493586977925,1,-0.0005983493586977925,1,-0.000598349358697792,1,-0.000598349358697792,1,-0.000598349358697792,1,-0.0005983493586977925,1,-0.0005983493586977923,1,-0.0005983493586977925,1,-0.0005983493586977929,1,-0.000598349358697792,1,-0.0005983493586977923,1,-0.0005983493586977925,1,-0.00034486119429137283,1,-0.0003448611942913736,1,-0.000344861194291374,1,-0.000344861194291374,1,-0.000344861194291374,1,-0.000344861194291374,1,-0.0003448611942913747,1,-0.0003448611942913749,1,-0.0003448611942913751,1,-0.00034486119429137543,1,-0.00034486119429137565,1,-0.0003448611942913762,1,-0.0003448611942913761,1,-0.0003448611942913762,1,-0.0003448611942913766,1,-0.00034486119429137673,1,-0.00034486119429137684,1
2023-01-18,2023-01-19,1,0.0073089230224548715,0.005365587038309033,0.0015637718168480216,1,0.0015637718168480211,1,0.0015637718168480213,1,0.0015637718168480213,1,0.001563771816848021,1,0.001563771816848021,1,0.0015637718168480207,1,0.0015637718168480213,1,0.0015637718168480207,1,0.0015637718168480207,1,0.0015637718168480211,1,0.0015637718168480207,1,0.0015637718168480211,1,0.0015637718168480207,1,0.0015637718168480205,1,0.0015637718168480207,1,0.0015637718168480203,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1,0.0005714112428047362,1
2023-01-19,2023-01-23,1,0.004641378397072225,0.0073089230224548715,0.001982675454518949,1,0.001982675454518949,1,0.001982675454518949,1,0.0019826754545189487,1,0.001982675454518949,1,0.00198267545451895,1,0.0019826754545189495,1,0.001982675454518949,1,0.001982675454518949,1,0.001982675454518949,1,0.001982675454518949,1,0.001982675454518949,1,0.0019826754545189495,1,0.001982675454518949,1,0.001982675454518949,1,0.0019826754545189495,1,0.00198267545451895,1,0.002824716283003874,1,0.002824716283003876,1,0.0028247162830038752,1,0.0028247162830038774,1,0.0028247162830038757,1,0.0028247162830038783,1,0.0028247162830038783,1,0.0028247162830038774,1,0.0028247162830038796,1,0.002824716283003879,1,0.002824716283003881,1,0.002824716283003881,1,0.0028247162830038813,1,0.002824716283003882,1,0.0028247162830038826,1,0.0028247162830038835,1,0.0028247162830038843,1
2023-01-23,2023-01-24,1,-0.0021806042106341655,0.004641378397072225,0.0014303874897224809,1,0.0014303874897224809,1,0.0014303874897224809,1,0.0014303874897224804,1,0.0014303874897224809,1,0.0014303874897224804,1,0.0014303874897224809,1,0.0014303874897224809,1,0.0014303874897224809,1,0.0014303874897224804,1,0.0014303874897224809,1,0.0014303874897224809,1,0.0014303874897224809,1,0.0014303874897224804,1,0.0014303874897224804,1,0.0014303874897224804,1,0.0014303874897224802,1,0.00035158524902680234,1,0.0003515852490268024,1,0.0003515852490268023,1,0.00035158524902680223,1,0.0003515852490268023,1,0.00035158524902680207,1,0.0003515852490268022,1,0.00035158524902680207,1,0.00035158524902680196,1,0.00035158524902680196,1,0.00035158524902680196,1,0.00035158524902680185,1,0.00035158524902680175,1,0.0003515852490268017,1,0.00035158524902680164,1,0.00035158524902680164,1,0.00035158524902680153,1
