origin_date,actual_up,p_up,pred_up
2024-01-01,0,0.440358489752,0
2024-01-02,0,0.420363456011,0
2024-01-03,1,0.499298334122,0
2024-01-04,1,0.512714505196,1
2024-01-05,0,0.497867763042,0
2024-01-08,1,0.473392903805,0
2024-01-09,0,0.467609584332,0
2024-01-10,1,0.556539177895,1
2024-01-11,1,0.504552066326,1
2024-01-12,1,0.479616492987,0
2024-01-15,0,0.461859285831,0
2024-01-16,0,0.525828897953,1
2024-01-17,1,0.486571431160,0
2024-01-18,1,0.466783165932,0
2024-01-19,0,0.420837253332,0
2024-01-22,1,0.499330192804,0
2024-01-23,0,0.496697872877,0
2024-01-24,1,0.495367735624,0
2024-01-25,0,0.502462089062,1
2024-01-26,1,0.504724383354,1
2024-01-29,1,0.479565024376,0
2024-01-30,1,0.484820038080,0
2024-01-31,1,0.430917352438,0
2024-02-01,0,0.527122676373,1
2024-02-02,0,0.502181053162,1
2024-02-05,1,0.449227005243,0
2024-02-06,0,0.617624044418,1
2024-02-07,0,0.442595005035,0
2024-02-08,0,0.500920534134,1
2024-02-09,0,0.548048198223,1
2024-02-12,0,0.487591743469,0
2024-02-13,1,0.573744654655,1
2024-02-14,1,0.597023129463,1
2024-02-15,1,0.609218895435,1
2024-02-16,1,0.538814246655,1
2024-02-19,1,0.484362035990,0
2024-02-20,1,0.386731088161,0
2024-02-21,0,0.404254496098,0
2024-02-22,1,0.371497362852,0
2024-02-23,0,0.324069529772,0
2024-02-26,0,0.366588264704,0
2024-02-27,1,0.404185205698,0
2024-02-28,1,0.359689444304,0
2024-02-29,1,0.406038910151,0
2024-03-01,1,0.528145790100,1
2024-03-04,1,0.533198833466,1
2024-03-05,1,0.648114562035,1
2024-03-06,1,0.531895101070,1
2024-03-07,1,0.545727849007,1
2024-03-08,1,0.595284283161,1
2024-03-11,0,0.572531819344,1
2024-03-12,1,0.578576862812,1
2024-03-13,0,0.573509097099,1
2024-03-14,0,0.607684552670,1
2024-03-15,1,0.594280004501,1
2024-03-18,0,0.615060806274,1
2024-03-19,1,0.561802327633,1
2024-03-20,0,0.509473145008,1
2024-03-21,0,0.505261003971,1
2024-03-22,1,0.528479456902,1
2024-03-25,1,0.522982299328,1
2024-03-26,1,0.477192461491,0
2024-03-27,1,0.543619394302,1
2024-03-28,1,0.538183212280,1
2024-04-01,1,0.609651982784,1
2024-04-02,1,0.566539764404,1
2024-04-03,0,0.568163633347,1
2024-04-04,1,0.586738884449,1
2024-04-05,1,0.598212242126,1
2024-04-08,1,0.593132913113,1
2024-04-09,0,0.600002050400,1
2024-04-10,1,0.575613737106,1
2024-04-11,0,0.582549333572,1
2024-04-12,1,0.572918295860,1
2024-04-15,1,0.579362034798,1
2024-04-16,0,0.551731407642,1
2024-04-17,1,0.521599173546,1
2024-04-18,1,0.516364574432,1
2024-04-19,0,0.467613875866,0
2024-04-22,0,0.521417617798,1
2024-04-23,0,0.478819310665,0
2024-04-24,1,0.409508645535,0
2024-04-25,1,0.467774689198,0
