year,origin_date,target_date,q80,sqrt_forecast,target_dr,target_return,risk_hit,actual_up,outcome_class,RV_LOGIT_available,RV_LOGIT_up,RV_LOGIT_p_up,TTSM_S2_available,TTSM_S2_up,TTSM_S2_signal
2020,2020-01-08,2020-01-09,2.860861230028183e-05,3.903484820265543e-05,5.338983494295844e-05,-0.007273883396788582,1,0,HIT_DOWN,1,1,0.5439217006825173,1,0,0
2020,2020-01-09,2020-01-10,2.860861230028183e-05,3.9898332216821825e-05,1.813814815403669e-05,0.009638791585060126,0,1,MISS,1,1,0.522433145594049,1,0,0
2020,2020-01-10,2020-01-13,2.860861230028183e-05,3.611441966868216e-05,2.847453600195525e-05,-0.014924603372889046,0,0,MISS,1,1,0.5153462597800931,1,0,0
2020,2020-01-13,2020-01-14,2.860861230028183e-05,3.445783656571917e-05,1.565116787307049e-05,0.008467198534514908,0,1,MISS,1,1,0.5087829292160511,1,0,0
2020,2020-02-24,2020-02-25,2.860861230028183e-05,3.429820653835553e-05,0.0001642502902083717,-0.008546394394009183,1,0,HIT_DOWN,1,1,0.5463625354404631,1,0,-1
2020,2020-02-25,2020-02-26,2.860861230028183e-05,4.773129880173553e-05,8.815198779844977e-05,0.00656218818850612,1,1,HIT_UP,1,1,0.5387597936402578,1,0,0
2020,2020-02-26,2020-02-27,2.860861230028183e-05,5.128685441199777e-05,0.0001075103495838749,-0.008193011655328594,1,0,HIT_DOWN,1,1,0.5424298505196101,1,0,0
2020,2020-02-27,2020-02-28,2.860861230028183e-05,6.169098733690894e-05,0.0003059048233474932,-0.03280843260230844,1,0,HIT_DOWN,1,1,0.5356326864419377,1,0,0
2020,2020-02-28,2020-03-02,2.860861230028183e-05,9.658993409429686e-05,7.934286783239498e-05,0.008897651642645391,1,1,HIT_UP,1,1,0.5348779601249475,1,0,0
2020,2020-03-02,2020-03-03,2.860861230028183e-05,7.832903175000145e-05,0.0001230445138801842,0.026495393526930203,1,1,HIT_UP,1,1,0.535877962246432,1,0,0
2020,2020-03-03,2020-03-04,2.860861230028183e-05,8.056067362968699e-05,6.48829131813027e-05,-0.0020499581500446045,1,0,HIT_DOWN,1,1,0.5514931911311809,1,0,0
2020,2020-03-04,2020-03-05,2.860861230028183e-05,7.444987723587078e-05,4.02222888873895e-05,0.023332894624083656,1,1,HIT_UP,1,1,0.5286417500764254,1,0,0
2020,2020-03-05,2020-03-06,2.860861230028183e-05,6.557563911509765e-05,0.0003612201078576099,-0.002730222176240095,1,0,HIT_DOWN,1,1,0.5300390014867157,1,0,0
2020,2020-03-06,2020-03-09,2.860861230028183e-05,9.144442734759122e-05,0.0002553110024842183,-0.004332379671759937,1,0,HIT_DOWN,1,1,0.5457012361750276,1,0,0
2020,2020-03-09,2020-03-10,2.860861230028183e-05,0.00010272944050681826,0.0001204201668146774,-0.0046567955090285685,1,0,HIT_DOWN,1,1,0.527058218257361,1,0,0
2020,2020-03-10,2020-03-11,2.860861230028183e-05,9.593903673414663e-05,0.0001230648241884107,-0.01328184451820033,1,0,HIT_DOWN,1,1,0.5133827255774513,1,0,0
2020,2020-03-11,2020-03-12,2.860861230028183e-05,0.00010421878394859323,0.0004804394281251625,-0.048129908043935514,1,0,HIT_DOWN,1,1,0.505881858076755,1,0,0
2020,2020-03-12,2020-03-13,2.860861230028183e-05,0.00016605645760906274,0.0005918853105257774,-0.019795256260855244,1,0,HIT_DOWN,1,0,0.48944237711458,1,0,0
2020,2020-03-13,2020-03-16,2.860861230028183e-05,0.0001935464043361578,0.001223183242981017,-0.0188183938356624,1,0,HIT_DOWN,1,0,0.4670889030510076,1,0,0
2020,2020-03-16,2020-03-17,2.860861230028183e-05,0.00029242886182687913,0.0004007849819295041,0.020751701863108138,1,1,HIT_UP,1,0,0.43562375784347446,1,0,0
2020,2020-03-17,2020-03-18,2.860861230028183e-05,0.00028531634347398225,0.0006248179836683686,-0.04191936309509839,1,0,HIT_DOWN,1,0,0.475230123619064,1,0,0
2020,2020-03-18,2020-03-19,2.860861230028183e-05,0.0003602570841044519,0.0003642462834238717,0.009683370964765141,1,1,HIT_UP,1,0,0.45597707989480524,1,0,0
2020,2020-03-19,2020-03-20,2.860861230028183e-05,0.0003393039511955476,0.0001666334500882998,0.010144339198270146,1,1,HIT_UP,1,0,0.4807729018423801,1,0,0
2020,2020-03-20,2020-03-23,2.860861230028183e-05,0.000286895376206151,0.0001747492500483732,0.04758073108077479,1,1,HIT_UP,1,0,0.49894968508688925,1,0,0
2020,2020-03-23,2020-03-24,2.860861230028183e-05,0.00022673277054189857,0.000517602484102315,0.02765303481921108,1,1,HIT_UP,1,1,0.5073825338778758,1,0,0
2020,2020-03-24,2020-03-25,2.860861230028183e-05,0.0002695620680331072,0.0003389117774957276,-0.006114199971996095,1,0,HIT_DOWN,1,1,0.5194045021784686,1,0,0
2020,2020-03-25,2020-03-26,2.860861230028183e-05,0.00024084699111773938,0.0001646083919149624,0.011839712583518982,1,1,HIT_UP,1,1,0.5041633930537361,1,0,0
2020,2020-03-26,2020-03-27,2.860861230028183e-05,0.00020854836972384813,0.0001206237017238664,0.0017036038421604882,1,1,HIT_UP,1,1,0.5150835619742823,1,0,0
2020,2020-03-27,2020-03-30,2.860861230028183e-05,0.0001994259930007153,8.126220414788899e-05,-0.008343107999826628,1,0,HIT_DOWN,1,1,0.5207424229750821,1,0,0
2020,2020-03-30,2020-03-31,2.860861230028183e-05,0.0001831718970458398,0.0001352727334969673,-0.018614260890703452,1,0,HIT_DOWN,1,1,0.5150725121603277,1,0,0
2020,2020-03-31,2020-04-01,2.860861230028183e-05,0.00015968102524494847,0.000125692835909032,0.0004510237210849253,1,1,HIT_UP,1,1,0.5112552396657556,1,0,0
2020,2020-04-01,2020-04-02,2.860861230028183e-05,0.00014305624369397154,7.586254919471682e-05,0.017699577099400857,1,1,HIT_UP,1,1,0.5160002929511598,1,0,0
2020,2020-04-02,2020-04-03,2.860861230028183e-05,0.00012810216082787332,7.11160848977612e-05,0.002781212686811034,1,1,HIT_UP,1,1,0.5200809109519585,1,0,0
2020,2020-04-03,2020-04-06,2.860861230028183e-05,0.00012234285082318862,9.951399220928115e-05,0.02614356599766083,1,1,HIT_UP,1,1,0.5223841524279237,1,0,0
2020,2020-04-06,2020-04-07,2.860861230028183e-05,0.00012863684473452526,0.0001483099188197852,-0.007400974456487421,1,0,HIT_DOWN,1,1,0.5285955687316042,1,0,0
2020,2020-04-07,2020-04-08,2.860861230028183e-05,0.00013190119605355961,6.588521963311273e-05,8.489273202050946e-05,1,1,HIT_UP,1,1,0.5245461135911557,1,0,0
2020,2020-04-08,2020-04-09,2.860861230028183e-05,0.00011487714621339201,8.28288101395242e-05,0.02087256131640053,1,1,HIT_UP,1,1,0.5240934268099736,1,0,0
2020,2020-04-09,2020-04-13,2.860861230028183e-05,0.00011692988005899976,4.857348982192113e-05,0.02172494931679553,1,1,HIT_UP,1,1,0.5304537615809383,1,0,0
2020,2020-04-13,2020-04-14,2.860861230028183e-05,0.00010870213542891799,0.0001082370468145288,0.00022658939484269513,1,1,HIT_UP,1,1,0.5296621577540784,1,0,0
2020,2020-04-14,2020-04-15,2.860861230028183e-05,0.00011227666551217454,9.902061969221879e-05,-0.0038114918378439467,1,0,HIT_DOWN,1,1,0.5379718956310813,1,0,0
2020,2020-04-15,2020-04-16,2.860861230028183e-05,0.00010263941075151244,0.0001463526333198264,-0.0055268975782503255,1,0,HIT_DOWN,1,1,0.532630374178312,1,0,0
2020,2020-04-16,2020-04-17,2.860861230028183e-05,0.00010709547736166435,0.0001224536628665548,-0.012883376629643627,1,0,HIT_DOWN,1,1,0.5300165495981929,1,0,0
2020,2020-04-17,2020-04-20,2.860861230028183e-05,0.00010622459775883184,8.021621701077183e-05,0.0034687976719770287,1,1,HIT_UP,1,1,0.5242931180769373,1,0,0
2020,2020-04-20,2020-04-21,2.860861230028183e-05,0.00010129379138160925,0.0001942297395568324,-0.003599483236754362,1,0,HIT_DOWN,1,1,0.5269693852203065,1,0,0
2020,2020-04-21,2020-04-22,2.860861230028183e-05,0.00011572423312067694,7.497493751452991e-05,0.016128764103016967,1,1,HIT_UP,1,1,0.5275180241460905,1,0,0
2020,2020-04-22,2020-04-23,2.860861230028183e-05,0.00010213754158410181,5.849855278368137e-05,0.007689467615607565,1,1,HIT_UP,1,1,0.5286445731207138,1,0,0
2020,2020-04-23,2020-04-24,2.860861230028183e-05,9.05702461243294e-05,7.503513231609561e-05,0.0031304368354049665,1,1,HIT_UP,1,1,0.5293941231806162,1,0,0
2020,2020-04-24,2020-04-27,2.860861230028183e-05,8.4076538917289e-05,7.001063370971871e-05,-0.018000631903718273,1,0,HIT_DOWN,1,1,0.5295579976386362,1,0,0
