origin_date,target_date,origin_close,target_close,target_log_return,actual_up,momentum_20d_log_return,tsm_signal,rs_plus_5d,rs_minus_5d,q80_plus_250d,q80_minus_250d,region,ttsm_s1_signal,ttsm_s2_signal
2023-12-28,2024-01-02,2070.070068,2064.92993,-0.0024861623458702848,0,0.036808083303196154,1,9.873105972382381e-05,0.00010430363522427189,0.00020898840059621577,0.00018386708378700706,3,1,1
2024-01-02,2024-01-03,2064.92993,2043.18994,-0.010584010999057068,0,0.035038901557921935,1,0.00011001452695025129,0.00011840108146214415,0.00020865838153223923,0.00018253158047942382,3,1,1
2024-01-03,2024-01-04,2043.18994,2044.68005,0.0007290398518761071,1,0.013769025453265683,1,0.00012030235382960337,0.00012787329452489942,0.00020637574244299864,0.00018211178746483048,3,1,1
2024-01-04,2024-01-08,2044.68005,2032.94995,-0.005753406933518417,0,-0.0007870945265788257,-1,0.00013106336180255423,0.00013239334241786781,0.0002056763265230822,0.0001820051709248022,3,-1,-1
2024-01-08,2024-01-09,2032.94995,2029.88,-0.0015112375472532513,0,-0.0057338242158960434,-1,0.00013389213308431165,0.00014316870402105358,0.00020353857976553003,0.00018173008620610121,3,-1,-1
2024-01-09,2024-01-10,2029.88,2032.21997,0.001152098804119989,1,-0.0051005776107236386,-1,0.00013654086988536406,0.00013901635450454367,0.0002029512375151655,0.00018163564478831246,3,-1,-1
2024-01-10,2024-01-11,2032.21997,2034.76001,0.0012491039261325425,1,-6.88976481865975e-05,-1,0.00012899825623747345,0.00012513648858141364,0.00020265298678647347,0.0001810937830605461,3,-1,-1
2024-01-11,2024-01-15,2034.76001,2049.48999,0.007213096096054488,1,0.006236364980366528,1,0.0001280592679379369,0.00013199423674300391,0.0002011072597978979,0.0001806938255909687,3,1,1
2024-01-15,2024-01-16,2049.48999,2025.51001,-0.01176945119422155,0,0.01145352636312293,1,0.00011583622388547722,0.00012293623267924488,0.00020059152215122362,0.00017995162795471348,3,1,1
2024-01-16,2024-01-17,2025.51001,2008.18005,-0.008592661493670196,0,-0.002992270111787543,-1,0.00012183418968584852,0.00014511886819447537,0.0002001960999223725,0.00017951161703066385,3,-1,-1
2024-01-17,2024-01-18,2008.18005,2021.16003,0.006442754714760577,1,0.01124731047719486,1,0.00012468049529193608,0.00015952732673148957,0.0002001960999223725,0.00017951161703066385,3,1,1
2024-01-18,2024-01-22,2021.16003,2027.68005,0.00322068815122066,1,0.021398345517722975,1,0.00011998703477222403,0.0001527068260517618,0.0002001960999223725,0.00017875005547913513,3,1,1
2024-01-22,2024-01-23,2027.68005,2024.54004,-0.001549772992943199,0,-0.0017836997820108215,-1,9.949871884753735e-05,0.00013147046919794868,0.0002001960999223725,0.00017862800975900598,3,-1,-1
2024-01-23,2024-01-24,2024.54004,2015.73999,-0.0043561653403204744,0,-0.0060423539115993605,-1,0.00010758123639337146,0.0001394254915379337,0.00019974416092729283,0.00017850521225711515,3,-1,-1
2024-01-24,2024-01-25,2015.73999,2021.31995,0.0027643699307489393,1,-0.0041931125458868875,-1,9.620277659314314e-05,0.00011894121965394709,0.00019974416092729283,0.00017850521225711515,3,-1,-1
2024-01-25,2024-01-29,2021.31995,2031.88,0.005210734246477836,1,-0.00947841748185052,-1,9.203895681349739e-05,9.812691060339339e-05,0.00019974416092729283,0.00017850521225711515,3,-1,-1
2024-01-29,2024-01-30,2031.88,2034.63,0.0013525113275076283,1,-0.002212248890320058,-1,9.580869586336201e-05,0.00010324923467730504,0.00019854765955723742,0.00017719466798167958,3,-1,-1
2024-01-30,2024-01-31,2034.63,2045.81995,0.005484678497793681,1,-0.007359897645007892,-1,9.00755812649522e-05,0.00010392658379647908,0.00019672125532487075,0.00017611895471000155,3,-1,-1
2024-01-31,2024-02-01,2045.81995,2055.15991,0.004554997326314869,1,-0.009762410372959433,-1,0.00010256428493262231,0.00013112288607625613,0.00019559164377194721,0.00017562553239087666,3,-1,-1
2024-02-01,2024-02-05,2055.15991,2026.39001,-0.014097770237733127,0,-0.01518713223679682,-1,0.00012320516127897128,0.00013280095763833446,0.00019548987785466355,0.00017452909329703328,3,-1,-1
