origin_date,actual_up,p_up,pred_up
2025-01-01,1,0.510950803757,1
2025-01-02,0,0.485569357872,0
2025-01-03,0,0.463842779398,0
2025-01-06,1,0.522974014282,1
2025-01-07,1,0.576035201550,1
2025-01-08,1,0.496612668037,0
2025-01-09,1,0.534538447857,1
2025-01-10,0,0.538888931274,1
2025-01-13,1,0.541146218777,1
2025-01-14,1,0.554906904697,1
2025-01-15,1,0.486205577850,0
2025-01-16,0,0.536175966263,1
2025-01-17,1,0.480195701122,0
2025-01-20,1,0.467812299728,0
2025-01-21,1,0.508763253689,1
2025-01-22,0,0.472897857428,0
2025-01-23,1,0.429922550917,0
2025-01-24,0,0.495001465082,0
2025-01-27,1,0.501134037971,1
2025-01-28,0,0.488631546497,0
2025-01-29,1,0.470071643591,0
2025-01-30,1,0.527086675167,1
2025-01-31,1,0.466156750917,0
2025-02-03,1,0.535806715488,1
2025-02-04,1,0.501998484135,1
2025-02-05,0,0.577945113182,1
2025-02-06,1,0.570747077465,1
2025-02-07,1,0.579542100430,1
2025-02-10,0,0.557471215725,1
2025-02-11,0,0.595543026924,1
2025-02-12,1,0.551602184772,1
2025-02-13,0,0.510551095009,1
2025-02-14,1,0.515178024769,1
2025-02-17,1,0.546076357365,1
2025-02-18,0,0.515262842178,1
2025-02-19,1,0.565640747547,1
2025-02-20,0,0.588078975677,1
2025-02-21,1,0.557784318924,1
2025-02-24,0,0.573924481869,1
2025-02-25,1,0.531801760197,1
2025-02-26,0,0.569912552834,1
2025-02-27,0,0.560244917870,1
2025-02-28,1,0.535521745682,1
2025-03-03,1,0.453041940928,0
2025-03-04,1,0.416395127773,0
2025-03-05,0,0.422645598650,0
2025-03-06,0,0.552780032158,1
2025-03-07,0,0.543733894825,1
2025-03-10,1,0.545588493347,1
2025-03-11,1,0.513486623764,1
2025-03-12,1,0.430071920156,0
2025-03-13,1,0.454591393471,0
2025-03-14,1,0.487692207098,0
2025-03-17,1,0.494598060846,0
2025-03-18,1,0.481812745333,0
2025-03-19,0,0.455109328032,0
2025-03-20,0,0.536903083324,1
