"k","period","n","accuracy","balanced_accuracy","brier","log_loss","actual_up","actual_down","forecast_up","forecast_down","up_sensitivity","down_sensitivity","tp","tn","fp","fn","always_up_accuracy","previous_sign_accuracy","mean_p_up","min_p_up","max_p_up"
26,"2022",17,0.352941176470588,0.368055555555556,0.459390784853886,8.59300120051893,9,8,4,13,0.111111111111111,0.625,1,5,3,8,0.529411764705882,0.352941176470588,0.38445632798574,0,1
26,"2023",52,0.5,0.505952380952381,0.308343873681834,3.71694375941935,28,24,22,30,0.428571428571429,0.583333333333333,12,14,10,16,0.538461538461538,0.576923076923077,0.426833028083028,0,1
26,"2024",53,0.566037735849057,0.564102564102564,0.349795927010662,5.66181891989961,27,26,32,21,0.666666666666667,0.461538461538462,18,12,14,9,0.509433962264151,0.509433962264151,0.532698957227259,0,1
52,"2023",43,0.511627906976744,0.518640350877193,0.356609725395842,6.18916052568246,24,19,19,24,0.458333333333333,0.578947368421053,11,11,8,13,0.558139534883721,0.534883720930233,0.408116044162556,0,1
52,"2024",53,0.679245283018868,0.678062678062678,0.23762594883955,3.01521968249241,27,26,30,23,0.740740740740741,0.615384615384615,20,16,10,7,0.509433962264151,0.509433962264151,0.557105420784666,0,1
104,"2024",44,0.568181818181818,0.558333333333333,0.337692231731266,6.02343952209389,24,20,27,17,0.666666666666667,0.45,16,9,11,8,0.545454545454545,0.5,0.571303002553003,0,1
26,"2024_common_from_19786",44,0.590909090909091,0.583333333333333,0.337785270458185,5.45764338111255,24,20,26,18,0.666666666666667,0.5,16,10,10,8,0.545454545454545,0.5,0.522135314180769,0,1
52,"2024_common_from_19786",44,0.636363636363636,0.629166666666667,0.269382761273319,3.58097496770731,24,20,26,18,0.708333333333333,0.55,17,11,9,7,0.545454545454545,0.5,0.564137314705497,0,1
104,"2024_common_from_19786",44,0.568181818181818,0.558333333333333,0.337692231731266,6.02343952209389,24,20,27,17,0.666666666666667,0.45,16,9,11,8,0.545454545454545,0.5,0.571303002553003,0,1
