p,c1_z,c2_z,log_evidence
1,-0.8267251397441705,1.0789919159472794,-124.95204968124622
1,-1.0917576635308108,-0.8267251397441705,-125.06509755999983
1,-0.8267251397441705,0.6424906385377123,-125.15908552260773
1,-1.0917576635308108,-0.4576194723109601,-125.21938051536429
1,-0.8267251397441705,-0.4576194723109601,-125.22121788662783
1,0.6424906385377123,1.0789919159472794,-125.23576940689085
1,-0.4576194723109601,0.6424906385377123,-125.23810071146006
1,-0.8267251397441705,0.17627601103032461,-125.2388625294167
1,-0.8267251397441705,0.46525928951068574,-125.24141545268009
1,-0.8267251397441705,-0.2456593085899069,-125.24193036555904
1,0.17627601103032461,0.6424906385377123,-125.2434007006679
1,-1.0917576635308108,-0.007316223542630062,-125.24909437328044
1,0.17627601103032461,1.0789919159472794,-125.25107860156164
1,0.17627601103032461,0.46525928951068574,-125.25372415076875
1,-0.4576194723109601,1.0789919159472794,-125.25388997789145
1,-1.0917576635308108,-0.2456593085899069,-125.25413860376183
1,-1.0917576635308108,0.17627601103032461,-125.2549672919363
1,-0.007316223542630062,0.17627601103032461,-125.25498770585921
1,-1.0917576635308108,1.0789919159472794,-125.25544742129348
1,-0.4576194723109601,-0.2456593085899069,-125.25576983973272
1,-0.8267251397441705,-0.007316223542630062,-125.25589651540935
1,-0.007316223542630062,0.6424906385377123,-125.2567994596966
1,0.46525928951068574,0.6424906385377123,-125.25701820773541
1,-1.0917576635308108,0.6424906385377123,-125.25713604515043
1,-0.4576194723109601,0.17627601103032461,-125.25768548642554
1,-0.4576194723109601,0.46525928951068574,-125.2581999802346
1,-0.2456593085899069,0.6424906385377123,-125.25866959852941
1,-0.007316223542630062,1.0789919159472794,-125.2603126402517
1,-0.2456593085899069,1.0789919159472794,-125.2603300930881
1,0.46525928951068574,1.0789919159472794,-125.26049824526768
1,-0.4576194723109601,-0.007316223542630062,-125.26050200190616
1,-1.0917576635308108,0.46525928951068574,-125.26053993816349
1,-0.007316223542630062,0.46525928951068574,-125.26109990629902
1,-0.2456593085899069,-0.007316223542630062,-125.26137917247681
1,-0.2456593085899069,0.17627601103032461,-125.26165796855666
1,-0.2456593085899069,0.46525928951068574,-125.26201595655506
2,-0.8267251397441705,1.0789919159472794,-126.98416773251945
2,-1.0917576635308108,-0.8267251397441705,-127.01596716469827
2,-1.0917576635308108,-0.4576194723109601,-127.11198159822514
2,-0.8267251397441705,0.6424906385377123,-127.1344491014238
2,-0.8267251397441705,-0.4576194723109601,-127.1369712660696
2,-0.4576194723109601,1.0789919159472794,-127.13956967627794
2,-0.4576194723109601,0.6424906385377123,-127.14102807848712
2,-0.4576194723109601,-0.2456593085899069,-127.14766968104773
2,-1.0917576635308108,-0.007316223542630062,-127.14902029869339
2,0.6424906385377123,1.0789919159472794,-127.14909026674829
2,-1.0917576635308108,-0.2456593085899069,-127.14953510755664
2,-0.8267251397441705,0.46525928951068574,-127.15021176027405
2,-1.0917576635308108,1.0789919159472794,-127.1502271494199
2,-0.8267251397441705,-0.2456593085899069,-127.15065722445487
2,-0.8267251397441705,0.17627601103032461,-127.15071063088136
2,-0.4576194723109601,0.46525928951068574,-127.1514242390359
