"identity","n","accuracy","balanced_accuracy","brier","log_loss","actual_up","actual_down","forecast_up","forecast_down","up_sensitivity","down_sensitivity","tp","tn","fp","fn","always_up_accuracy","previous_sign_accuracy","mean_p_up","min_p_up","max_p_up","fit_warning_origins","delta_accuracy_vs_vlmc104","delta_balanced_vs_vlmc104","delta_brier_vs_vlmc104","delta_logloss_vs_vlmc104"
"COVLMC_X3_104",52,0.711538461538462,0.5,0.25,0.693147180559945,37,15,52,0,1,0,37,0,15,0,0.711538461538462,0.557692307692308,0.5,0.5,0.5,0,0.0961538461538461,-0.0513513513513514,-0.0634873267497273,-3.99764825284752
"VLMC_BS_104",52,0.615384615384615,0.551351351351351,0.313487326749727,4.69079543340747,37,15,35,17,0.702702702702703,0.4,26,6,9,11,0.711538461538462,0.557692307692308,0.615535355894668,0,1,0,0,0,0,0
