evaluation_year,origin_date,target_date,actual_up,d_up_shapelet,d_down_shapelet,p_up,tau,shapelet_call
2021,2021-01-06,2021-01-07,0,0.4565650269661973,0.9783312885506329,0.5940054050229782,0.5831112071242511,1
2021,2021-01-07,2021-01-08,0,0.5207715290733425,1.0976854135246885,0.586424477921335,0.5831112071242511,1
2021,2021-01-08,2021-01-11,1,0.6673333467520235,0.7976248203774334,0.3819494596630303,0.5831112071242511,0
2021,2021-01-11,2021-01-12,1,0.5357174904031993,1.053839353782106,0.5614263364157202,0.5831112071242511,0
2021,2021-01-12,2021-01-13,0,0.5929620955129441,0.8772370521754759,0.461036941825575,0.5831112071242511,0
2021,2021-01-14,2021-01-15,0,0.4253800836422526,0.8809330100992948,0.585041684576143,0.5831112071242511,1
2021,2021-01-15,2021-01-18,1,0.8843286366147262,0.9510952562422688,0.28526378062922936,0.5831112071242511,0
2021,2021-01-29,2021-02-01,1,0.4849124571746804,0.8180591549610317,0.5210854268452636,0.5831112071242511,0
2021,2021-02-01,2021-02-02,0,0.528189413787856,0.9622213234254082,0.5368646057769941,0.5831112071242511,0
2021,2021-02-02,2021-02-03,0,0.49447951720590305,1.028835066498031,0.5831112071242511,0.5831112071242511,0
2021,2021-02-04,2021-02-05,1,0.5700063772590334,1.0443486453435737,0.5332349111069823,0.5831112071242511,0
2021,2021-02-16,2021-02-17,0,0.5214760945521559,1.0256191664769543,0.5625677544544064,0.5831112071242511,0
2021,2021-02-24,2021-02-25,0,0.5015835953696205,0.9313013477637521,0.5461903295912366,0.5831112071242511,0
2021,2021-02-25,2021-02-26,0,0.509941233917401,0.9121761031972765,0.533763813408259,0.5831112071242511,0
2021,2021-02-26,2021-03-01,0,1.0749615845498979,0.885672905785594,0.17249365076068185,0.5831112071242511,0
2021,2021-03-01,2021-03-02,1,0.662808689136355,1.206463500067629,0.5185038592625678,0.5831112071242511,0
2021,2021-03-02,2021-03-03,0,0.6474041991985995,0.9944620275131378,0.4597106788949645,0.5831112071242511,0
2021,2021-03-03,2021-03-04,0,0.5348200378636562,0.8879580385790815,0.507425387012734,0.5831112071242511,0
2021,2021-03-04,2021-03-05,1,0.5629634450627033,0.8784628449474539,0.4835122443060424,0.5831112071242511,0
2021,2021-03-05,2021-03-08,0,0.7295843352799081,0.8622700565152518,0.35907585065592484,0.5831112071242511,0
2021,2021-03-08,2021-03-09,1,0.5301940737976836,0.8884635033085,0.511006131040521,0.5831112071242511,0
2021,2021-03-09,2021-03-10,1,0.6205467173421514,1.1409151339065429,0.5279536611903153,0.5831112071242511,0
2021,2021-05-04,2021-05-05,1,0.54308749576744,0.9257067045519646,0.5138304035166172,0.5831112071242511,0
2021,2021-06-16,2021-06-17,0,0.49133239982578947,0.974334457815202,0.5677315648693146,0.5831112071242511,0
2021,2021-06-17,2021-06-18,0,0.5463932499950852,1.128040688052591,0.5778119196727511,0.5831112071242511,0
2021,2021-06-18,2021-06-21,1,0.5419235265384985,1.0079580980949312,0.5418538096134141,0.5831112071242511,0
2022,2022-02-24,2022-02-28,0,0.5459922073534288,1.085624813203177,0.56432983316311,0.5831112071242511,0
2022,2022-03-02,2022-03-03,1,0.5034342470233721,0.8872010212898145,0.5303039607049007,0.5831112071242511,0
2022,2022-03-03,2022-03-07,1,0.5120328628716487,1.1135504737145112,0.5977347522544557,0.5831112071242511,1
2022,2022-03-07,2022-03-08,1,0.5107427222671651,0.8788257117796978,0.5221565266322449,0.5831112071242511,0
2022,2022-03-08,2022-03-09,0,0.5063022562193625,1.101190382695785,0.5978631940898529,0.5831112071242511,1
2022,2022-03-09,2022-03-10,1,0.5799739414809622,1.2561310022181502,0.5949469825478878,0.5831112071242511,1
2022,2022-03-10,2022-03-14,0,0.5675261444201514,1.025490355486448,0.5288328230888564,0.5831112071242511,0
2022,2022-03-14,2022-03-15,0,0.5257306228962606,1.180283821241156,0.6092255523724401,0.5831112071242511,1
2022,2022-03-15,2022-03-16,1,0.45397289994283535,0.8670397455040435,0.5598785692062942,0.5831112071242511,0
2022,2022-03-16,2022-03-17,0,0.46892387873568153,1.0436679242959577,0.6060342906133971,0.5831112071242511,1
2022,2022-10-13,2022-10-17,0,0.617284826396869,0.9717641648614757,0.4743547158801215,0.5831112071242511,0
2023,2023-03-20,2023-03-21,0,0.5610861259577617,1.224888052688851,0.5983998995032347,0.5831112071242511,1
2023,2023-03-21,2023-03-23,1,0.6726556928461587,0.9251080475974182,0.4187275580583246,0.5831112071242511,0
2024,2024-04-10,2024-04-11,1,0.7998048393381922,1.0444600696771207,0.36698328678400266,0.5831112071242511,0
2024,2024-04-11,2024-04-15,1,0.691098053333356,0.9751033604585961,0.42160866288214044,0.5831112071242511,0
2024,2024-04-15,2024-04-16,0,0.5475143269323659,0.9613945179667005,0.52237878068581,0.5831112071242511,0
2024,2024-04-16,2024-04-17,0,0.5287162138006981,1.095753336302401,0.5801006006820916,0.5831112071242511,0
2024,2024-04-17,2024-04-18,1,0.5611016121566691,1.1897952544637571,0.5871597803158662,0.5831112071242511,1
2024,2024-04-18,2024-04-22,0,0.5066300851148903,1.0088028144438896,0.5678609487334401,0.5831112071242511,0
2024,2024-04-22,2024-04-23,1,0.59304482219516,1.1549755044799552,0.5527449800344819,0.5831112071242511,0
2024,2024-04-23,2024-04-24,0,0.5883502153710563,1.1156253738251127,0.5432576444582442,0.5831112071242511,0
2024,2024-04-24,2024-04-25,1,0.568828493707667,1.0835262597862014,0.5469980830928178,0.5831112071242511,0
2024,2024-04-25,2024-04-29,0,0.5558469313913659,1.2945164322547273,0.6240027368836883,0.5831112071242511,1
2024,2024-05-23,2024-05-27,1,0.5147418045496187,0.9630541829208913,0.5469943080470004,0.5831112071242511,0
2024,2024-08-05,2024-08-06,0,0.4148270477771591,0.7829468175463546,0.5608882709030276,0.5831112071242511,0
2024,2024-11-06,2024-11-07,1,0.6585847749366859,1.1693549519623745,0.509330800798706,0.5831112071242511,0
2025,2025-04-03,2025-04-07,0,0.5203544122255115,0.8412836695651009,0.5026347604741324,0.5831112071242511,0
2025,2025-04-07,2025-04-08,1,0.44099584449092055,0.9953650164279944,0.6104242988584967,0.5831112071242511,1
2025,2025-04-08,2025-04-09,1,0.3125211771443309,1.04693048366073,0.7102844424171322,0.5831112071242511,1
2025,2025-04-09,2025-04-10,1,0.5470146608399398,1.1032909532141972,0.5693387130196337,0.5831112071242511,0
2025,2025-04-10,2025-04-21,1,0.7125068895579156,1.009306989742079,0.4172580505628257,0.5831112071242511,0
2025,2025-04-21,2025-04-22,0,0.3084896624498815,1.0867860757153407,0.7234225898574544,0.5831112071242511,1
2025,2025-04-22,2025-04-23,0,0.5179064348013976,0.8632993549273321,0.5117357125281969,0.5831112071242511,0
2025,2025-04-23,2025-04-24,0,0.5658471643011803,0.9431733831018531,0.5028234399376463,0.5831112071242511,0
2025,2025-04-24,2025-04-25,0,0.6181058058483457,0.9999516891062261,0.48307430958132064,0.5831112071242511,0
