policy,window,status,year,train_n,train_available,test_n,mse,qlike,oos_r2_vs_train_mean,high_risk_auc,alert_count,alert_coverage,alert_precision,alert_recall,tp,fp,fn,tn,q80,beta
GOVERNED_FROZEN_EXPANDING,EXPANDING,OK,2025,936,936,237,3.5114104814369556e-08,0.3325469565601903,0.06111991408799633,0.8401115842020261,90,0.379746835443038,0.7333333333333333,0.673469387755102,66,24,32,115,5.308574220289716e-05,"[0.0012835500873305174, 0.23452300365577167, 0.43876587630753205, 0.11173996530324909]"
EXTENDED_EXPANDING,EXPANDING,OK,2025,1629,1629,237,3.5478667919579836e-08,0.3187992752962902,0.05440582805438854,0.8506569343065693,98,0.41350210970464135,0.7346938775510204,0.72,72,26,28,111,4.987216162096731e-05,"[0.0007345436407615857, 0.28169445227738954, 0.5008050729820782, 0.08835220581126513]"
EXTENDED_ROLLING_250,250,OK,2025,250,1629,237,3.5187379165850395e-08,0.36220974733292677,0.070453903959116,0.8446741314958369,87,0.3670886075949367,0.7816091954022989,0.6296296296296297,68,19,40,110,4.7363071565855496e-05,"[0.0019043085000799193, 0.20852759617126826, 0.4493091438204274, 0.004126447979739267]"
EXTENDED_ROLLING_275,275,OK,2025,275,1629,237,3.5173064468826325e-08,0.35236173559900763,0.07410771685155304,0.8487179487179487,105,0.4430379746835443,0.7904761904761904,0.7094017094017094,83,22,34,98,4.441269059767071e-05,"[0.001537875239809125, 0.22168009608593603, 0.4492100231355569, 0.05108253315902919]"
EXTENDED_ROLLING_300,300,OK,2025,300,1629,237,3.5105171532681664e-08,0.3509147958366245,0.0785825610546913,0.8555761287565873,112,0.47257383966244726,0.7767857142857143,0.7310924369747899,87,25,32,93,4.311997435776665e-05,"[0.0013252792856846662, 0.21324560596135395, 0.4675823237862884, 0.07355929134618669]"
EXTENDED_ROLLING_325,325,OK,2025,325,1629,237,3.506060170562969e-08,0.35521205208750045,0.08104618542299413,0.86548874323169,112,0.47257383966244726,0.7946428571428571,0.7355371900826446,89,23,32,93,4.1934771661655685e-05,"[0.0013293456798139744, 0.20011700259023596, 0.4797821703664339, 0.07038625740812679]"
EXTENDED_ROLLING_350,350,OK,2025,350,1629,237,3.4959876108866574e-08,0.35974260168503763,0.08325605234366962,0.8642063265887717,114,0.4810126582278481,0.7894736842105263,0.743801652892562,90,24,31,92,4.2394100271512286e-05,"[0.0013378357782331829, 0.172593075909866, 0.48649831289668616, 0.09062520294075202]"
EXTENDED_ROLLING_375,375,OK,2025,375,1629,237,3.50228600136632e-08,0.3567383861200257,0.08018207010872613,0.8503774391112376,109,0.459915611814346,0.7889908256880734,0.7288135593220338,86,23,32,96,4.376467492383023e-05,"[0.001354711821649782, 0.18925338808645464, 0.4570640973879391, 0.10351499836708611]"
EXTENDED_ROLLING_400,400,OK,2025,400,1629,237,3.495116992221012e-08,0.36035994029913115,0.08160567227374993,0.8498077196980486,109,0.459915611814346,0.7889908256880734,0.7288135593220338,86,23,32,96,4.376467492383023e-05,"[0.00140322924633416, 0.16769061317420592, 0.4768165548105829, 0.09735673931704858]"
EXTENDED_ROLLING_425,425,OK,2025,425,1629,237,3.498142464436489e-08,0.36245432419196794,0.08090296333619262,0.8475071225071225,109,0.459915611814346,0.7798165137614679,0.7264957264957265,85,24,32,96,4.4311881950992174e-05,"[0.0014294940108818333, 0.16906582898447553, 0.4529682016666984, 0.11581082654203528]"
EXTENDED_ROLLING_450,450,OK,2025,450,1629,237,3.5033480284778606e-08,0.3723151827803001,0.07938503676151032,0.8496652898447514,106,0.4472573839662447,0.8113207547169812,0.7288135593220338,86,20,32,99,4.374715185724051e-05,"[0.0015770085503561398, 0.16091845081429645, 0.4458397123093969, 0.10101640818199792]"
