month,actual,rw,rw_ape,ma3,ma3_ape,vw_midas_msvr,vw_midas_msvr_ape,vw_midas_msvr_dir,axis3_patch_transformer,axis3_patch_transformer_ape,axis3_patch_transformer_dir
2026-01,4753.00000000,4309.00000000,9.34146855,4550.15250484,4.26777814,4294.39675481,9.64871124,0,4360.65041330,8.25477776,1
2026-02,5020.00000000,4753.00000000,5.31872510,5013.50115938,0.12945898,4860.62401771,3.17482036,1,4918.79269951,2.01608168,1
2026-03,4856.00000000,5020.00000000,3.37726524,5377.31317002,10.73544419,5178.73417594,6.64609094,0,5092.11235176,4.86228072,0
2026-04,4721.00000000,4856.00000000,2.85956365,5060.83558668,7.19838142,4739.06505269,0.38265310,1,4852.21823694,2.77945852,1
2026-05,4587.00000000,4721.00000000,2.92129932,4714.24120498,2.77395258,4668.48622947,1.77646020,1,4705.77280870,2.58933527,1
2026-06,4228.00000000,4587.00000000,8.49101230,4451.14254182,5.27773278,4609.68325191,9.02751305,0,4604.38758512,8.90226076,0
2026-07,4073.00000000,4228.00000000,3.80554874,4038.51634964,0.84664008,4243.43756026,4.18457059,0,4279.11856386,5.06060800,0
