origin_date,target_date,actual_return,actual_up,freq_p_up,lag1_return,log_rv,rsk,AR1_LOGIT_p_up,AR1_LOGIT_pred_up,AR1_LOGIT_beta,RV_LOGIT_p_up,RV_LOGIT_pred_up,RV_LOGIT_beta,RSK_LOGIT_p_up,RSK_LOGIT_pred_up,RSK_LOGIT_beta,RM_LOGIT_p_up,RM_LOGIT_pred_up,RM_LOGIT_beta,AR1_RM_LOGIT_p_up,AR1_RM_LOGIT_pred_up,AR1_RM_LOGIT_beta
2023-12-28,2024-01-02,-0.0024861623458702848,0,0.5166444740346205,-0.007958336262949877,-10.048421349999481,-0.5980220786252142,0.5055733201699798,1,"[0.06664754267875464,0.0548052583698021]",0.4921328709043808,0,"[0.06694562525211761,0.1284912156960783]",0.5051575245983378,1,"[0.06684082231086784,0.10547449542513757]",0.4776778287562868,0,"[0.06743656746503185,0.13780633799562686,0.11693968627608158]",0.47350752104990435,0,"[0.06745780446707235,0.024687556526125632,0.13916921793705792,0.10716859521449319]"
2024-01-02,2024-01-03,-0.010584010999057068,0,0.5159574468085106,-0.0024861623458702848,-9.70900739004842,-0.7074963816237921,0.5120934625926767,1,"[0.06389775125964996,0.056974897512005206]",0.5094510450717176,1,"[0.06419514997407748,0.1304823854997355]",0.502062231519808,1,"[0.0640880250409253,0.10661663616064435]",0.493626928983624,0,"[0.0646912173924653,0.1398510344887605,0.11819652302379463]",0.4931257823384015,0,"[0.06471592948078678,0.026748239932867877,0.14131249602002402,0.10760049538593525]"
2024-01-03,2024-01-04,0.0007290398518761071,1,0.5152722443559097,-0.010584010999057068,-9.465582067931598,1.7056400104133125,0.4999175394077197,0,"[0.061153088141643414,0.05768036515788376]",0.5219555379984709,1,"[0.06144286368583697,0.13094117688917875]",0.5522028321743631,1,"[0.06134370598543636,0.10799118232975714]",0.5632754677584761,1,"[0.061944080263853694,0.14041094407163063,0.11960621516341309]",0.5526463457789084,1,"[0.061968890487859286,0.026969244098337643,0.14188456585329984,0.10891686000611125]"
2024-01-04,2024-01-08,-0.005753406933518417,0,0.5159151193633952,0.0007290398518761071,-10.18084579425177,0.2330256012859929,0.5165351458118015,1,"[0.0637249995989869,0.054849399168000995]",0.4836243319393408,0,"[0.06403032226018965,0.13139450454802734]",0.5219243928885495,1,"[0.06394218173800723,0.11142732971465305]",0.4879387723533064,0,"[0.06457322331871661,0.1411052940604882,0.1230897428639073]",0.48741720446056835,0,"[0.0645909290596116,0.022408251193955463,0.14233822796656193,0.11426283436940769]"
2024-01-08,2024-01-09,-0.0015112375472532513,0,0.5152317880794702,-0.005753406933518417,-9.760065913135303,-0.298225989236429,0.507161096998954,1,"[0.060986734506059306,0.05468686263338847]",0.5057477983778997,1,"[0.061297698929246774,0.1339511110957512]",0.5096539893357597,1,"[0.061194323737624776,0.11073212861144982]",0.49893718594219927,0,"[0.06182925980745788,0.143657599462697,0.12263130478821445]",0.49595397713014344,0,"[0.061847261498676954,0.022686002868010462,0.14490452816464464,0.11369708262657974]"
2024-01-09,2024-01-10,0.001152098804119989,1,0.5145502645502645,-0.0015112375472532513,-10.083802355367627,-0.19466542335735984,0.5121070451861158,1,"[0.058258320253741225,0.0562538577008677]",0.48691889034470875,0,"[0.05856117713014677,0.13463451646373958]",0.5112127919619479,1,"[0.05846008410422504,0.11121570094787692]",0.48128496797530246,0,"[0.05908924519964814,0.14437650273708402,0.1231619782344563]",0.48024724694561954,0,"[0.05910985245471709,0.02434460017249232,0.1457123350369482,0.11357308441019845]"
2024-01-10,2024-01-11,0.0012491039261325425,1,0.5151915455746368,0.001152098804119989,-10.143993721756402,0.11024331257094809,0.5164145661992486,1,"[0.06082705613120595,0.05576912536122642]",0.4847538788001284,0,"[0.06112730870613186,0.13234540122540575]",0.5185099823218131,1,"[0.0610334204595413,0.11083036603291047]",0.48626011762743154,0,"[0.061657228269119,0.14201106405216837,0.12255386619429551]",0.48620733387321197,0,"[0.06167702450078552,0.023760138433971918,0.14330943806762964,0.11319392839904885]"
2024-01-11,2024-01-15,0.007213096096054488,1,0.5158311345646438,0.0012491039261325425,-9.391961983752122,-0.254417704524426,0.5171911334803353,1,"[0.06339013831317544,0.055959608182140456]",0.526548923076017,1,"[0.06368478737213289,0.12979234379439897]",0.511192215533008,1,"[0.06360322134996987,0.11108031318691369]",0.5222925518009517,1,"[0.06422269144479166,0.1394712038868372,0.1226143935487457]",0.5233697555470287,1,"[0.06424259185883315,0.023713429370904524,0.14076717115240217,0.1132715425121131]"
2024-01-15,2024-01-16,-0.01176945119422155,0,0.5164690382081687,0.007213096096054488,-11.005619979587863,-0.07469630011993683,0.5260523275513901,1,"[0.06594673876710146,0.056173857108356394]",0.43996238953104966,0,"[0.06625410966204244,0.13056566841916295]",0.5157669017988111,1,"[0.06616264853320868,0.110572133846174]",0.43366465178510305,0,"[0.0667978964247241,0.1402219315770859,0.12218650468211727]",0.4370391761692734,0,"[0.06681904362668824,0.024255002408605633,0.1415468619902956,0.11263266092314136]"
2024-01-16,2024-01-17,-0.008592661493670196,0,0.5157894736842106,-0.01176945119422155,-9.36242662424884,-0.8099344506552422,0.4997360268881474,0,"[0.06322064372495714,0.05425056003133308]",0.5287937282989635,1,"[0.06355422536040665,0.13648484248426487]",0.49907120833539,0,"[0.0634334061590862,0.11056280305840013]",0.5112567130056102,1,"[0.06409882311998334,0.14614990275640838,0.1226295600183378]",0.5060193225499194,1,"[0.06411777801663159,0.022691918835929414,0.1474319129381644,0.11369782993630667]"
