policy,window,pre2025_supportive,status,year,n,actual_up,actual_down,up2_calls,true_up,false_up,missed_up,true_down_abstain,up_precision,missed_up_recall,false_up_fpr,coverage,wilson90_lcb_up_precision,auc,brier,tau,train_n,train_up,train_down,calibration,standardized_coefficients,intercept,residual_up_base_rate,locked2025_transport_gate,eligible_for_any_future_policy_claim,calibration_n,down_calibration_n
EXPANDING_FROZEN,EXPANDING,True,OK,2025,74,35,39,25,13,12,22,27,0.52,0.37142857142857144,0.3076923076923077,0.33783783783783783,0.39471806872404025,0.5164835164835164,0.2575417771454507,0.5312265857773989,124,59,65,"{""calibration_n"": 84, ""down_calibration_n"": 43, ""q80_down_prequential"": 0.5312265857773989, ""status"": ""OK"", ""tau"": 0.5312265857773989}","{""close_location"": -0.0701743020910761, ""direct_up_fraction"": -0.10824904781025205, ""downside_share"": 0.2063103773681705, ""intraday_end_norm"": -0.3636324769795092, ""lag1_close_return"": 0.24196301186044772, ""last_quarter_return_norm"": -0.018566830038213095, ""legacy_up_fraction"": 0.2569922166797053, ""sqrt_score"": 0.11738510217657498, ""trough_recovery_norm"": 0.009800736030676252}",-0.10593199855530933,0.47297297297297297,True,True,,
ROLLING_60,60,False,BLOCKED_CALIBRATION_SUPPORT,2025,,,,,,,,,,,,,,,,,60,,,,,,,,,20,11
ROLLING_65,65,False,BLOCKED_CALIBRATION_SUPPORT,2025,,,,,,,,,,,,,,,,,65,,,,,,,,,25,12
ROLLING_70,70,False,BLOCKED_CALIBRATION_SUPPORT,2025,,,,,,,,,,,,,,,,,70,,,,,,,,,30,15
ROLLING_75,75,False,BLOCKED_CALIBRATION_SUPPORT,2025,,,,,,,,,,,,,,,,,75,,,,,,,,,35,17
ROLLING_80,80,False,OK,2025,74,35,39,14,9,5,26,34,0.6428571428571429,0.2571428571428571,0.1282051282051282,0.1891891891891892,0.4718737795865798,0.4989010989010989,0.2680449944511133,0.6497894972110824,80,39,41,"{""calibration_n"": 40, ""down_calibration_n"": 21, ""q80_down_prequential"": 0.6497894972110824, ""status"": ""OK"", ""tau"": 0.6497894972110824}","{""close_location"": -0.20296888539727162, ""direct_up_fraction"": -0.21440723035934872, ""downside_share"": 0.2391111292201135, ""intraday_end_norm"": -0.0853573615712968, ""lag1_close_return"": 0.061544966804245836, ""last_quarter_return_norm"": 0.05283570627291384, ""legacy_up_fraction"": 0.21911035729265202, ""sqrt_score"": 0.11329160332181182, ""trough_recovery_norm"": 0.0016572341386219486}",-0.05346723234655538,0.47297297297297297,True,False,,
ROLLING_85,85,False,OK,2025,74,35,39,12,7,5,28,34,0.5833333333333334,0.2,0.1282051282051282,0.16216216216216217,0.40194889264587796,0.4989010989010989,0.2727071216047895,0.6805681761317697,85,42,43,"{""calibration_n"": 45, ""down_calibration_n"": 24, ""q80_down_prequential"": 0.6805681761317697, ""status"": ""OK"", ""tau"": 0.6805681761317697}","{""close_location"": -0.23580904409658923, ""direct_up_fraction"": -0.17716132658676417, ""downside_share"": 0.2818543588144523, ""intraday_end_norm"": -0.17546366349941583, ""lag1_close_return"": 0.10055290386685084, ""last_quarter_return_norm"": 0.0769761492420874, ""legacy_up_fraction"": 0.2420856989134216, ""sqrt_score"": 0.15204891314684596, ""trough_recovery_norm"": -0.007504545551997877}",-0.029575695736048728,0.47297297297297297,True,False,,
ROLLING_90,90,False,OK,2025,74,35,39,22,11,11,24,28,0.5,0.3142857142857143,0.28205128205128205,0.2972972972972973,0.3682166496693177,0.501098901098901,0.2759377166768686,0.6109740410119211,90,45,45,"{""calibration_n"": 50, ""down_calibration_n"": 26, ""q80_down_prequential"": 0.6109740410119211, ""status"": ""OK"", ""tau"": 0.6109740410119211}","{""close_location"": -0.29202856048395953, ""direct_up_fraction"": -0.23382445441080305, ""downside_share"": 0.13520572636116188, ""intraday_end_norm"": -0.2096522523915539, ""lag1_close_return"": 0.10992451113204826, ""last_quarter_return_norm"": 0.08218088053766477, ""legacy_up_fraction"": 0.24242355334697105, ""sqrt_score"": 0.22673652461037033, ""trough_recovery_norm"": -0.02699941147151729}",-0.0024665858035712966,0.47297297297297297,True,False,,
ROLLING_95,95,False,OK,2025,74,35,39,12,7,5,28,34,0.5833333333333334,0.2,0.1282051282051282,0.16216216216216217,0.40194889264587796,0.49963369963369964,0.26627015064230175,0.6539269970490162,95,47,48,"{""calibration_n"": 55, ""down_calibration_n"": 29, ""q80_down_prequential"": 0.6539269970490162, ""status"": ""OK"", ""tau"": 0.6539269970490162}","{""close_location"": -0.27497546943085427, ""direct_up_fraction"": -0.21907116120773462, ""downside_share"": 0.1365004939961993, ""intraday_end_norm"": -0.32107548044001993, ""lag1_close_return"": 0.1261180390125138, ""last_quarter_return_norm"": 0.05632598970746931, ""legacy_up_fraction"": 0.22769516180532645, ""sqrt_score"": 0.12158668353086298, ""trough_recovery_norm"": 0.19332513943350485}",-0.02245773458988666,0.47297297297297297,True,False,,
