origin_date,target_date,loss,extreme_event,hazard,elapsed_since_last_extreme
2024-12-31,2025-01-01,-0.00027435789342990306,0,0.04796928322245397,9
2025-01-01,2025-01-02,-0.011448514230144468,0,0.04747086160361269,10
2025-01-02,2025-01-03,0.0057003367463519024,0,0.04700550016339711,11
2025-01-03,2025-01-06,0.0019756518176898205,0,0.04656756417768937,12
2025-01-06,2025-01-07,-0.00566624094218094,0,0.04615282409519994,13
2025-01-07,2025-01-08,-0.0033536147773559496,0,0.04575802018204911,14
2025-01-08,2025-01-09,-0.004458936341287635,0,0.04538058404316758,15
2025-01-09,2025-01-10,-0.005866133929628508,0,0.04501845367124313,16
2025-01-10,2025-01-13,0.010088154377612894,0,0.04466994665798152,17
2025-01-13,2025-01-14,-0.005774949826439561,0,0.0443336708898584,18
2025-01-14,2025-01-15,-0.007287250840338159,0,0.044008460153663,19
2025-01-15,2025-01-16,-0.007927078813824486,0,0.043693326741706784,20
2025-01-16,2025-01-17,0.004469703850454251,0,0.0433874259321978,21
2025-01-17,2025-01-20,-0.001862687563609139,0,0.04309002893784053,22
2025-01-20,2025-01-21,-0.012712768412528528,0,0.04280050200512853,23
2025-01-21,2025-01-22,-0.004535870183581657,0,0.042518290055207575,24
2025-01-22,2025-01-23,0.00044648371931383827,0,0.042242903728361036,25
2025-01-23,2025-01-24,-0.007412006465634244,0,0.04197390901387832,26
2025-01-24,2025-01-27,0.012807434004835366,0,0.04171091886801548,27
2025-01-27,2025-01-28,-0.009262087378216693,0,0.041453586378007334,28
2025-01-28,2025-01-29,0.003460047280619731,0,0.04120159914083066,29
2025-01-29,2025-01-30,-0.013776009372824659,0,0.04095467460552937,30
2025-01-30,2025-01-31,-0.000998248679055075,0,0.04071255618659675,31
2025-01-31,2025-02-03,-0.007850874461755893,0,0.04047500999942688,32
2025-02-03,2025-02-04,-0.008736295106167876,0,0.040241822101435565,33
2025-02-04,2025-02-05,-0.007208949724802508,0,0.04001279614718567,34
2025-02-05,2025-02-06,0.0033649357188313797,0,0.039787751384669834,35
2025-02-06,2025-02-07,-0.0021839769362978797,0,0.03956652093451707,36
2025-02-07,2025-02-10,-0.015310654782596906,0,0.039348950305145736,37
2025-02-10,2025-02-11,0.0014229412753761035,0,0.039134896105830874,38
2025-02-11,2025-02-12,0.000814080922267132,0,0.03892422492656533,39
2025-02-12,2025-02-13,-0.00997108314337934,0,0.038716812359253616,40
2025-02-13,2025-02-14,0.0159135963100968,1,0.03851254213914457,41
2025-02-14,2025-02-17,-0.00610467440143457,0,0.040596740300233636,1
2025-02-17,2025-02-18,-0.012838227493628172,0,0.037734683034207794,2
2025-02-18,2025-02-19,0.0013668106169327913,0,0.03663581309436148,3
2025-02-19,2025-02-20,-0.002092020595545949,0,0.03589370714919826,4
2025-02-20,2025-02-21,0.001519189596449221,0,0.035319431716071326,5
2025-02-21,2025-02-24,-0.005391864112254496,0,0.03484369089938266,6
2025-02-24,2025-02-25,0.012689583229356554,0,0.0344330723861862,7
2025-02-25,2025-02-26,-0.0006144826123866076,0,0.034068853584970915,8
2025-02-26,2025-02-27,0.011983040725688178,0,0.03373947142542155,9
2025-02-27,2025-02-28,0.01029147535098443,0,0.03343727637148097,10
2025-02-28,2025-03-03,-0.011135059038021738,0,0.03315694102842326,11
2025-03-03,2025-03-04,-0.011907866400054501,0,0.03289460390903809,12
2025-03-04,2025-03-05,-0.0015110585169822734,0,0.03264737495838199,13
2025-03-05,2025-03-06,0.0022451175117069065,0,0.03241303358525449,14
2025-03-06,2025-03-07,0.0029624761572501655,0,0.03218983570334788,15
2025-03-07,2025-03-10,0.006938528784807115,0,0.03197638570976613,16
2025-03-10,2025-03-11,-0.011413172919094557,0,0.031771548813872896,17
2025-03-11,2025-03-12,-0.004406905161124526,0,0.0315743893502719,18
2025-03-12,2025-03-13,-0.017449533172838552,0,0.0313841263452902,19
2025-03-13,2025-03-14,-0.00034859728859804365,0,0.03120010084862579,20
2025-03-14,2025-03-17,-0.005464262957289381,0,0.03102175147693742,21
2025-03-17,2025-03-18,-0.011647096464102924,0,0.030848595808650292,22
2025-03-18,2025-03-19,-0.0040634767433261896,0,0.030680216025170903,23
2025-03-19,2025-03-20,0.0010044184950359215,0,0.03051624768501504,24
2025-03-20,2025-03-21,0.008201550702207223,0,0.030356370843889535,25
2025-03-21,2025-03-24,0.004566782107779614,0,0.030200302955285974,26
2025-03-24,2025-03-25,-0.00446410626107918,0,0.030047793139061696,27
2025-03-25,2025-03-26,0.0008050324893311077,0,0.029898617512954306,28
2025-03-26,2025-03-27,-0.013291229503258114,0,0.029752575358524047,29
2025-03-27,2025-03-28,-0.007620693162595513,0,0.02960948594839885,30
2025-03-28,2025-03-31,-0.014045816090086425,0,0.029469185902249007,31
2025-03-31,2025-04-01,0.0018740565289461781,0,0.02933152696892305,32
2025-04-01,2025-04-02,-0.001762002117946856,0,0.029196374154715432,33
2025-04-02,2025-04-03,0.0053146741265653495,0,0.029063604134732524,34
2025-04-03,2025-04-04,0.02316461706742624,1,0.02893310389734749,35
2025-04-04,2025-04-07,0.01809465683764922,1,0.0434935810901369,1
2025-04-07,2025-04-08,-4.355360957616318e-05,0,0.0811166486120366,1
2025-04-08,2025-04-09,-0.033310422544203265,0,0.0751964482592572,2
2025-04-09,2025-04-10,-0.029500533189232774,0,0.07276079184763928,3
2025-04-10,2025-04-11,-0.01955571747944782,0,0.07104229301170017,4
2025-04-11,2025-04-14,0.004996695047801465,0,0.06966625934962167,5
2025-04-14,2025-04-17,-0.031809686661923096,0,0.0684944656405565,6
2025-04-17,2025-04-18,-2.405125322172926e-05,0,0.06745988078090481,7
2025-04-18,2025-04-21,-0.028607373492926146,0,0.0665247207761358,8
2025-04-21,2025-04-22,0.008331914655784712,0,0.06566550497940149,9
2025-04-22,2025-04-23,0.02720504610045999,1,0.0648665979874038,10
2025-04-23,2025-04-24,-0.015499994914597076,0,0.0859815579515738,1
2025-04-24,2025-04-25,0.011572260092949819,0,0.07968097199774737,2
2025-04-25,2025-04-28,-0.008347895454384946,0,0.0770690814859355,3
2025-04-28,2025-04-29,0.007955969131515965,0,0.07521810530963702,4
