variant,event_date,tier,z,event_direction,target_week,p_up,forecast_direction,event_direction_match
RSM_104,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.615384615385,UP,TRUE
RSM_104,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.615384615385,UP,FALSE
ERSM_26,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.576881197489,UP,TRUE
ERSM_26,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.576881197489,UP,FALSE
ERSM_26,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.598208385541,UP,TRUE
ERSM_26,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.603871555115,UP,TRUE
ERSM_26,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.657666224210,UP,FALSE
ERSM_26,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.608950207602,UP,TRUE
ERSM_26,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.608950207602,UP,TRUE
ERSM_26,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.496769496446,DOWN,FALSE
ERSM_26,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.524030884576,UP,TRUE
ERSM_26,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.579386068770,UP,TRUE
ERSM_26,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.638228855713,UP,TRUE
ERSM_26,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.655011772785,UP,TRUE
ERSM_26,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.680566456283,UP,TRUE
ERSM_26,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.694213254794,UP,TRUE
ERSM_26,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.694213254794,UP,TRUE
ERSM_26,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.694213254794,UP,FALSE
ERSM_26,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.706849179342,UP,FALSE
ERSM_26,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.620625244049,UP,TRUE
ERSM_26,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.648727077823,UP,FALSE
ERSM_52,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.528735072980,UP,TRUE
ERSM_52,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.528735072980,UP,FALSE
ERSM_52,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.546518655132,UP,TRUE
ERSM_52,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.544884953871,UP,TRUE
ERSM_52,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.584468828121,UP,FALSE
ERSM_52,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.557307668069,UP,TRUE
ERSM_52,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.557307668069,UP,TRUE
ERSM_52,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.512090115197,UP,TRUE
ERSM_52,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.530501808964,UP,TRUE
ERSM_52,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.563688393034,UP,TRUE
ERSM_52,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.601222893614,UP,TRUE
ERSM_52,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.611165353732,UP,TRUE
ERSM_52,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.625838359252,UP,TRUE
ERSM_52,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.634851933874,UP,TRUE
ERSM_52,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.634851933874,UP,TRUE
ERSM_52,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.634851933874,UP,FALSE
ERSM_52,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.643525373605,UP,FALSE
ERSM_52,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.610931396297,UP,TRUE
ERSM_52,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.625613230399,UP,FALSE
ERSM_104,2025-02-10,MAJOR,2.3407,UP,2025-02-10,0.497694016178,DOWN,FALSE
ERSM_104,2025-02-14,MAJOR,-2.2468,DOWN,2025-02-10,0.497694016178,DOWN,TRUE
ERSM_104,2025-02-18,MAJOR,2.1885,UP,2025-02-17,0.507261749204,UP,TRUE
ERSM_104,2025-03-13,MAJOR,2.1237,UP,2025-03-10,0.513671947030,UP,TRUE
ERSM_104,2025-04-04,EXTREME,-3.3930,DOWN,2025-03-31,0.535927193071,UP,FALSE
ERSM_104,2025-04-09,EXTREME,3.2185,UP,2025-04-07,0.523141400034,UP,TRUE
ERSM_104,2025-04-10,MAJOR,2.3440,UP,2025-04-07,0.523141400034,UP,TRUE
ERSM_104,2025-07-21,MAJOR,2.0611,UP,2025-07-21,0.508497214542,UP,TRUE
ERSM_104,2025-08-01,MAJOR,2.5481,UP,2025-07-28,0.517859172361,UP,TRUE
ERSM_104,2025-09-02,MAJOR,2.6673,UP,2025-09-01,0.538625965832,UP,TRUE
ERSM_104,2025-09-22,MAJOR,2.6254,UP,2025-09-22,0.559384995113,UP,TRUE
ERSM_104,2025-09-29,MAJOR,2.3040,UP,2025-09-29,0.567777661873,UP,TRUE
ERSM_104,2025-10-06,MAJOR,2.7911,UP,2025-10-06,0.576010468313,UP,TRUE
ERSM_104,2025-10-13,MAJOR,2.5043,UP,2025-10-13,0.581508803367,UP,TRUE
ERSM_104,2025-10-16,MAJOR,2.9074,UP,2025-10-13,0.581508803367,UP,TRUE
ERSM_104,2025-10-17,MAJOR,-2.0589,DOWN,2025-10-13,0.581508803367,UP,FALSE
ERSM_104,2025-10-21,EXTREME,-4.1054,DOWN,2025-10-20,0.586902408229,UP,FALSE
ERSM_104,2025-12-22,EXTREME,4.0174,UP,2025-12-22,0.566879887926,UP,TRUE
ERSM_104,2025-12-29,EXTREME,-6.6415,DOWN,2025-12-29,0.572552138797,UP,FALSE
