target_week_end,rolling_window,predicted_delta_gold,actual_delta_gold,forecast_direction,actual_direction,previous_direction,training_mse_scaled,training_epochs,train_start_week_end,train_end_week_end,arima_predicted_delta_gold,arima_direction
2025-01-03,100,5.057427489181265,28.75,UP,UP,UP,0.015393191374468923,1500,2023-02-03,2024-12-27,9.454931446078263,UP
2025-01-10,100,20.521176368738338,25.149999999999636,UP,UP,UP,0.015451496694482229,1500,2023-02-10,2025-01-03,-7.326156115996582,DOWN
2025-01-17,100,15.452869146153319,25.65000000000009,UP,UP,UP,0.015189439055878516,1500,2023-02-17,2025-01-10,-0.8452405600392012,DOWN
2025-01-24,100,1.237843128347194,65.95000000000027,UP,UP,UP,0.014836312382228909,1500,2023-02-24,2025-01-17,-1.736870527465726,DOWN
2025-01-31,100,16.882829249383946,20.449999999999818,UP,UP,UP,0.015275800021283816,1500,2023-03-03,2025-01-24,-3.1966677292716668,DOWN
2025-02-07,100,17.5033086523612,74.94999999999982,UP,UP,UP,0.015271739512700616,1500,2023-03-10,2025-01-31,3.8435689493353493,UP
2025-02-14,100,-3.0266723959421,71.60000000000036,DOWN,UP,UP,0.015457839405539651,1500,2023-03-17,2025-02-07,11.01216260846013,UP
2025-02-21,100,0.5746069980977353,-8.350000000000364,UP,DOWN,UP,0.015512970211011987,1500,2023-03-24,2025-02-14,6.3958913523233605,UP
2025-02-28,100,4.793409783887043,-68.29999999999973,UP,DOWN,DOWN,0.01515498354936204,1500,2023-03-31,2025-02-21,16.361211647549226,UP
2025-03-07,100,-2.012936014712608,57.09999999999991,DOWN,UP,DOWN,0.015579926343466475,1500,2023-04-07,2025-02-28,14.45501840336101,UP
2025-03-14,100,13.545014915152137,81.34999999999991,UP,UP,UP,0.015795292894231303,1500,2023-04-14,2025-03-07,25.89167326210554,UP
2025-03-21,100,12.339961886550583,31.450000000000273,UP,UP,UP,0.016031844690976998,1500,2023-04-21,2025-03-14,12.501805967877772,UP
2025-03-28,100,-12.941931511641698,39.09999999999991,DOWN,UP,UP,0.01574768403238252,1500,2023-04-28,2025-03-21,13.336194778546997,UP
2025-04-04,100,17.361562183950497,19.90000000000009,UP,UP,UP,0.016068308820240004,1500,2023-05-05,2025-03-28,18.083913975955966,UP
2025-04-11,100,13.436249071623962,123.44999999999982,UP,UP,UP,0.01588154255071022,1500,2023-05-12,2025-04-04,21.178985976083368,UP
2025-04-18,100,20.720309443293672,110.59999999999991,UP,UP,UP,0.01666171949539586,1500,2023-05-19,2025-04-11,26.385912620202816,UP
2025-04-25,100,18.33864459387931,-25.0,UP,DOWN,UP,0.01694909482470583,1500,2023-05-26,2025-04-18,22.016661371904775,UP
2025-05-02,100,23.67283346333005,-36.29999999999973,UP,DOWN,DOWN,0.017721168133141976,1500,2023-06-02,2025-04-25,21.99259120392253,UP
2025-05-09,100,-2.1671286121982973,61.399999999999636,DOWN,UP,DOWN,0.018131080471915164,1500,2023-06-09,2025-05-02,41.27036547653961,UP
2025-05-16,100,18.020805097648946,-114.39999999999964,UP,DOWN,UP,0.018456661882919646,1500,2023-06-16,2025-05-09,49.47140623104906,UP
2025-05-23,100,1.1450268491724103,120.04999999999973,UP,UP,DOWN,0.020003520767834196,1500,2023-06-23,2025-05-16,18.29857706560506,UP
2025-05-30,100,18.127538430728322,-36.54999999999973,UP,DOWN,UP,0.0208283571169484,1500,2023-06-30,2025-05-23,40.005544287122575,UP
