evaluation_year,origin_date,target_date,source,actual_up,downside_share,max_drawdown_norm,trough_position,recovery_to_close_ratio,close_location,post_trough_return_norm,last_quarter_return_norm,post_trough_positive_fraction,p_up,tau,up2_morph_call
2022,2022-02-24,2022-02-28,GOVERNED_ROUTER_ABSTAIN,0,0.6180051510933889,2.26148390747263,0.6581818181818182,0.3182885748769877,0.3182885748769877,0.719804490016705,0.14091719176290263,0.5531914893617021,0.44746750002901436,0.587924232797405,0
2022,2022-03-02,2022-03-03,GOVERNED_ROUTER_ABSTAIN,1,0.6185073410726372,1.1844944325398876,0.5272727272727272,0.2909943108228693,0.2909943108228693,0.3446811410704702,-0.17079909389512757,0.5230769230769231,0.5194800868732371,0.587924232797405,0
2022,2022-03-03,2022-03-07,GOVERNED_ROUTER_ABSTAIN,1,0.5557988022556221,0.1278608308416457,0.003745318352059925,6.394605325509033,0.6071700423008617,0.8176195498239972,0.16749865623434837,0.5263157894736842,0.5499672871220292,0.587924232797405,0
2022,2022-03-07,2022-03-08,GOVERNED_ROUTER_ABSTAIN,1,0.4998947155775804,1.0916236970697488,0.3781818181818182,0.7073240649771987,0.7073240649771987,0.7721317108368129,-0.2192623092266222,0.5321637426900585,0.42188994132791574,0.587924232797405,0
2022,2022-03-08,2022-03-09,GOVERNED_ROUTER_ABSTAIN,0,0.47340458637052907,0.05813672047177281,0.03272727272727273,19.608095710307108,0.78206636599366,1.139950379293892,0.03949796766312901,0.49624060150375937,0.792727366069932,0.587924232797405,1
2022,2022-03-09,2022-03-10,GOVERNED_ROUTER_ABSTAIN,1,0.6208361809627478,2.0382352152116683,0.8836363636363637,0.07855673153935154,0.07855673153935154,0.16011709661543544,-0.36254655242391504,0.59375,0.5402054223878244,0.587924232797405,0
2022,2022-03-10,2022-03-14,GOVERNED_ROUTER_ABSTAIN,0,0.47451469086488507,0.41585123041129846,0.12727272727272726,0.9594124704374298,0.38812112029525603,0.39897285630334867,-0.3053319352332223,0.5208333333333334,0.4822864413890109,0.587924232797405,0
2022,2022-03-14,2022-03-15,GOVERNED_ROUTER_ABSTAIN,0,0.5855975144749134,1.6464942075149578,0.9090909090909091,0.05495420786822557,0.05495420786822557,0.09048178493360633,-0.4844855012153911,0.56,0.5052954348731852,0.587924232797405,0
2022,2022-03-15,2022-03-16,GOVERNED_ROUTER_ABSTAIN,1,0.5511590798251786,1.3852259922363332,0.4581818181818182,0.29503928952805875,0.29503928952805875,0.408696092585208,0.01801989872720076,0.5100671140939598,0.48493944723046917,0.587924232797405,0
2022,2022-03-16,2022-03-17,GOVERNED_ROUTER_ABSTAIN,0,0.5507770857071232,1.0640597106395495,0.6218181818181818,1.3320944231598506,0.9665159663941878,1.4174280064520284,0.3886950516866414,0.5865384615384616,0.19951020013453238,0.587924232797405,0
