source_class,origin_date,target_date,evaluation_year,formation_n,sqrt_forecast,q80,q90,sqrt_normalized_risk_score,risk_regime,recent20_n,recent20_high_count,persistent_state,actual_direction,router_up,selected_expert,FAST_UP,SLOW_UP,MONTHLY_UP,legacy_bucket,action
EXTERNAL_RESEARCH_V2,2020-01-08,2020-01-09,2020,498,3.9034848202655376e-05,2.860861230028183e-05,4.226816010694759e-05,1.3644439580968712,HIGH_NON_EXTREME,20,5,NON_PERSISTENT,DOWN,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-01-09,2020-01-10,2020,498,3.9898332216821805e-05,2.860861230028183e-05,4.226816010694759e-05,1.3946266179582838,HIGH_NON_EXTREME,20,5,NON_PERSISTENT,UP,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-01-10,2020-01-13,2020,498,3.611441966868214e-05,2.860861230028183e-05,4.226816010694759e-05,1.2623618122269555,HIGH_NON_EXTREME,20,4,NON_PERSISTENT,DOWN,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-01-13,2020-01-14,2020,498,3.445783656571915e-05,2.860861230028183e-05,4.226816010694759e-05,1.2044567630209626,HIGH_NON_EXTREME,20,4,NON_PERSISTENT,UP,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-24,2020-02-25,2020,498,3.429820653835549e-05,2.860861230028183e-05,4.226816010694759e-05,1.198876973771203,HIGH_NON_EXTREME,20,4,NON_PERSISTENT,DOWN,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-25,2020-02-26,2020,498,4.7731298801735485e-05,2.860861230028183e-05,4.226816010694759e-05,1.6684241200075711,EXTREME,20,5,NON_PERSISTENT,UP,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-26,2020-02-27,2020,498,5.128685441199773e-05,2.860861230028183e-05,4.226816010694759e-05,1.7927068210677417,EXTREME,20,6,NON_PERSISTENT,DOWN,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-27,2020-02-28,2020,498,6.169098733690889e-05,2.860861230028183e-05,4.226816010694759e-05,2.1563781804369855,EXTREME,20,6,NON_PERSISTENT,DOWN,0,,1,1,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-02-28,2020-03-02,2020,498,9.658993409429675e-05,2.860861230028183e-05,4.226816010694759e-05,3.3762537336823297,EXTREME,20,7,NON_PERSISTENT,UP,1,BONATO_AR1_RM_QBOOST_H1,0,0,1,NON_CONSENSUS_UP,SUPPRESS_DOWN
EXTERNAL_RESEARCH_V2,2020-03-02,2020-03-03,2020,498,7.83290317500014e-05,2.860861230028183e-05,4.226816010694759e-05,2.737952855868852,EXTREME,20,8,NON_PERSISTENT,UP,1,BONATO_AR1_RM_QBOOST_H1,0,0,1,NON_CONSENSUS_UP,SUPPRESS_DOWN
EXTERNAL_RESEARCH_V2,2020-03-03,2020-03-04,2020,498,8.056067362968692e-05,2.860861230028183e-05,4.226816010694759e-05,2.815958802339158,EXTREME,20,8,NON_PERSISTENT,DOWN,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-04,2020-03-05,2020,498,7.444987723587073e-05,2.860861230028183e-05,4.226816010694759e-05,2.602358913967222,EXTREME,20,8,NON_PERSISTENT,UP,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-05,2020-03-06,2020,498,6.557563911509762e-05,2.860861230028183e-05,4.226816010694759e-05,2.292164276505352,EXTREME,20,9,PERSISTENT_HIGH,DOWN,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-06,2020-03-09,2020,498,9.144442734759109e-05,2.860861230028183e-05,4.226816010694759e-05,3.1963950710985816,EXTREME,20,10,PERSISTENT_HIGH,DOWN,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-09,2020-03-10,2020,498,0.0001027294405068182,2.860861230028183e-05,4.226816010694759e-05,3.5908571666653746,EXTREME,20,11,PERSISTENT_HIGH,DOWN,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-10,2020-03-11,2020,498,9.593903673414659e-05,2.860861230028183e-05,4.226816010694759e-05,3.353501935960783,EXTREME,20,12,PERSISTENT_HIGH,DOWN,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-11,2020-03-12,2020,498,0.00010421878394859316,2.860861230028183e-05,4.226816010694759e-05,3.642916435606577,EXTREME,20,13,PERSISTENT_HIGH,DOWN,0,,1,0,1,CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-12,2020-03-13,2020,498,0.00016605645760906255,2.860861230028183e-05,4.226816010694759e-05,5.80442196448049,EXTREME,20,14,PERSISTENT_HIGH,DOWN,0,,0,0,1,NON_CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-13,2020-03-16,2020,498,0.00019354640433615755,2.860861230028183e-05,4.226816010694759e-05,6.7653195584831245,EXTREME,20,15,PERSISTENT_HIGH,DOWN,0,,0,0,1,NON_CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-16,2020-03-17,2020,498,0.00029242886182687876,2.860861230028183e-05,4.226816010694759e-05,10.221707322168786,EXTREME,20,16,PERSISTENT_HIGH,UP,0,,0,0,1,NON_CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-17,2020-03-18,2020,498,0.00028531634347398203,2.860861230028183e-05,4.226816010694759e-05,9.973092734427086,EXTREME,20,17,PERSISTENT_HIGH,DOWN,0,,0,0,1,NON_CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-18,2020-03-19,2020,498,0.00036025708410445165,2.860861230028183e-05,4.226816010694759e-05,12.592609537405025,EXTREME,20,18,PERSISTENT_HIGH,UP,1,BONATO_AR1_RM_QBOOST_H1,0,0,1,NON_CONSENSUS_UP,DOWN_WATCH
EXTERNAL_RESEARCH_V2,2020-03-19,2020-03-20,2020,498,0.0003393039511955475,2.860861230028183e-05,4.226816010694759e-05,11.86020306172645,EXTREME,20,19,PERSISTENT_HIGH,UP,1,BONATO_AR1_RM_QBOOST_H1,0,0,1,NON_CONSENSUS_UP,DOWN_WATCH
EXTERNAL_RESEARCH_V2,2020-03-20,2020-03-23,2020,498,0.0002868953762061509,2.860861230028183e-05,4.226816010694759e-05,10.028287048488703,EXTREME,20,20,PERSISTENT_HIGH,UP,0,,0,0,1,NON_CONSENSUS_UP,RETAIN_DOWN
EXTERNAL_RESEARCH_V2,2020-03-23,2020-03-24,2020,498,0.00022673277054189846,2.860861230028183e-05,4.226816010694759e-05,7.925332699190896,EXTREME,20,20,PERSISTENT_HIGH,UP,1,AR1_RM_LOGIT,0,0,1,NON_CONSENSUS_UP,DOWN_WATCH
EXTERNAL_RESEARCH_V2,2020-03-24,2020-03-25,2020,498,0.0002695620680331071,2.860861230028183e-05,4.226816010694759e-05,9.422409769608139,EXTREME,20,20,PERSISTENT_HIGH,DOWN,1,BONATO_AR1_RM_QBOOST_H1,0,0,1,NON_CONSENSUS_UP,DOWN_WATCH
