"k","target_week","origin_week","k_star","p_up","forecast_up","actual_up","previous_up","final_order","final_context","final_leaves"
26,"2024-01-22","2024-01-15",0.4,0.454545454545455,0,0,0,6,9,3
26,"2024-01-29","2024-01-22",0.4,0.454545454545455,0,1,0,6,9,3
26,"2024-02-05","2024-01-29",0.4,1,1,0,1,6,9,3
26,"2024-02-12","2024-02-05",0.4,0.6,1,0,0,6,10,4
26,"2024-02-19","2024-02-12",0.4,0.5,1,1,0,6,10,4
26,"2024-02-26","2024-02-19",0.4,0.5,1,1,1,5,9,4
26,"2024-03-04","2024-02-26",0.4,0.5,1,1,1,5,9,3
26,"2024-03-11","2024-03-04",0.4,1,1,0,1,5,8,4
26,"2024-03-18","2024-03-11",0.4,0.666666666666667,1,1,0,5,10,5
26,"2024-03-25","2024-03-18",0.4,1,1,1,1,5,7,3
26,"2024-04-01","2024-03-25",0.4,1,1,1,1,5,7,4
26,"2024-04-08","2024-04-01",0.4,0,0,1,1,4,6,4
26,"2024-04-15","2024-04-08",0.4,0.2,0,1,1,3,5,4
26,"2024-04-22","2024-04-15",0.4,0.4,0,0,1,3,5,4
26,"2024-04-29","2024-04-22",0.4,0.555555555555556,1,0,0,3,5,4
26,"2024-05-06","2024-04-29",0.4,0.5,1,1,0,3,5,4
26,"2024-05-13","2024-05-06",0.4,0.5,1,1,1,3,5,3
26,"2024-05-20","2024-05-13",0.4,1,1,0,1,4,6,3
26,"2024-05-27","2024-05-20",0.4,0.5,1,0,0,4,7,3
26,"2024-06-03","2024-05-27",0.4,0.666666666666667,1,0,0,4,6,2
26,"2024-06-10","2024-06-03",0.4,0.363636363636364,0,1,0,4,5,2
26,"2024-06-17","2024-06-10",0.4,0,0,0,1,4,6,2
26,"2024-06-24","2024-06-17",0.4,0.2,0,1,0,4,6,3
26,"2024-07-01","2024-06-24",0.4,1,1,1,1,4,5,2
26,"2024-07-08","2024-07-01",0.4,0.571428571428571,1,1,1,4,7,4
26,"2024-07-15","2024-07-08",0.4,0.5,1,0,1,4,8,4
26,"2024-07-22","2024-07-15",0.4,0.4,0,0,0,4,8,4
26,"2024-07-29","2024-07-22",0.4,0.75,1,1,0,4,8,4
26,"2024-08-05","2024-07-29",0.4,0.666666666666667,1,0,1,5,10,3
26,"2024-08-12","2024-08-05",0.4,0.4,0,1,0,5,10,5
26,"2024-08-19","2024-08-12",0.4,1,1,1,1,5,11,6
26,"2024-08-26","2024-08-19",0.4,1,1,0,1,5,12,6
26,"2024-09-02","2024-08-26",0.4,0,0,0,0,5,9,5
26,"2024-09-09","2024-09-02",0.4,0,0,1,0,5,9,5
26,"2024-09-16","2024-09-09",0.4,0.333333333333333,0,1,1,5,9,5
26,"2024-09-23","2024-09-16",0.4,0.5,1,1,1,5,9,4
26,"2024-09-30","2024-09-23",0.4,0,0,0,1,5,10,5
26,"2024-10-07","2024-09-30",0.4,0,0,1,0,3,7,6
26,"2024-10-14","2024-10-07",0.4,1,1,1,1,4,8,5
26,"2024-10-21","2024-10-14",0.4,0.5,1,1,1,4,8,6
26,"2024-10-28","2024-10-21",0.4,0,0,0,1,4,8,5
26,"2024-11-04","2024-10-28",0.4,0.25,0,0,0,3,7,6
26,"2024-11-11","2024-11-04",0.4,1,1,0,0,6,12,7
26,"2024-11-18","2024-11-11",0.4,0.5,1,1,0,6,10,6
26,"2024-11-25","2024-11-18",0.4,0.333333333333333,0,0,1,6,10,7
26,"2024-12-02","2024-11-25",0.4,1,1,0,0,6,10,5
26,"2024-12-09","2024-12-02",0.4,0.75,1,1,0,6,10,5
26,"2024-12-16","2024-12-09",0.4,0.333333333333333,0,0,1,3,6,6
26,"2024-12-23","2024-12-16",0.4,0.333333333333333,0,0,0,3,6,5
26,"2024-12-30","2024-12-23",0.4,0.8,1,1,0,3,6,6
52,"2023-03-06","2023-02-27",0.54,1,1,0,1,5,21,10
52,"2023-03-13","2023-03-06",0.54,0.666666666666667,1,1,0,5,19,9
52,"2023-03-20","2023-03-13",0.54,1,1,1,1,5,19,8
52,"2023-03-27","2023-03-20",0.54,0.333333333333333,0,0,1,5,18,8
52,"2023-04-03","2023-03-27",0.54,0.666666666666667,1,1,0,5,19,10
52,"2023-04-10","2023-04-03",0.54,0,0,0,1,5,20,10
52,"2023-04-17","2023-04-10",0.54,0,0,0,0,5,20,11
52,"2023-04-24","2023-04-17",0.54,0.666666666666667,1,1,0,5,20,12
52,"2023-05-01","2023-04-24",0.54,1,1,1,1,8,24,13
52,"2023-05-08","2023-05-01",0.54,0.666666666666667,1,0,1,8,24,14
52,"2023-05-15","2023-05-08",0.54,0,0,0,0,7,23,13
52,"2023-05-22","2023-05-15",0.54,1,1,0,0,6,22,14
52,"2023-05-29","2023-05-22",0.54,0.333333333333333,0,1,0,5,21,14
52,"2023-06-05","2023-05-29",0.54,0.333333333333333,0,1,1,5,20,13
52,"2023-06-12","2023-06-05",0.54,0.5,1,0,1,5,20,12
52,"2023-06-19","2023-06-12",0.54,0,0,0,0,5,18,11
52,"2023-06-26","2023-06-19",0.54,0.5,1,0,0,5,18,11
52,"2023-07-03","2023-06-26",0.54,0.666666666666667,1,1,0,5,17,11
52,"2023-07-10","2023-07-03",0.54,0.333333333333333,0,1,1,6,20,12
52,"2023-07-17","2023-07-10",0.54,0.166666666666667,0,1,1,7,21,12
52,"2023-07-24","2023-07-17",0.54,0.6,1,0,1,7,22,12
52,"2023-07-31","2023-07-24",0.54,0,0,0,0,7,22,11
52,"2023-08-07","2023-07-31",0.54,0.2,0,0,0,6,21,11
