evaluation_year,origin_date,target_date,source,actual_up,sqrt_score,lag1_close_return,downside_share,intraday_end_norm,close_location,trough_recovery_norm,last_quarter_return_norm,direct_up_fraction,legacy_up_fraction,p_up,tau,up2_call
2022,2022-02-24,2022-02-28,GOVERNED_ROUTER_ABSTAIN,0,1.3886254071917998,-0.012266128413530631,0.6180051510933889,-0.6682231212205701,0.3182885748769877,0.719804490016705,0.14091719176290263,0.4,1.0,0.5346094892293329,0.5,1
2022,2022-03-02,2022-03-03,GOVERNED_ROUTER_ABSTAIN,1,1.2551675651079088,-0.006096784712776314,0.6185073410726372,-0.40402472069725553,0.2909943108228693,0.3446811410704702,-0.17079909389512757,0.4,1.0,0.5698976467642329,0.5,1
2022,2022-03-03,2022-03-07,GOVERNED_ROUTER_ABSTAIN,1,1.0650787300437408,0.007515923685044293,0.5557988022556221,0.6897587189823515,0.6071700423008617,0.8176195498239972,0.16749865623434837,0.4,1.0,0.50952080687271,0.5,1
2022,2022-03-07,2022-03-08,GOVERNED_ROUTER_ABSTAIN,1,1.2998887589614305,0.026517596004144838,0.4998947155775804,0.07172265039046287,0.7073240649771987,0.7721317108368129,-0.2192623092266222,0.6,1.0,0.5915386722683987,0.5,1
2022,2022-03-08,2022-03-09,GOVERNED_ROUTER_ABSTAIN,0,2.118256830499105,0.0299544537546003,0.47340458637052907,1.1159802919789714,0.78206636599366,1.139950379293892,0.03949796766312901,0.6,1.0,0.5317898137918986,0.5,1
2022,2022-03-09,2022-03-10,GOVERNED_ROUTER_ABSTAIN,1,2.1834485029706134,-0.036706552842854345,0.6208361809627478,-1.8040042163622063,0.07855673153935154,0.16011709661543544,-0.36254655242391504,0.2,1.0,0.5402068276601258,0.5,1
2022,2022-03-10,2022-03-14,GOVERNED_ROUTER_ABSTAIN,0,1.7090214649110764,0.005184038963086115,0.47451469086488507,0.28391109733763575,0.38812112029525603,0.39897285630334867,-0.3053319352332223,0.6,1.0,0.47625267261233384,0.5,0
2022,2022-03-14,2022-03-15,GOVERNED_ROUTER_ABSTAIN,0,1.5572377918497973,-0.023367661963858494,0.5855975144749134,-1.422251355420149,0.05495420786822557,0.09048178493360633,-0.4844855012153911,0.4,1.0,0.5350718929129484,0.5,1
2022,2022-03-15,2022-03-16,GOVERNED_ROUTER_ABSTAIN,1,1.5268817129504901,-0.012480750723600907,0.5511590798251786,-0.9566605183452335,0.29503928952805875,0.408696092585208,0.01801989872720076,0.6,0.6666666666666666,0.45295119909074444,0.5,0
2022,2022-03-16,2022-03-17,GOVERNED_ROUTER_ABSTAIN,0,1.4822032803405054,0.009536536916007364,0.5507770857071232,0.7031052712790833,0.9665159663941878,1.4174280064520284,0.3886950516866414,0.4,0.6666666666666666,0.46274155071573203,0.5,0
