origin_week,target_week,n_train,omega,a,b,g,slack,lambda_last,lambda_forecast,theta,psi,realp_forecast,historical_mean_realp,previous_realp,forecast_direction,actual_direction,previous_week_direction,historical_mean_realp_direction,previous_realp_direction,actual_realp,actual_return_log,converged_starts,optimizer_nit
2023-02-20,2023-02-27,52,0.0788321300535808,3.2168993415719405e-06,0.44740242671181696,0.029028575035369198,0.5235657813534722,0.1444018136168194,0.12818947611933154,0.562881232822193,-0.44280179146503323,0.506118703149589,0.497150630116376,0.462589812383605,UP,UP,DOWN,DOWN,DOWN,0.535677728328098,0.007342704531803,5,48
2023-02-27,2023-03-06,53,0.07361685898416451,3.8783728196884275e-06,0.4811674006869765,0.025180175001464487,0.4936485459387393,0.12607356732851796,0.12313101121765999,0.5659038408680035,-0.4609271190765442,0.5091494185984659,0.4978775564977292,0.535677728328098,UP,DOWN,UP,DOWN,UP,0.487232838063977,-0.002650938935247,5,53
2023-03-06,2023-03-13,54,0.06904949616365318,2.8395761969217107e-06,0.5062530496732245,0.03158955194500139,0.4621545588055772,0.12114490717835347,0.12488793091606293,0.5573885065328471,-0.40678619297478225,0.5065858205670043,0.49768043208228935,0.487232838063977,UP,UP,DOWN,DOWN,DOWN,0.607259819698509,0.047294084030081,5,51
2023-03-13,2023-03-20,55,0.08527535735391166,3.399656739833136e-06,0.40049067129011856,0.04619552287617051,0.5533104061769711,0.13165014330913866,0.17357000266491807,0.5978708100840324,-0.6630785345051274,0.4827802670829275,0.49967278458440245,0.607259819698509,DOWN,UP,UP,DOWN,UP,0.587997042307054,0.038031781479965,5,63
2023-03-20,2023-03-27,56,0.08013714215294426,3.1783961923351486e-06,0.4437823881407207,0.03891522413262367,0.5172992093304634,0.17797606460927728,0.1760377197404932,0.5584702242135812,-0.3831977988039703,0.4910129575025539,0.501250003472307,0.587997042307054,DOWN,DOWN,UP,UP,UP,0.477208280218054,-0.006859113810203,5,45
2023-03-27,2023-04-03,57,0.082794443090858,3.2929288678835655e-06,0.42107922094321826,0.042977535077907435,0.5359399510500065,0.17378894858576238,0.15262340335892838,0.5647874848406402,-0.42826115847534785,0.4994248093076953,0.5008282188538113,0.477208280218054,DOWN,UP,DOWN,UP,DOWN,0.545042900174692,0.013576885073589,5,60
2023-04-03,2023-04-10,58,0.08283368319059896,3.2973729244522144e-06,0.42083470583943233,0.04249875423775206,0.5366632425498912,0.15255380708993702,0.14625843747563483,0.5638665406986789,-0.4169253976834973,0.5028876834895829,0.5015905409455507,0.545042900174692,UP,DOWN,UP,UP,UP,0.494867842213028,-0.001565442045319,5,40
2023-04-10,2023-04-17,59,0.08298273071127438,3.303778864305425e-06,0.4213281178579894,0.04096273840860327,0.5377058399545431,0.1464818483693211,0.15348860182399343,0.563526839041697,-0.41526253240714794,0.49978877355263307,0.5014765968992367,0.494867842213028,DOWN,DOWN,DOWN,UP,DOWN,0.464480993729206,-0.0103413744887,5,62
2023-04-17,2023-04-24,60,0.08317808451909693,3.3231764851824314e-06,0.4201053994896168,0.03902838163949283,0.5408628956944052,0.15320246336066423,0.1500170960283024,0.5645896353057143,-0.4266930665017726,0.5005783805737071,0.5008600035130696,0.464480993729206,UP,UP,DOWN,UP,DOWN,0.512269095747646,0.003231272856312,5,45
2023-04-24,2023-05-01,61,0.0832904908510204,3.352602434989515e-06,0.4194018058764186,0.03494273150358327,0.5456521100175631,0.149432309571552,0.13851925393222717,0.5645969565619344,-0.42634047582202994,0.5055405919299562,0.501047037811997,0.512269095747646,UP,UP,UP,UP,UP,0.538776430825021,0.0137240715526,5,61
