"k","period","n","accuracy","balanced_accuracy","brier","log_loss","actual_up","actual_down","forecast_up","forecast_down","up_sensitivity","down_sensitivity","tp","tn","fp","fn","always_up_accuracy","previous_sign_accuracy","mean_p_up","min_p_up","max_p_up"
26,"2025",52,0.576923076923077,0.504504504504504,0.379886512297227,7.26276424709119,37,15,35,17,0.675675675675676,0.333333333333333,25,5,10,12,0.711538461538462,0.557692307692308,0.598626373626374,0,1
52,"2025",52,0.576923076923077,0.445045045045045,0.353178617721781,6.23732709415332,37,15,41,11,0.756756756756757,0.133333333333333,28,2,13,9,0.711538461538462,0.557692307692308,0.624312785168048,0,1
104,"2025",52,0.615384615384615,0.551351351351351,0.313487326749727,4.69079543340747,37,15,35,17,0.702702702702703,0.4,26,6,9,11,0.711538461538462,0.557692307692308,0.615535355894668,0,1
