origin_date,target_date,dr_d,dr_w,dr_m,target_dr,target_close_return,qhar_dr_forecast,ols_har_dr_forecast
2024-12-30,2025-01-02,2.757909455364123e-05,3.6406148786254655e-05,3.5986466044345494e-05,1.6829959819416845e-05,0.02138018434360125,0.00013367823926099034,3.526109099030645e-05
2025-01-02,2025-01-06,1.6829959819416845e-05,2.2207538396893958e-05,3.5421489678656996e-05,4.6747144765616e-05,-0.009261912118326178,0.0001321367333904582,2.714835754753401e-05
2025-01-06,2025-01-07,4.6747144765616e-05,2.3890314591777145e-05,3.659791750636407e-05,3.697052962732699e-05,0.00329589797780521,0.00013088284834301134,3.572072371304896e-05
2025-01-07,2025-01-08,3.697052962732699e-05,2.812680765634208e-05,3.6885629363095585e-05,3.242326160733847e-05,0.004530547192439914,0.00013391837506514077,3.476729691766882e-05
2025-01-08,2025-01-09,3.242326160733847e-05,3.21099980746679e-05,3.2289201767454715e-05,1.5227079880032663e-05,0.004772121208334085,0.0001209265732137847,3.448905183866837e-05
2025-01-09,2025-01-13,1.5227079880032663e-05,2.9639595139946194e-05,3.1075215777380945e-05,2.817222124720718e-05,0.000688367105825586,0.00011981202121986501,2.894150550857837e-05
2025-01-13,2025-01-14,2.817222124720718e-05,3.1908047425504265e-05,2.9943933875783922e-05,1.813881688080071e-05,0.0007477530566392112,0.00011437082254492367,3.301882958991373e-05
2025-01-14,2025-01-15,1.813881688080071e-05,2.6186381848541203e-05,3.018549958536187e-05,2.6272927519715846e-05,0.008066319144786747,0.00011617045881716659,2.8318805544834195e-05
2025-01-15,2025-01-16,2.6272927519715846e-05,2.4046861427018977e-05,2.9680237054578716e-05,2.1124431427921515e-05,0.006452144820385519,0.00011298049691982548,2.9590663403020357e-05
2025-01-16,2025-01-20,2.1124431427921515e-05,2.1787095391135583e-05,2.9641387047127485e-05,2.0648662040059722e-05,0.004626746322366484,0.00011347749443135436,2.740852734904928e-05
2025-01-20,2025-01-21,2.0648662040059722e-05,2.2871411823140993e-05,2.9372663660536987e-05,1.565584457882085e-05,0.00904092457440985,0.00011285082783242696,2.7651604934010507e-05
2025-01-21,2025-01-22,1.565584457882085e-05,2.0368136489463726e-05,2.8051616209740914e-05,1.842712757800349e-05,-0.0001453140859322384,0.00010932697287144863,2.5263756911618057e-05
2025-01-22,2025-01-23,1.842712757800349e-05,2.0425798628904285e-05,2.7953795534114477e-05,2.5158650087199508e-05,0.007414916586070595,0.00010855987151966847,2.5996353966214822e-05
2025-01-23,2025-01-27,2.5158650087199508e-05,2.0202943142401014e-05,2.7974520235893342e-05,3.992663744586106e-05,-0.010803951608202843,0.00010745431063065319,2.767348939107152e-05
2025-01-27,2025-01-28,3.992663744586106e-05,2.3963384345988928e-05,2.83423167607612e-05,7.3157252236177215e-06,0.007273506515802378,0.00010651111379366709,3.29599744667151e-05
2025-01-28,2025-01-29,7.3157252236177215e-06,2.1296796982700525e-05,2.6899622571171077e-05,2.319222522015546e-05,-0.0007169970168253862,0.00010728685610057964,2.3289120666057275e-05
2025-01-29,2025-01-30,2.319222522015546e-05,2.280407311096745e-05,2.729515911087739e-05,1.832139846713666e-05,0.012781581737642097,0.00010598383671485373,2.8037017669808822e-05
2025-01-30,2025-02-03,1.832139846713666e-05,2.2782927288794083e-05,2.6935608515795633e-05,3.219390277409671e-05,0.008217213776050654,0.00010569707147684005,2.6714118063799685e-05
2025-02-03,2025-02-04,3.219390277409671e-05,2.4189977826173522e-05,2.440701265251729e-05,2.5837271667581663e-05,0.012776832880486354,9.56771889948703e-05,3.05451130736543e-05
2025-02-04,2025-02-05,2.5837271667581663e-05,2.1372104670517643e-05,2.3839013010534632e-05,3.678862534709784e-05,0.004636689602044377,9.46788643785185e-05,2.777717821255472e-05
2025-02-05,2025-02-06,3.678862534709784e-05,2.726668469521367e-05,2.479358396701625e-05,3.849794509925749e-05,-0.0006904634879605152,9.644328818808287e-05,3.292656540030068e-05
2025-02-06,2025-02-10,3.849794509925749e-05,3.032782867103407e-05,2.5974976493541164e-05,7.553999379606375e-05,0.01721626741106323,0.00010015692609091143,3.4646243295025185e-05
2025-02-10,2025-02-11,7.553999379606375e-05,4.1771547736819494e-05,2.8155017368196735e-05,4.4563178156500396e-05,-0.010637873310737499,0.00010191098161076505,4.880177603969658e-05
2025-02-11,2025-02-12,4.4563178156500396e-05,4.4245402813300226e-05,2.9415618201700536e-05,4.814034048871853e-05,0.011371433593440021,0.000111358653459858,4.178386059632321e-05
2025-02-12,2025-02-13,4.814034048871853e-05,4.87060165775276e-05,2.947894528002337e-05,2.3969363564690703e-05,0.003458026908026731,0.00011145571539778533,4.4370867007543725e-05
2025-02-13,2025-02-17,2.3969363564690703e-05,4.614216422104617e-05,2.8887983186267175e-05,1.68710492962926e-05,-0.006089485054011317,0.00011344346168437272,3.7044572089546424e-05
2025-02-17,2025-02-18,1.68710492962926e-05,4.1816785060453204e-05,2.8181064444856003e-05,1.9257003788921944e-05,0.006355794161174689,0.00011196936016598345,3.350993621742037e-05
2025-02-18,2025-02-19,1.9257003788921944e-05,3.056018705902483e-05,2.836424280435097e-05,3.015482819823166e-05,0.003608549892033968,0.00011084546341537208,3.0002001881477286e-05
2025-02-19,2025-02-20,3.015482819823166e-05,2.767851706737109e-05,2.845436130212481e-05,4.7201921587397776e-05,-0.0038986996201877656,0.00010894286475753923,3.1794010595296966e-05
2025-02-20,2025-02-24,4.7201921587397776e-05,2.749083328710694e-05,2.9775411516061037e-05,2.841741678202982e-05,0.002860736214081901,0.00011011053541537947,3.633504497552173e-05
2025-02-24,2025-02-25,2.841741678202982e-05,2.838044393057476e-05,2.9872888300711672e-05,6.63324063698616e-05,-0.007488004424369507,0.0001137066612419013,3.177268205180261e-05
2025-02-25,2025-02-26,6.63324063698616e-05,3.827271534528856e-05,3.192779625261804e-05,3.0413264383904267e-05,-0.0060628552177797775,0.00011474811619934349,4.5568377236624244e-05
2025-02-26,2025-02-27,3.0413264383904267e-05,4.050396746428503e-05,3.237164181370188e-05,6.736141736253499e-05,-0.01168163144774008,0.0001224814923989344,3.7071392579430543e-05
2025-02-27,2025-03-03,6.736141736253499e-05,4.794528529714569e-05,3.4721895122052525e-05,2.6009043419018616e-05,0.009567233107015578,0.0001243211780218644,4.9746556342863245e-05
2025-03-03,2025-03-04,2.6009043419018616e-05,4.370670966346986e-05,3.5066527660280486e-05,4.578562778006973e-05,0.006656341906710871,0.00013193260977777355,3.743250287170107e-05
2025-03-04,2025-03-05,4.578562778006973e-05,4.7180351863077844e-05,3.600411755541095e-05,3.8497968446686635e-05,0.002316400725524094,0.0001318680108080736,4.398989256018055e-05
2025-03-05,2025-03-06,3.8497968446686635e-05,4.161346427844285e-05,3.593917805544848e-05,4.758369595040736e-05,-0.003664068457200766,0.00013227038887179274,4.002615879528409e-05
2025-03-06,2025-03-10,4.758369595040736e-05,4.504755059174347e-05,3.7769540361211645e-05,4.060300903334932e-05,-0.0033772230208620165,0.00013678039325048797,4.388777212316073e-05
2025-03-10,2025-03-11,4.060300903334932e-05,3.969586892590633e-05,3.856093962544773e-05,1.585121558422458e-05,0.006232067086992434,0.000139804318924542,4.0188073815626546e-05
2025-03-11,2025-03-12,1.585121558422458e-05,3.7664303358947524e-05,3.844865858531536e-05,1.8718113876160145e-05,0.010466377004482491,0.00014343239942244475,3.296500217968251e-05
2025-03-12,2025-03-13,1.8718113876160145e-05,3.22508005781656e-05,3.783612272631825e-05,2.4225718012251325e-05,0.01584628768605405,0.0001404321621825356,3.164120595305232e-05
2025-03-13,2025-03-17,2.4225718012251325e-05,2.9396350491278545e-05,3.7762870287439596e-05,1.4468506703597422e-05,0.00625226502713239,0.00013894350605399904,3.201655036426282e-05
2025-03-17,2025-03-18,1.4468506703597422e-05,2.277331264191656e-05,3.674831944000776e-05,2.260924356731421e-05,0.008217848385295554,0.00013670738922811056,2.6902739282157208e-05
2025-03-18,2025-03-19,2.260924356731421e-05,1.9174559548709538e-05,3.602610573401034e-05,2.494919477531816e-05,0.004478842840357156,0.00013267856318454927,2.7611479066327468e-05
2025-03-19,2025-03-20,2.494919477531816e-05,2.099415538692825e-05,3.372652396034008e-05,2.5581508292467216e-05,-0.0063645266033366035,0.0001253745713993154,2.8612808485518272e-05
2025-03-20,2025-03-24,2.5581508292467216e-05,2.2366834270189663e-05,3.286372078470221e-05,2.2010296165439843e-05,-0.005084397002087347,0.00012275463075315902,2.917895505195442e-05
2025-03-24,2025-03-25,2.2010296165439843e-05,2.192374990082737e-05,3.167599149728046e-05,1.5876438543970847e-05,0.0007691443435031694,0.00011963674375959992,2.7938480506137615e-05
2025-03-25,2025-03-26,1.5876438543970847e-05,2.220533626890205e-05,3.130813126906592e-05,1.4821649256672606e-05,0.005331049984584944,0.00011957352248820631,2.6396624172954614e-05
2025-03-26,2025-03-27,1.4821649256672606e-05,2.0647817406773735e-05,3.121497672181046e-05,2.4120330678330888e-05,0.013603129416015611,0.00011928683529055032,2.553534143573602e-05
2025-03-27,2025-03-31,2.4120330678330888e-05,2.048204458737628e-05,3.143603703496541e-05,3.7772401990642146e-05,0.0227709135263155,0.00011837117724108275,2.7927979033078663e-05
2025-03-31,2025-04-01,3.7772401990642146e-05,2.2920223327011266e-05,3.178229038916589e-05,4.8983454697638e-05,-0.006527797834161955,0.00011740007570282798,3.243276402436682e-05
2025-04-01,2025-04-02,4.8983454697638e-05,2.8314855033450896e-05,3.186326916690408e-05,7.243087012468907e-05,0.007118786809927224,0.00011636074823539422,3.735885014630778e-05
2025-04-02,2025-04-03,7.243087012468907e-05,3.962574134959454e-05,3.3863880682479496e-05,0.00014412155563120135,-0.015852640975164686,0.00011985539563931532,4.789548103642533e-05
2025-04-03,2025-04-07,0.00014412155563120135,6.548572262450029e-05,3.7399751103449475e-05,0.00018034057712180493,-0.03404121468301403,0.0001215599046666773,7.657798614879097e-05
