"target_week","origin_week","p_up","forecast_up","actual_up","previous_up","baseline_state","loglik","aic","bic","warning_count","warning_text","dgs10_mean","dgs10_sd","dexchus_mean","dexchus_sd","gpr_mean","gpr_sd"
"2024-03-04","2024-02-26",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.60673076923077,0.669018179774889,6.96623269230769,0.279690097378012,136.210923382686,44.5658754265242
"2024-03-11","2024-03-04",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.62884615384615,0.652191686177495,6.97469519230769,0.273089257210616,135.81341476147,44.3653137164993
"2024-03-18","2024-03-11",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.65096153846154,0.634141142646974,6.98315769230769,0.266053219981612,135.415906140254,44.1602284343145
"2024-03-25","2024-03-18",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.67307692307692,0.614758736989564,6.99162019230769,0.258546458006168,135.018397519038,43.950556255351
"2024-04-01","2024-03-25",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.69153846153846,0.603363982678554,6.9996125,0.251771445394468,133.588971179082,41.3241669340708
"2024-04-08","2024-04-01",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.70932692307692,0.590563766232366,7.00791153846154,0.244805138005162,132.029714111915,38.4698950103292
"2024-04-15","2024-04-08",0.5,1,1,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.72711538461538,0.576926360458667,7.01621057692308,0.23734187374476,130.470457044748,35.3166971394924
"2024-04-22","2024-04-15",0.5,1,0,1,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.74490384615385,0.562390865688896,7.02450961538462,0.229333139848693,128.911199977581,31.7757076554652
"2024-04-29","2024-04-22",0.5,1,0,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.76269230769231,0.546885676573472,7.03280865384615,0.220719567764815,127.351942910414,27.6985978452813
"2024-05-06","2024-04-29",0.5,1,1,0,0,-72.0873067782344,144.174613556469,144.174613556469,0,"",3.77980769230769,0.545897285351233,7.03997596153846,0.21531919069735,126.749982214708,27.0702590512604
