"identity","n","accuracy","balanced_accuracy","brier","log_loss","actual_up","actual_down","forecast_up","forecast_down","up_sensitivity","down_sensitivity","tp","tn","fp","fn","always_up_accuracy","previous_sign_accuracy","mean_p_up","min_p_up","max_p_up","delta_accuracy_vs_vlmc104","delta_balanced_vs_vlmc104","delta_brier_vs_vlmc104","delta_logloss_vs_vlmc104"
"VLMC_C_104",44,0.477272727272727,0.441666666666667,0.270777299623453,1.31285457927293,24,20,39,5,0.833333333333333,0.05,20,1,19,4,0.545454545454545,0.5,0.508741258741259,0,0.548076923076923,-0.0909090909090909,-0.116666666666667,-0.0669149321078122,-4.71058494282096
"VLMC_BS_104",44,0.568181818181818,0.558333333333333,0.337692231731266,6.02343952209389,24,20,27,17,0.666666666666667,0.45,16,9,11,8,0.545454545454545,0.5,0.571303002553003,0,1,0,0,0,0
