"identity","n","accuracy","balanced_accuracy","brier","log_loss","actual_up","actual_down","forecast_up","forecast_down","up_sensitivity","down_sensitivity","tp","tn","fp","fn","always_up_accuracy","previous_sign_accuracy","mean_p_up","min_p_up","max_p_up","fit_warning_origins","delta_accuracy_vs_vlmc104","delta_balanced_vs_vlmc104","delta_brier_vs_vlmc104","delta_logloss_vs_vlmc104"
"COVLMC_X3_104",44,0.545454545454545,0.5,0.25,0.693147180559945,24,20,44,0,1,0,24,0,20,0,0.545454545454545,0.5,0.5,0.5,0.5,0,-0.0227272727272728,-0.0583333333333333,-0.0876922317312657,-5.33029234153395
"VLMC_BS_104",44,0.568181818181818,0.558333333333333,0.337692231731266,6.02343952209389,24,20,27,17,0.666666666666667,0.45,16,9,11,8,0.545454545454545,0.5,0.571303002553003,0,1,0,0,0,0,0
