origin_date,target_date,dr_d,dr_w,dr_m,target_dr,target_close_return,qhar_dr_forecast,ols_har_dr_forecast
2023-12-28,2024-01-02,2.621440957085982e-05,2.0860727044854378e-05,2.8655683799384956e-05,3.343251602159611e-05,-0.0024861623458702848,0.00010945718109914812,2.8274849513916258e-05
2024-01-02,2024-01-03,3.343251602159611e-05,2.368021629242883e-05,2.938307138796899e-05,3.538343398665794e-05,-0.010584010999057068,0.00011080233613109893,3.1287667168469e-05
2024-01-03,2024-01-04,3.538343398665794e-05,2.5574658904979883e-05,2.9915211575452112e-05,1.7671354367827245e-05,0.0007290398518761071,0.00011233320103011299,3.256071154856399e-05
2024-01-04,2024-01-08,1.7671354367827245e-05,2.6478668483573563e-05,3.037544776357878e-05,3.0466990074112487e-05,-0.005753406933518417,0.0001168709066478562,2.832782523647788e-05
2024-01-08,2024-01-09,3.0466990074112487e-05,2.8633740804210715e-05,3.0964830180827576e-05,2.2062060054349897e-05,-0.0015112375472532513,0.00011676520645738817,3.253432037418381e-05
2024-01-09,2024-01-10,2.2062060054349897e-05,2.7803270900908732e-05,3.137602513654702e-05,1.955265009846605e-05,0.001152098804119989,0.00011937115427536666,3.0084557751697274e-05
2024-01-10,2024-01-11,1.955265009846605e-05,2.5027297716282728e-05,3.101246624533e-05,4.224118214824826e-05,0.0012491039261325425,0.00011835611201227884,2.8361101567587228e-05
2024-01-11,2024-01-15,4.224118214824826e-05,2.6398847348600784e-05,3.179520234719594e-05,8.613350304068193e-06,0.007213096096054488,0.00011707751550510458,3.488402200542039e-05
2024-01-15,2024-01-16,8.613350304068193e-06,2.4587246535848977e-05,2.5305853905605363e-05,5.264962558934297e-05,-0.01176945119422155,0.00010251144281896068,2.4647222836197174e-05
2024-01-16,2024-01-17,5.264962558934297e-05,2.9023773638895073e-05,2.552029619047888e-05,3.6470518591364094e-05,-0.008592661493670196,9.619594254895614e-05,3.780300520882442e-05
2024-01-17,2024-01-18,3.6470518591364094e-05,3.190546534629791e-05,2.5962341452918142e-05,1.2732149418738275e-05,0.006442754714760577,0.0001006425600264151,3.469762405852918e-05
2024-01-18,2024-01-22,1.2732149418738275e-05,3.054136521035236e-05,2.5467097555385538e-05,2.1004825294435152e-05,0.00322068815122066,0.00010298984256473714,2.7938550966220807e-05
2024-01-22,2024-01-23,2.1004825294435152e-05,2.6294093839589737e-05,2.5337777846889887e-05,1.656837264405319e-05,-0.001549772992943199,0.0001006987275088755,2.8514828737510662e-05
2024-01-23,2024-01-24,1.656837264405319e-05,2.7885098307586736e-05,2.4989247819207688e-05,3.2165353705356394e-05,-0.0043561653403204744,0.00010055625629583472,2.7901423431741116e-05
2024-01-24,2024-01-25,3.2165353705356394e-05,2.3788243930789416e-05,2.516235810975199e-05,1.565620954081039e-05,0.0027643699307489393,9.797290993918036e-05,3.048164273802287e-05
2024-01-25,2024-01-29,1.565620954081039e-05,1.962538212067868e-05,2.3914005163526702e-05,1.7854473492649906e-05,0.005210734246477836,9.644205284545861e-05,2.4484795104331643e-05
2024-01-29,2024-01-30,1.7854473492649906e-05,2.0649846935461008e-05,2.4120632569033917e-05,2.16821744136092e-05,0.0013525113275076283,9.682455761972937e-05,2.5461693598496704e-05
