origin_date,target_date,dr_d,dr_w,dr_m,sd_d,sd_w,sd_m,target_dr,target_sd,target_close_return,sqrt_qhar_sd_forecast,sqrt_qhar_dr_forecast,sqrt_ols_sd_forecast,sqrt_ols_dr_forecast,raw_ols_har_dr_forecast
2023-12-28,2024-01-02,2.621440957085982e-05,2.0860727044854378e-05,2.8655683799384956e-05,0.005120000934654194,0.0045342943308516155,0.005024814510031656,3.343251602159611e-05,0.005782085784697085,-0.0024861623458702848,0.0050227830472374035,2.5228349539615456e-05,0.005038414045868954,2.5385616097609563e-05,2.8274849513916258e-05
2024-01-02,2024-01-03,3.343251602159611e-05,2.368021629242883e-05,2.938307138796899e-05,0.005782085784697085,0.004811278266136908,0.005097867325683662,3.538343398665794e-05,0.00594839759823248,-0.010584010999057068,0.005296978685012727,2.8057983189479158e-05,0.005328346989113611,2.8391281636396082e-05,3.1287667168469e-05
2024-01-03,2024-01-04,3.538343398665794e-05,2.5574658904979883e-05,2.9915211575452112e-05,0.00594839759823248,0.00498289647281836,0.005147074718311579,1.7671354367827245e-05,0.004203731005645728,0.0007290398518761071,0.005412444757199703,2.929455824973855e-05,0.005447979196778384,2.9680477328530045e-05,3.256071154856399e-05
2024-01-04,2024-01-08,1.7671354367827245e-05,2.6478668483573563e-05,3.037544776357878e-05,0.004203731005645728,0.005098348072427301,0.005213288529384109,3.0466990074112487e-05,0.005519691121259639,-0.005753406933518417,0.005076482632683781,2.5770675919940046e-05,0.005072118872661112,2.5726389858405034e-05,2.832782523647788e-05
2024-01-08,2024-01-09,3.0466990074112487e-05,2.8633740804210715e-05,3.0964830180827576e-05,0.005519691121259639,0.005314781288897825,0.005274030440159556,2.2062060054349897e-05,0.004697026724892024,-0.0015112375472532513,0.005472222503759396,2.994521913065075e-05,0.0054974037803053955,3.0221448323716053e-05,3.253432037418381e-05
2024-01-09,2024-01-10,2.2062060054349897e-05,2.7803270900908732e-05,3.137602513654702e-05,0.004697026724892024,0.005230186446945392,0.0053235435794404505,1.955265009846605e-05,0.0044218378643349245,0.001152098804119989,0.005262306849212089,2.7691873375264464e-05,0.005264609401539338,2.7716112150776388e-05,3.0084557751697274e-05
2024-01-10,2024-01-11,1.955265009846605e-05,2.5027297716282728e-05,3.101246624533e-05,0.0044218378643349245,0.004958136862872959,0.005285949869836251,4.224118214824826e-05,0.006499321668316491,0.0012491039261325425,0.005084679409513461,2.585396469753016e-05,0.005077596484842418,2.578198606288408e-05,2.8361101567587228e-05
2024-01-11,2024-01-15,4.224118214824826e-05,2.6398847348600784e-05,3.179520234719594e-05,0.006499321668316491,0.005068321676889762,0.005354005475195532,8.613350304068193e-06,0.002934850984985131,0.007213096096054488,0.005612105088547261,3.149572352489806e-05,0.005648542718143357,3.190603483869034e-05,3.488402200542039e-05
2024-01-15,2024-01-16,8.613350304068193e-06,2.4587246535848977e-05,2.5305853905605363e-05,0.002934850984985131,0.004814545672757642,0.004928152428819951,5.264962558934297e-05,0.0072560061734636755,-0.01176945119422155,0.004620127563591047,2.1345578703853745e-05,0.004599874469644744,2.1158845136489518e-05,2.4647222836197174e-05
2024-01-16,2024-01-17,5.264962558934297e-05,2.9023773638895073e-05,2.552029619047888e-05,0.0072560061734636755,0.00516180868319845,0.004943276052438549,3.6470518591364094e-05,0.00603908259517653,-0.008592661493670196,0.0057388868960225655,3.2934822805339514e-05,0.005819548112963443,3.386714023909637e-05,3.780300520882442e-05
2024-01-17,2024-01-18,3.6470518591364094e-05,3.190546534629791e-05,2.5962341452918142e-05,0.00603908259517653,0.005430219857255351,0.004982706744367827,1.2732149418738275e-05,0.003568213757433581,0.006442754714760577,0.005577709678440578,3.1110845256969695e-05,0.005634911324096939,3.1752225630435915e-05,3.469762405852918e-05
2024-01-18,2024-01-22,1.2732149418738275e-05,3.054136521035236e-05,2.5467097555385538e-05,0.003568213757433581,0.005259495035875082,0.004923952176563863,2.1004825294435152e-05,0.00458310214750175,0.00322068815122066,0.004939085646910906,2.4394567027521325e-05,0.0049423039569830955,2.4426368403210762e-05,2.7938550966220807e-05
2024-01-22,2024-01-23,2.1004825294435152e-05,2.6294093839589737e-05,2.5337777846889887e-05,0.00458310214750175,0.004876251131712134,0.004910291740962829,1.656837264405319e-05,0.004070426592392152,-0.001549772992943199,0.005014116425068552,2.5141363524142238e-05,0.005032347913608224,2.5324525523597048e-05,2.8514828737510662e-05
2024-01-23,2024-01-24,1.656837264405319e-05,2.7885098307586736e-05,2.4989247819207688e-05,0.004070426592392152,0.005103366253193537,0.004871537922964488,3.2165353705356394e-05,0.005671450758435305,-0.0043561653403204744,0.004980439567507182,2.480477828559112e-05,0.004994647936596404,2.494650801054672e-05,2.7901423431741116e-05
2024-01-24,2024-01-25,3.2165353705356394e-05,2.3788243930789416e-05,2.516235810975199e-05,0.005671450758435305,0.004786455170187864,0.004887280126459609,1.565620954081039e-05,0.003956792835215206,0.0027643699307489393,0.005220278480306035,2.725130741194628e-05,0.005261880943796014,2.7687391066683628e-05,3.048164273802287e-05
2024-01-25,2024-01-29,1.565620954081039e-05,1.962538212067868e-05,2.3914005163526702e-05,0.003956792835215206,0.004369997218195599,0.004768653432093344,1.7854473492649906e-05,0.004225455418372073,0.005210734246477836,0.004643486884562522,2.1561970447104155e-05,0.004646238764172368,2.1587534653697974e-05,2.4484795104331643e-05
2024-01-29,2024-01-30,1.7854473492649906e-05,2.0649846935461008e-05,2.4120632569033917e-05,0.004225455418372073,0.004501445550383297,0.00479489662993519,2.16821744136092e-05,0.004656412182529506,0.0013525113275076283,0.004761630639322291,2.2673126345332808e-05,0.004771381498883976,2.2766081407892294e-05,2.5461693598496704e-05
2024-01-30,2024-01-31,2.16821744136092e-05,2.0785316759295814e-05,2.4568676134998073e-05,0.004656412182529506,0.004516107557388849,0.004850243493960971,4.376467492383023e-05,0.006615487504623543,0.005484678497793681,0.004875977988582901,2.3775161345144956e-05,0.0048920048660850875,2.3931711609800174e-05,2.656533284960844e-05
2024-01-31,2024-02-01,4.376467492383023e-05,2.6224577215251228e-05,2.5679112732275635e-05,0.006615487504623543,0.005025119739835127,0.004951076284704286,3.384342526743473e-05,0.005817510229250545,0.004554997326314869,0.005541258611901943,3.0705547003977444e-05,0.0056045428214372105,3.1410900237323366e-05,3.4470821043463415e-05
