origin_date,target_date,origin_close,target_close,target_log_return,actual_up,momentum_20d_log_return,tsm_signal,rs_plus_5d,rs_minus_5d,q80_plus_250d,q80_minus_250d,region,ttsm_s1_signal,ttsm_s2_signal
2021-12-30,2022-01-03,1817.57996,1803.55005,-0.0077489513852337785,0,0.013258843776903442,1,8.308329507764245e-05,6.683502133618323e-05,0.00023651318880696826,0.00028194804544310335,3,1,1
2022-01-03,2022-01-04,1803.55005,1815.060059,0.006361584956956199,1,0.006374455036891312,1,8.433712954890999e-05,8.719535122557023e-05,0.00023629033021014162,0.00028166462324665366,3,1,1
2022-01-04,2022-01-05,1815.060059,1805.43994,-0.005314261368923972,0,0.014612697874881442,1,9.450875989495245e-05,9.470280060707294e-05,0.00023618592041943487,0.0002814849260995513,3,1,1
2022-01-05,2022-01-06,1805.43994,1792.70996,-0.007075877029866646,0,0.014454994805989593,1,0.00010938300530607786,0.0001107202097745581,0.00023410131241529937,0.0002794761712456276,3,1,1
2022-01-06,2022-01-10,1792.70996,1806.82996,0.007845487334240278,1,0.008813136198579206,1,0.00012427124229658854,0.00012480441508758223,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-10,2022-01-11,1806.82996,1818.31995,0.006339063906939684,1,0.019228039480863476,1,0.00012503168782254204,0.00012976736229752974,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-11,2022-01-12,1818.31995,1826.099976,0.004269561673231806,1,0.022474436358232625,1,0.00012594786917461965,0.0001125658968516185,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-12,2022-01-13,1826.099976,1826.079956,-1.0963315265393591e-05,0,0.02030215273479862,1,0.00012026950000915601,0.00010765933764927722,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-13,2022-01-17,1826.079956,1818.01001,-0.0044290669370887405,0,0.022204295742836257,1,0.00011515805671420408,9.143455940046206e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-17,2022-01-18,1818.01001,1811.88,-0.003377521528492215,0,0.022135283931796645,1,8.307877391186593e-05,6.813895220694882e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-18,2022-01-19,1811.88,1839.94995,0.01537338990173968,1,0.014403312059035384,1,0.00011432069692266517,8.867925454887312e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-19,2022-01-20,1839.94995,1841.48999,0.0008366509381835173,1,0.038312572880413065,1,0.00013149866778611606,8.762080053960291e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-20,2022-01-24,1841.48999,1842.050049,0.0003040873715968794,1,0.0328835639918154,1,0.0001368381294917412,9.58177171299151e-05,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-24,2022-01-25,1842.050049,1847.55005,0.0029813556625708513,1,0.02153251644641059,1,0.00013897922519319304,0.00010522075195471944,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-25,2022-01-26,1847.55005,1816.0,-0.017224183957231014,0,0.030444436569768894,1,0.00017730607388040176,0.00012164206356915332,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-26,2022-01-27,1816.0,1798.68994,-0.009577691371179942,0,0.015080123534563939,1,0.0001566224446479978,0.00014946047523557276,0.00023359014899571574,0.0002794761712456276,3,1,1
2022-01-27,2022-01-31,1798.68994,1799.43994,0.0004168832342773318,1,-0.004349305964203553,-1,0.00016418322205433806,0.0001827539213399947,0.00023359014899571574,0.0002794761712456276,3,-1,-1
2022-01-31,2022-02-01,1799.43994,1797.64001,-0.0010007729465262496,0,-0.005890016687762839,-1,0.00016910986906786034,0.00017921541783448032,0.00023359014899571574,0.0002794761712456276,3,-1,-1
2022-02-01,2022-02-02,1797.64001,1806.5,0.0049165725098852696,1,-0.004567771026987746,-1,0.00016330519940579202,0.0001684759640009038,0.00023359014899571574,0.0002794761712456276,3,-1,-1
2022-02-02,2022-02-03,1806.5,1806.58997,4.9802247254071325e-05,1,0.0031713505724324416,1,0.0001372385728650499,0.00016033838804556418,0.00023359014899571574,0.0002794761712456276,3,1,1
