target_week,p_up,forecast_up,actual_up,p26,p52,w26_before,w52_before,loss26,loss52,w26_after,w52_after
2023-03-06,0.74,1,0,0.48,1.0,0.5,0.5,0.0,1.0,0.7195056496985046,0.28049435030149533
2023-03-13,0.5323589453896125,1,1,0.48,0.666666666666667,0.7195056496985046,0.28049435030149533,1.0,0.0,0.4862314220271301,0.5137685779728699
2023-03-20,0.7568842889864349,1,1,0.5,1.0,0.4862314220271301,0.5137685779728699,0.0,0.0,0.4869198509257736,0.5130801490742264
2023-03-27,0.44926663117280285,0,0,0.571428571428571,0.333333333333333,0.4869198509257736,0.5130801490742264,1.0,0.0,0.2708385693148043,0.7291614306851956
2023-04-03,0.5763871435617319,1,1,0.333333333333333,0.666666666666667,0.2708385693148043,0.7291614306851956,1.0,0.0,0.1392066174729445,0.8607933825270556
2023-04-10,0.0,0,0,0.0,0.0,0.1392066174729445,0.8607933825270556,0.0,0.0,0.15724628659929726,0.8427537134007028
2023-04-17,0.1048308577328649,0,0,0.666666666666667,0.0,0.15724628659929726,0.8427537134007028,1.0,0.0,0.08602066117454521,0.9139793388254548
2023-04-24,0.6437278236867882,1,1,0.4,0.666666666666667,0.08602066117454521,0.9139793388254548,1.0,0.0,0.05679165604116497,0.943208343958835
2023-05-01,0.9810694479862784,1,1,0.666666666666667,1.0,0.05679165604116497,0.943208343958835,0.0,0.0,0.07895207323910672,0.9210479267608932
2023-05-08,0.6591474215962757,1,0,0.571428571428571,0.666666666666667,0.07895207323910672,0.9210479267608932,1.0,1.0,0.10000446957715137,0.8999955304228486
2023-05-15,0.0666696463847676,0,0,0.666666666666667,0.0,0.10000446957715137,0.8999955304228486,1.0,0.0,0.062308565499116994,0.937691434500883
2023-05-22,0.937691434500883,1,0,0.0,1.0,0.062308565499116994,0.937691434500883,0.0,1.0,0.1703427050270862,0.8296572949729137
2023-05-29,0.3333333333333329,0,1,0.333333333333333,0.333333333333333,0.1703427050270862,0.8296572949729137,1.0,1.0,0.18682556977573186,0.8131744302242682
2023-06-05,0.3729629996493973,0,1,0.545454545454545,0.333333333333333,0.18682556977573186,0.8131744302242682,0.0,1.0,0.390212257014149,0.6097877429858509
2023-06-12,0.5325176880845123,1,0,0.583333333333333,0.5,0.390212257014149,0.6097877429858509,1.0,1.0,0.39570164416344156,0.6042983558365583
2023-06-19,0.15828065766537663,0,0,0.4,0.0,0.39570164416344156,0.6042983558365583,0.0,0.0,0.40091656195526953,0.5990834380447305
2023-06-26,0.29954171902236526,0,0,0.0,0.5,0.40091656195526953,0.5990834380447305,0.0,1.0,0.6380153175342647,0.36198468246573534
2023-07-03,0.560330780410956,1,1,0.5,0.666666666666667,0.6380153175342647,0.36198468246573534,0.0,0.0,0.6311145516575514,0.3688854483424486
2023-07-10,0.5016305471086802,1,1,0.6,0.333333333333333,0.6311145516575514,0.3688854483424486,0.0,1.0,0.8068769506557146,0.19312304934428542
2023-07-17,0.0321871748907143,0,1,0.0,0.166666666666667,0.8068769506557146,0.19312304934428542,1.0,1.0,0.7915331031229289,0.20846689687707115
2023-07-24,0.3229634139069749,0,0,0.25,0.6,0.7915331031229289,0.20846689687707115,0.0,1.0,0.8910859766777741,0.10891402332222583
2023-07-31,0.29702865889259106,0,0,0.333333333333333,0.0,0.8910859766777741,0.10891402332222583,0.0,0.0,0.8715316778438854,0.12846832215611453
2023-08-07,0.02569366443122291,0,0,0.0,0.2,0.8715316778438854,0.12846832215611453,0.0,0.0,0.8529550939516911,0.1470449060483088
