evaluation_year,origin_date,target_date,actual_up,last_hour_trend_r2,p_down,tau_veto,veto_call
2022,2022-02-24,2022-02-28,0,0.7678523853234722,0.5403794842653732,0.5623126294671983,0
2022,2022-03-02,2022-03-03,1,0.6087126395000305,0.5369915635724002,0.5623126294671983,0
2022,2022-03-03,2022-03-07,1,0.05386230390296576,0.525154648723606,0.5623126294671983,0
2022,2022-03-07,2022-03-08,1,0.8596432602779056,0.5423319415914826,0.5623126294671983,0
2022,2022-03-08,2022-03-09,0,0.8539644211210555,0.5422111857384655,0.5623126294671983,0
2022,2022-03-09,2022-03-10,1,0.43202843914255773,0.5332261479269048,0.5623126294671983,0
2022,2022-03-14,2022-03-15,0,0.5694223654477337,0.5361545760326111,0.5623126294671983,0
2023,2023-03-21,2023-03-23,1,0.11163599553775116,0.5263887149596232,0.5623126294671983,0
2024,2024-04-22,2024-04-23,1,0.2297929718132411,0.5289115693232644,0.5623126294671983,0
2024,2024-04-24,2024-04-25,1,0.1475650917563407,0.5271560114070364,0.5623126294671983,0
2024,2024-05-23,2024-05-27,1,0.0036659012103676947,0.5240821859885509,0.5623126294671983,0
2025,2025-04-22,2025-04-23,0,0.01309662008900958,0.5242836936598244,0.5623126294671983,0
2025,2025-04-23,2025-04-24,0,0.6250192277932213,0.5373388764290358,0.5623126294671983,0
2025,2025-04-24,2025-04-25,0,0.5572207129249145,0.535894606639866,0.5623126294671983,0
2025,2025-04-29,2025-04-30,0,0.19357957239378565,0.5281385020173788,0.5623126294671983,0
2025,2025-04-30,2025-05-01,1,0.5934007753617856,0.5366654045886565,0.5623126294671983,0
2025,2025-05-06,2025-05-07,1,0.7438791056004961,0.5398693488494186,0.5623126294671983,0
2025,2025-05-08,2025-05-09,1,0.08547280114038736,0.5258298990195792,0.5623126294671983,0
2025,2025-05-14,2025-05-15,1,0.008358465352169442,0.5241824537376669,0.5623126294671983,0
2025,2025-05-27,2025-05-28,0,0.5112832680798793,0.534915685903413,0.5623126294671983,0
2025,2025-06-16,2025-06-17,1,0.01623300729464372,0.5243507075956225,0.5623126294671983,0
2025,2025-06-23,2025-06-24,0,0.1516384412143844,0.5272429932259765,0.5623126294671983,0
2025,2025-06-26,2025-06-27,0,0.8151724693449263,0.541386174799212,0.5623126294671983,0
2025,2025-07-03,2025-07-07,0,0.8438261211898547,0.5419955907907658,0.5623126294671983,0
2025,2025-10-09,2025-10-10,1,0.9483580675348422,0.5442177345415109,0.5623126294671983,0
2025,2025-10-10,2025-10-13,1,0.043711963992464575,0.5249378017513752,0.5623126294671983,0
2025,2025-10-14,2025-10-15,1,0.8412414350295738,0.541940623900702,0.5623126294671983,0
2025,2025-10-17,2025-10-20,1,0.2806586057988011,0.5299971909048553,0.5623126294671983,0
2025,2025-10-21,2025-10-22,0,0.7555009739118103,0.5401166649610893,0.5623126294671983,0
2025,2025-10-29,2025-10-30,1,0.37039010285650464,0.5319116256230177,0.5623126294671983,0
2025,2025-12-01,2025-12-02,1,0.009832752729550198,0.5242139549778527,0.5623126294671983,0
2025,2025-12-03,2025-12-04,1,0.07994010724317213,0.525711718663576,0.5623126294671983,0
2025,2025-12-05,2025-12-08,0,0.007075016445374005,0.5241550300047517,0.5623126294671983,0
2025,2025-12-15,2025-12-16,1,0.043348769816821675,0.5249300424711981,0.5623126294671983,0
2025,2025-12-29,2025-12-30,0,0.5383719189565652,0.5354929744189146,0.5623126294671983,0
2025,2025-12-30,2025-12-31,0,0.5144742048701392,0.5349836931165697,0.5623126294671983,0
