policy,window,n,calls,tp,fp,actual_up,actual_down,precision,false_up_fpr,actual_up_recall,coverage,wilson90_lcb_precision,selected_counts,year
ROLLING_370,370,203,21,5,16,101,102,0.23809523809523808,0.1568627450980392,0.04950495049504951,0.10344827586206896,0.14082028065835464,"{""TTSM_S2"": 21}",2023
ROLLING_370,370,205,38,24,14,119,86,0.631578947368421,0.16279069767441862,0.20168067226890757,0.18536585365853658,0.5277920917469744,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37}",2024
ROLLING_370,370,613,91,49,42,327,286,0.5384615384615384,0.14685314685314685,0.14984709480122324,0.14845024469820556,0.4713999623880061,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37, ""TTSM_S1"": 10, ""TTSM_S2"": 43}",POOLED_2022_2024
ROLLING_380,380,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
ROLLING_380,380,203,18,5,13,101,102,0.2777777777777778,0.12745098039215685,0.04950495049504951,0.08866995073891626,0.16551662684657617,"{""TTSM_S2"": 18}",2023
ROLLING_380,380,205,38,24,14,119,86,0.631578947368421,0.16279069767441862,0.20168067226890757,0.18536585365853658,0.5277920917469744,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37}",2024
ROLLING_380,380,613,88,49,39,327,286,0.5568181818181818,0.13636363636363635,0.14984709480122324,0.14355628058727568,0.4885292316785728,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37, ""TTSM_S1"": 10, ""TTSM_S2"": 40}",POOLED_2022_2024
ROLLING_390,390,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
ROLLING_390,390,203,20,6,14,101,102,0.3,0.13725490196078433,0.0594059405940594,0.09852216748768473,0.1880293759508123,"{""TTSM_S2"": 20}",2023
ROLLING_390,390,205,38,24,14,119,86,0.631578947368421,0.16279069767441862,0.20168067226890757,0.18536585365853658,0.5277920917469744,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37}",2024
ROLLING_390,390,613,90,50,40,327,286,0.5555555555555556,0.13986013986013987,0.1529051987767584,0.1468189233278956,0.48803121175234154,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 37, ""TTSM_S1"": 10, ""TTSM_S2"": 42}",POOLED_2022_2024
ROLLING_400,400,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
ROLLING_400,400,203,21,6,15,101,102,0.2857142857142857,0.14705882352941177,0.0594059405940594,0.10344827586206896,0.1786005755939171,"{""TTSM_S2"": 21}",2023
ROLLING_400,400,205,33,22,11,119,86,0.6666666666666666,0.12790697674418605,0.18487394957983194,0.16097560975609757,0.5558191982099427,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 32}",2024
ROLLING_400,400,613,86,48,38,327,286,0.5581395348837209,0.13286713286713286,0.14678899082568808,0.1402936378466558,0.48905944834100273,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 32, ""TTSM_S1"": 10, ""TTSM_S2"": 43}",POOLED_2022_2024
ROLLING_410,410,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
ROLLING_410,410,203,18,5,13,101,102,0.2777777777777778,0.12745098039215685,0.04950495049504951,0.08866995073891626,0.16551662684657617,"{""TTSM_S2"": 18}",2023
ROLLING_410,410,205,23,14,9,119,86,0.6086956521739131,0.10465116279069768,0.11764705882352941,0.11219512195121951,0.4752484760247085,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 22}",2024
ROLLING_410,410,613,73,39,34,327,286,0.5342465753424658,0.11888111888111888,0.11926605504587157,0.11908646003262642,0.45949592527378263,"{""AR1_RM_LOGIT"": 1, ""RM_LOGIT"": 22, ""TTSM_S1"": 10, ""TTSM_S2"": 40}",POOLED_2022_2024
ROLLING_420,420,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
ROLLING_420,420,203,18,5,13,101,102,0.2777777777777778,0.12745098039215685,0.04950495049504951,0.08866995073891626,0.16551662684657617,"{""TTSM_S2"": 18}",2023
ROLLING_420,420,205,17,11,6,119,86,0.6470588235294118,0.06976744186046512,0.09243697478991597,0.08292682926829269,0.49166944053136585,"{""RM_LOGIT"": 17}",2024
ROLLING_420,420,613,67,36,31,327,286,0.5373134328358209,0.10839160839160839,0.11009174311926606,0.10929853181076672,0.459290119640338,"{""RM_LOGIT"": 17, ""TTSM_S1"": 10, ""TTSM_S2"": 40}",POOLED_2022_2024
ROLLING_430,430,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
ROLLING_430,430,203,18,5,13,101,102,0.2777777777777778,0.12745098039215685,0.04950495049504951,0.08866995073891626,0.16551662684657617,"{""TTSM_S2"": 18}",2023
ROLLING_430,430,205,21,14,7,119,86,0.6666666666666666,0.08139534883720931,0.11764705882352941,0.1024390243902439,0.5270425910141202,"{""RM_LOGIT"": 17, ""TTSM_S2"": 4}",2024
ROLLING_430,430,613,71,39,32,327,286,0.5492957746478874,0.11188811188811189,0.11926605504587157,0.11582381729200653,0.4733577135587444,"{""RM_LOGIT"": 17, ""TTSM_S1"": 10, ""TTSM_S2"": 44}",POOLED_2022_2024
ROLLING_440,440,205,32,20,12,107,98,0.625,0.12244897959183673,0.18691588785046728,0.15609756097560976,0.5117570946533401,"{""TTSM_S1"": 10, ""TTSM_S2"": 22}",2022
