week_start,weekly_return,sign,n_days,first_date,last_date
2023-09-18,0.0008480998515080218,1,5,2023-09-18,2023-09-22
2023-09-25,-0.04043656777390381,0,5,2023-09-25,2023-09-29
2023-10-02,-0.01545126381650574,0,4,2023-10-02,2023-10-05
2023-10-09,0.02663954663677759,1,4,2023-10-09,2023-10-12
2023-10-16,0.05548145543395333,1,4,2023-10-16,2023-10-19
2023-10-23,0.005307371196476396,1,4,2023-10-23,2023-10-26
2023-10-30,0.0005450868615780591,1,4,2023-10-30,2023-11-02
2023-11-06,-0.01376920537760484,0,4,2023-11-06,2023-11-09
2023-11-13,0.01165521638637157,1,4,2023-11-13,2023-11-16
2023-11-20,0.004390858292958377,1,3,2023-11-20,2023-11-22
2023-11-27,0.02314826594560049,1,4,2023-11-27,2023-11-30
2023-12-04,-0.003691704404553353,0,4,2023-12-04,2023-12-07
2023-12-11,0.004391075102572972,1,4,2023-12-11,2023-12-14
2023-12-18,0.004685178838867432,1,4,2023-12-18,2023-12-21
2023-12-25,0.009659784021229134,1,3,2023-12-26,2023-12-28
2024-01-01,-0.01070071993748423,0,3,2024-01-02,2024-01-04
2024-01-08,-0.007189356378776823,0,4,2024-01-08,2024-01-11
2024-01-15,-0.002674097393545627,0,3,2024-01-16,2024-01-18
2024-01-22,-0.001054366689610342,0,4,2024-01-22,2024-01-25
2024-01-29,0.01674335811762040,1,4,2024-01-29,2024-02-01
2024-02-05,-0.01470842095271863,0,5,2024-02-05,2024-02-09
2024-02-12,-0.005486032845862687,0,5,2024-02-12,2024-02-16
2024-02-19,0.01102151731004775,1,4,2024-02-20,2024-02-23
2024-02-26,0.02322147542577058,1,5,2024-02-26,2024-03-01
2024-03-04,0.04537181699912485,1,5,2024-03-04,2024-03-08
2024-03-11,-0.01061452806013086,0,5,2024-03-11,2024-03-15
2024-03-18,0.004402452407242241,1,5,2024-03-18,2024-03-22
2024-03-25,0.03108339350347533,1,4,2024-03-25,2024-03-28
2024-04-01,0.04270625112044490,1,5,2024-04-01,2024-04-05
2024-04-08,0.006433431927839406,1,5,2024-04-08,2024-04-12
2024-04-15,0.02054849326218910,1,5,2024-04-15,2024-04-19
2024-04-22,-0.02253635746738480,0,5,2024-04-22,2024-04-26
2024-04-29,-0.01526174561191407,0,5,2024-04-29,2024-05-03
2024-05-06,0.02532602259492134,1,5,2024-05-06,2024-05-10
2024-05-13,0.02302241693153939,1,5,2024-05-13,2024-05-17
2024-05-20,-0.03358762835514018,0,5,2024-05-20,2024-05-24
2024-05-27,-0.002704462244697448,0,4,2024-05-28,2024-05-31
2024-06-03,-0.01362550681458496,0,5,2024-06-03,2024-06-07
2024-06-10,0.01691914581308973,1,5,2024-06-10,2024-06-14
2024-06-17,-0.004598381190728196,0,4,2024-06-17,2024-06-21
2024-06-24,0.002387814010990197,1,5,2024-06-24,2024-06-28
