date,n_bars,close_mid,rv_5m,r3_5m,dr_5m,rs_plus_5m,rs_minus_5m,avg_spread_5m,max_spread_5m
2021-07-01,288,1778.96500000,0.00006306648254878810,-2.479016711265780e-8,0.00003469900450334173,0.00002836747804544636,0.00003469900450334173,0.4098923611111158,0.9439999999999600
2021-07-02,288,1787.53500000,0.00007267092393169166,2.992889755788404e-8,0.00003200110398485752,0.00004066981994683418,0.00003200110398485752,0.5910000000000130,1.114000000000033
2021-07-05,288,1797.48000000,0.00002354995085915642,6.556577483701881e-9,0.000008554474664061396,0.00001499547619509503,0.000008554474664061396,0.4812500000000305,0.7720000000001619
2021-07-06,288,1801.12000000,0.00006552562594847223,-3.138977907863088e-9,0.00003364904267396755,0.00003187658327450476,0.00003364904267396755,0.4174131944444339,0.9739999999999327
2021-07-07,288,1797.60000000,0.00005289084302879012,7.248317050258701e-9,0.00002549694406945371,0.00002739389895933641,0.00002549694406945371,0.4176527777777774,0.9839999999999236
2021-07-08,288,1805.32500000,0.00008718453924221553,-1.789933165936564e-9,0.00004226759718106988,0.00004491694206114573,0.00004226759718106988,0.4159999999999944,0.9339999999999691
2021-07-09,288,1808.34500000,0.00004472629479045097,1.034044892081481e-8,0.00002017560545548091,0.00002455068933497008,0.00002017560545548091,0.5696979166667041,1.014000000000124
2021-07-12,288,1809.50000000,0.00005214963628239202,-1.770193984851084e-9,0.00002400878593351299,0.00002814085034887908,0.00002400878593351299,0.4227152777777753,1.144000000000005
2021-07-13,288,1812.68000000,0.00008958623705761196,-4.689677655553833e-8,0.00004742970841384189,0.00004215652864377004,0.00004742970841384189,0.4054861111111165,0.7840000000001055
2021-07-14,288,1825.68000000,0.00005347812917459077,2.310676414253840e-8,0.00002080825573215142,0.00003266987344243936,0.00002080825573215142,0.4034791666666572,0.6839999999999691
2021-07-15,288,1827.53000000,0.00004274491480321550,-1.596213092049510e-9,0.00002129605766998567,0.00002144885713322988,0.00002129605766998567,0.4150486111111067,1.104000000000042
2021-07-16,288,1812.24000000,0.00004532305476368583,-1.737934843358866e-8,0.00002731723116677364,0.00001800582359691218,0.00002731723116677364,0.6788333333333314,1.384000000000015
2021-07-19,288,1817.38000000,0.00006980651912087061,1.643351441814680e-8,0.00003156460064501419,0.00003824191847585636,0.00003156460064501419,0.4279861111111079,1.194000000000187
2021-07-20,288,1808.73350000,0.00006368244543441700,-3.307067015991508e-8,0.00003609496272405888,0.00002758748271035811,0.00003609496272405888,0.4153229166666613,1.064000000000078
2021-07-21,288,1798.62000000,0.00004838849250785373,-6.255553706948739e-9,0.00002616979478072935,0.00002221869772712434,0.00002616979478072935,0.4186180555555489,1.044000000000096
2021-07-22,288,1803.19500000,0.00005073146037311431,9.347342556259962e-9,0.00002405790790436991,0.00002667355246874436,0.00002405790790436991,0.3965555555555527,0.7739999999998872
2021-07-23,288,1802.22500000,0.00004730266310967179,3.859842707518227e-9,0.00002287111830772770,0.00002443154480194409,0.00002287111830772770,0.5736597222221762,1.053999999999860
2021-07-26,288,1799.41000000,0.00003166578688907435,-6.146421220224812e-9,0.00001806068493362560,0.00001360510195544877,0.00001806068493362560,0.4053437500000001,0.8140000000000782
2021-07-27,288,1806.38000000,0.00004358808162875262,-1.411490862617153e-9,0.00002066155224694491,0.00002292652938180770,0.00002066155224694491,0.3954687500000039,0.8740000000000236
2021-07-28,288,1815.10000000,0.00005264787428414658,3.011065862130095e-8,0.00002000861114395993,0.00003263926314018670,0.00002000861114395993,0.4441388888888748,1.773999999999887
2021-07-29,288,1828.62850000,0.00003172339944525363,5.618454172775809e-9,0.00001300717011361213,0.00001871622933164148,0.00001300717011361213,0.3825381944444328,0.9839999999999236
2021-07-30,288,1814.01000000,0.00002668103357494687,-5.881794570288011e-9,0.00001600986282219947,0.00001067117075274739,0.00001600986282219947,0.6153263888889369,1.224000000000160
2021-08-02,288,1810.93850000,0.00003899210400507907,3.604754910361305e-10,0.00001872625233314608,0.00002026585167193294,0.00001872625233314608,0.3956805555555513,0.7639999999998963
2021-08-03,288,1813.23450000,0.00002368277212352149,1.489914804337417e-9,0.00001115087730446915,0.00001253189481905235,0.00001115087730446915,0.3919791666666639,0.6739999999999782
2021-08-04,288,1811.16000000,0.00004829888063287720,-1.553742446291935e-8,0.00002766847628398482,0.00002063040434889236,0.00002766847628398482,0.3826006944444431,0.6440000000000055
2021-08-05,288,1801.16000000,0.00005434681641511802,-8.422191757234813e-8,0.00003637585903503687,0.00001797095738008117,0.00003637585903503687,0.3865659722222305,0.7240000000001601
2021-08-06,288,1763.19500000,0.0001239981510562933,-3.862748338548841e-7,0.0001030773777760546,0.00002092077328023867,0.0001030773777760546,0.6188715277777513,1.253999999999905
2021-08-09,288,1737.39350000,0.0001011101437654810,-1.021849257597528e-8,0.00005386426406622631,0.00004724587969925481,0.00005386426406622631,0.3983576388888813,0.7839999999998781
2021-08-10,288,1733.93000000,0.00008380773874636755,-3.055304927710993e-8,0.00004735223986372193,0.00003645549888264566,0.00004735223986372193,0.3766250000000074,0.5140000000001237
2021-08-11,288,1750.73000000,0.00008520761847266661,5.840290399698252e-9,0.00003842628662799646,0.00004678133184467025,0.00003842628662799646,0.3858854166666659,0.6539999999999964
2021-08-12,288,1755.23500000,0.00004299720049203387,1.492028108000575e-9,0.00002029043657120234,0.00002270676392083154,0.00002029043657120234,0.3780902777777805,0.6440000000000055
2021-08-13,288,1779.86000000,0.00004273251548774771,2.575072907384925e-8,0.00001376284399241431,0.00002896967149533341,0.00001376284399241431,0.6316736111110686,1.283999999999878
2021-08-16,288,1786.02000000,0.00003911577419348673,1.198196276404428e-8,0.00001543261479980393,0.00002368315939368273,0.00001543261479980393,0.3867013888888893,0.9239999999999782
