model,MAPE,median_APE,worst_APE,MAE,RMSE,wins
vw,2.6721495777680135,1.96294035934745,8.83123619221082,85.13470186194078,125.18863072618252,8
patch_r1,3.074669837667887,2.7624009318052987,9.918938214454219,101.65919688940058,146.04096342132317,7
repro_svr,3.1300701099272303,2.6989727206998997,9.645291929932522,100.77901036085633,144.1756891082607,7
mom,3.29729687556857,2.7739525829323,10.73544419315177,103.9768974645221,147.9107047673716,14
rw,3.3023220233201385,2.91497975708502,9.625880596205832,107.46511627906976,153.0688774740404,7
