model,N,MAE,MAPE_pct,sMAPE_pct,median_abs_error,RMSE,Relative_MAE_vs_RW,monthly_win_rate_vs_RW,direction_accuracy,completed_years_beaten_vs_RW,max_completed_year_MAE_ratio_vs_RW,eligible,failed_gates
RW_R2_PIT,97,124.3917525773196,4.922519501154607,5.0376783225163635,73.0,190.94874359474682,1.0,0.0,0.0,0,1.0,False,MANDATORY_BENCHMARK_NOT_CANDIDATE
DRIFT_R2_PIT,97,152.00355658087616,6.245348793708262,6.204458474200482,106.42890442890462,249.11031871398055,1.221974555639399,0.4020618556701031,0.5154639175257731,2,2.0380773707911275,False,relative_mae_lt_1;mape_le_rw;median_abs_le_rw;beats_at_least_4_completed_years;no_year_ratio_gt_1_5
MOM3_R2_PIT,97,138.05428320554356,5.7021647967111395,5.665263415094356,97.56992829364981,205.2552815171278,1.1098346984035907,0.4639175257731959,0.5979381443298969,1,1.5449324149450363,False,relative_mae_lt_1;mape_le_rw;median_abs_le_rw;beats_at_least_4_completed_years;no_year_ratio_gt_1_5
DAMPED_TREND_R2_PIT,97,124.89007589437341,4.9546422032857755,4.989133620440514,71.83655369107646,190.68393531496474,1.0040060800393023,0.5773195876288659,0.6185567010309279,4,1.1435552982940185,False,relative_mae_lt_1;mape_le_rw
RIDGE_MACRO_R2,97,124.09772694533416,5.074164856299981,5.208597669538618,79.6527965806763,184.08985410134477,0.9976362931955423,0.5360824742268041,0.6701030927835051,3,1.7184301862008324,False,mape_le_rw;median_abs_le_rw;beats_at_least_4_completed_years;no_year_ratio_gt_1_5
HUBER_MACRO_R2,97,128.87749124816568,5.341043635618346,5.464202550785186,94.60216155325497,188.348576872285,1.0360613833144432,0.5051546391752577,0.6907216494845361,3,1.918786438281772,False,relative_mae_lt_1;mape_le_rw;median_abs_le_rw;beats_at_least_4_completed_years;no_year_ratio_gt_1_5
SVR_RBF_MACRO_R2,97,324.0038893110432,12.08955754111099,13.362376545193285,200.7982372228439,512.8028432156508,2.604705558028443,0.1134020618556701,0.44329896907216493,0,2.972507275571319,False,relative_mae_lt_1;mape_le_rw;median_abs_le_rw;beats_at_least_4_completed_years;no_year_ratio_gt_1_5
