date,n_bars,close_mid,rv_5m,r3_5m,dr_5m,rs_plus_5m,rs_minus_5m,avg_spread_5m,max_spread_5m
2018-01-01,276,1307.25500000,0.000007081128493156098,1.673545965447275e-9,0.000002506280062693939,0.000004574848430462158,0.000002506280062693939,0.405420289855,0.466000000000
2018-01-02,276,1313.70000000,0.00003052586302925911,-2.690909986520114e-9,0.00001537461001015775,0.00001515125301910137,0.00001537461001015775,0.229347826087,2.00400000000
2018-01-03,276,1308.08500000,0.00004860043095711487,-4.114431024689240e-8,0.00003389436600499331,0.00001470606495212159,0.00003389436600499331,0.223119565217,0.688000000000
2018-01-04,276,1321.97000000,0.00004351462360057402,2.641555751583040e-8,0.00001552437026431717,0.00002799025333625683,0.00001552437026431717,0.216148550725,0.436000000000
2018-01-05,276,1319.37000000,0.00004128058486282794,4.406013368211552e-8,0.00001591267611301916,0.00002536790874980877,0.00001591267611301916,0.235315217391,0.348000000000
2018-01-08,276,1318.88000000,0.00002379058013001132,-1.485402609412019e-9,0.00001271984780170627,0.00001107073232830506,0.00001271984780170627,0.218670289855,0.388000000000
2018-01-09,276,1310.62400000,0.00003126571581126391,-1.222281829406832e-8,0.00002024198688913401,0.00001102372892212991,0.00002024198688913401,0.221670289855,2.00400000000
2018-01-10,276,1317.62000000,0.00006673538018614165,6.048193765254937e-8,0.00002519716185925090,0.00004153821832689071,0.00002519716185925090,0.227028985507,0.688000000000
2018-01-11,276,1329.56800000,0.00002704342204985961,7.289812782545792e-9,0.00001015570562586366,0.00001688771642399593,0.00001015570562586366,0.231105072464,2.00200000000
2018-01-12,276,1337.70000000,0.00003320187268675525,-7.968413800531058e-9,0.00001613644516272214,0.00001706542752403309,0.00001613644516272214,0.250684782609,0.484000000000
2018-01-15,276,1341.21500000,0.00001664156340031676,-9.106059433389910e-10,0.000008981461987136564,0.000007660101413180197,0.000008981461987136564,0.264300724638,0.444000000000
2018-01-16,276,1335.08450000,0.00004822654121565638,-3.504328909204030e-8,0.00003038673358673427,0.00001783980762892213,0.00003038673358673427,0.225847826087,0.448000000000
2018-01-17,276,1327.31500000,0.00005256897873128719,-4.646850841728594e-8,0.00003602582944315042,0.00001654314928813679,0.00003602582944315042,0.224420289855,0.824000000000
2018-01-18,276,1332.30700000,0.00003928324462640829,8.171751040668140e-9,0.00001693897315900341,0.00002234427146740482,0.00001693897315900341,0.227213768116,0.521000000000
2018-01-19,276,1331.82000000,0.00001903693667399732,7.181179907650569e-9,0.000007803416767969326,0.00001123351990602800,0.000007803416767969326,0.278054347826,0.438000000000
2018-01-22,276,1336.31000000,0.00001897982634822263,-3.548210986167373e-10,0.000009347726341102102,0.000009632100007120541,0.000009347726341102102,0.221981884058,0.388000000000
2018-01-23,276,1341.15500000,0.00002381848025620745,1.905975302961540e-9,0.00001040393982919645,0.00001341454042701100,0.00001040393982919645,0.226340579710,0.822000000000
2018-01-24,276,1363.58000000,0.00004591987157471836,1.111877083958344e-8,0.00001633810836191271,0.00002958176321280565,0.00001633810836191271,0.228231884058,2.06400000000
2018-01-25,276,1352.09800000,0.0001070962369246993,-1.027528289960040e-7,0.00007211046358320832,0.00003498577334149098,0.00007211046358320832,0.225905797101,0.684000000000
2018-01-26,276,1349.54000000,0.00004635575286034982,-3.704475781235634e-8,0.00002936354707968394,0.00001699220578066587,0.00002936354707968394,0.331550724638,0.684000000000
2018-01-29,276,1336.28900000,0.00004130345939152319,-1.609204554766716e-8,0.00002641833623614265,0.00001488512315538051,0.00002641833623614265,0.215931159420,0.682000000000
2018-01-30,276,1340.80000000,0.00005901241381120290,1.507594701145326e-8,0.00002531477658238900,0.00003369763722881388,0.00002531477658238900,0.223496376812,0.684000000000
