month,actual,rw,mom,vw,patch_r1,vw_ape,patch_r1_ape,mom_ape,rw_ape,patch_v6,predicted_log_return,training_sample_count,patch_v6_ape
2023-01,1898.0,1798.0,1839.3504245964816,1812.910168610616,1835.087076998642,4.483131263929611,3.314695627047312,3.090072465938798,5.268703898840886,1795.6881107608515,-0.00030589963641358686,141,5.390510497320785
2023-02,1855.0,1898.0,1983.1536732272305,1919.7547075741832,1942.2264485648948,3.490819815319847,4.702234423983547,6.908553812788703,2.3180592991913747,1931.0629809686934,0.016580290357398386,142,4.100430240899914
2023-03,1913.0,1855.0,1901.5486072417525,1828.5969633875925,1830.521674997169,4.412077188311945,4.3114649766247295,0.5986091352978302,3.0318870883429168,1897.2273376277847,0.02166282333438474,143,0.8244988171571007
2023-04,2000.0,1913.0,1953.9565470793616,1948.0672228451567,1937.207325561976,2.596638857742164,3.1396337219012027,2.30217264603192,4.35,1930.7876387846693,0.010589796115074268,144,3.460618060766535
2023-05,1992.0,2000.0,2036.059817280876,1998.901945674,2032.207588593354,0.3464832165662645,2.0184532426382584,2.211838216911441,0.4016064257028112,2022.5520951135309,0.01055736759538961,145,1.533739714534682
2023-06,1943.0,1992.0,2040.302781383723,1971.080367020617,1965.0933032776093,1.4452067432123987,1.1370717075455103,5.007863169517393,2.521873391662378,2012.353514403281,0.009494919266017643,146,3.569403726365466
2023-07,1951.0,1943.0,1953.932556824965,1931.624226707704,1952.64931407224,0.9931201072422292,0.0845368565986689,0.1503104472047721,0.4100461301896463,1937.4128122634716,-0.0016682626191616423,147,0.6964217189404638
2023-08,1919.0,1951.0,1935.07915763035,1967.5858736352272,1930.987226140121,2.5318329148112166,0.6246600385680583,0.837892528939551,1.6675351745700884,1958.397792459507,0.004082981129450269,148,2.053037647707501
2023-09,1916.0,1919.0,1895.4072418380188,1903.9668112357367,1899.5239230408488,0.628036991871779,0.8599205093502722,1.074778609706745,0.1565762004175365,1954.5740438814496,0.018799545170606446,149,2.0132590752322335
2023-10,1916.0,1916.0,1907.155862076165,1892.5110054022373,1934.5731043964347,1.2259391752485758,0.969368705450663,0.461593837360907,0.0,1927.5295552121472,0.007911794597019517,150,0.6017513158740718
2023-11,1984.0,1916.0,1904.5262515083143,1950.7768270653053,1924.8818190931408,1.6745550874342103,2.9797470215150783,4.005733290911577,3.427419354838709,1952.1214512824756,0.02088486432975567,151,1.6067816893913498
2023-12,2026.0,1984.0,2006.4372485814672,2000.4964971164595,2000.81545126352,1.2588106062951865,1.2430675585626905,0.9655849663639092,2.073050345508391,2008.592190340699,0.010869984076289474,152,0.8592206149704313
2024-01,2034.0,2026.0,2064.2643598334344,2055.8093896792675,2003.065832522015,1.0722413804949604,1.5208538583080164,1.4879232956457402,0.3933136676499508,2025.7219407863709,-0.0032075673978197994,153,0.4069842287919936
