month,actual,rw,mom,vw,patch_r1,vw_ape,patch_r1_ape,mom_ape,rw_ape,patch_v4,predicted_log_return,patch_v4_ape
2023-01,1898.0,1798.0,1839.3504245964816,1812.910168610616,1835.087076998642,4.483131263929611,3.314695627047312,3.090072465938798,5.268703898840886,1806.2228212549821,0.004562889659903369,4.8354677947849245
2023-02,1855.0,1898.0,1983.1536732272305,1919.7547075741832,1942.2264485648948,3.490819815319847,4.702234423983547,6.908553812788703,2.3180592991913747,1920.8969183499596,0.01199152174764695,3.552394520213456
2023-03,1913.0,1855.0,1901.5486072417525,1828.5969633875925,1830.521674997169,4.412077188311945,4.3114649766247295,0.5986091352978302,3.0318870883429168,1865.2774973090502,0.005525138090745507,2.494642064346565
2023-04,2000.0,1913.0,1953.9565470793616,1948.0672228451567,1937.207325561976,2.596638857742164,3.1396337219012027,2.30217264603192,4.35,1943.5618005573529,0.015849578935270836,2.8219099721323575
2023-05,1992.0,2000.0,2036.059817280876,1998.901945674,2032.207588593354,0.3464832165662645,2.0184532426382584,2.211838216911441,0.4016064257028112,2013.3098420810707,0.00663287481007091,1.0697711888087678
2023-06,1943.0,1992.0,2040.302781383723,1971.080367020617,1965.0933032776093,1.4452067432123987,1.1370717075455103,5.007863169517393,2.521873391662378,1999.1081965516314,0.0035620202296181708,2.887709549749429
2023-07,1951.0,1943.0,1953.932556824965,1931.624226707704,1952.64931407224,0.9931201072422292,0.0845368565986689,0.1503104472047721,0.4100461301896463,1929.7997696548175,-0.0068169191533684614,1.0866340515213988
2023-08,1919.0,1951.0,1935.07915763035,1967.5858736352272,1930.987226140121,2.5318329148112166,0.6246600385680583,0.837892528939551,1.6675351745700884,1954.1173289753024,0.0015965357119110402,1.8299806657270645
2023-09,1916.0,1919.0,1895.4072418380188,1903.9668112357367,1899.5239230408488,0.628036991871779,0.8599205093502722,1.074778609706745,0.1565762004175365,1963.9318221238125,0.023144278517927663,2.5016608624119248
2023-10,1916.0,1916.0,1907.155862076165,1892.5110054022373,1934.5731043964347,1.2259391752485758,0.969368705450663,0.461593837360907,0.0,1910.2430131276456,-0.0030092135794322905,0.30046904344229886
2023-11,1984.0,1916.0,1904.5262515083143,1950.7768270653053,1924.8818190931408,1.6745550874342103,2.9797470215150783,4.005733290911577,3.427419354838709,1941.9180633053313,0.013436497517554935,2.121065357594188
2023-12,2026.0,1984.0,2006.4372485814672,2000.4964971164595,2000.81545126352,1.2588106062951865,1.2430675585626905,0.9655849663639092,2.073050345508391,2008.8557706199224,0.012450282765259946,0.8462107295201187
2024-01,2034.0,2026.0,2064.2643598334344,2055.8093896792675,2003.065832522015,1.0722413804949604,1.5208538583080164,1.4879232956457402,0.3933136676499508,2012.885026452594,-0.006494376322795592,1.038100961032741
2024-02,2023.0,2034.0,2075.092649507012,2036.8704302042413,2037.4947463196288,0.6856366882966536,0.7164975936544143,2.575019748245778,0.5437469105289174,2052.0981273190578,0.008858448869724034,1.4383651665377049
2024-03,2158.0,2023.0,2036.291082509656,2019.72764791034,2050.323676746568,6.40743058802873,4.989634997842085,5.639894230321779,6.255792400370713,2051.496649820218,0.013988041674028562,4.9352803605089
2024-04,2331.0,2158.0,2204.9531739867484,2204.5131232328813,2221.5922084807403,5.426292439601832,4.693598949775192,5.407414243382736,7.421707421707421,2221.874396095843,0.029169295374149584,4.6814930889814175
2024-05,2351.0,2331.0,2440.938766194445,2340.59872784917,2351.000237545209,0.4424190621365466,1.0104007191603433e-05,3.825553645021063,0.8507018290089324,2338.021178187804,0.003007561204933007,0.5520553727008167
2024-06,2326.0,2351.0,2472.844027125159,2367.829062777653,2366.1940170926164,1.798326000758933,1.728031689278434,6.313156798158162,1.0748065348237317,2377.594170665546,0.01124835420779835,2.2181500716055798
