month,actual,rw,mom,vw,patch_r1,vw_ape,patch_r1_ape,mom_ape,rw_ape,patch_v7,predicted_log_return,training_sample_count,patch_v7_ape
2023-01,1898.0,1798.0,1839.3504245964816,1812.910168610616,1835.087076998642,4.483131263929611,3.314695627047312,3.090072465938798,5.268703898840886,1812.86210804225,0.009212674809388921,141,4.485663432968918
2023-02,1855.0,1898.0,1983.1536732272305,1919.7547075741832,1942.2264485648948,3.490819815319847,4.702234423983547,6.908553812788703,2.3180592991913747,1908.4980453250569,0.004826240724236042,142,2.8839916617281327
2023-03,1913.0,1855.0,1901.5486072417525,1828.5969633875925,1830.521674997169,4.412077188311945,4.3114649766247295,0.5986091352978302,3.0318870883429168,1870.105744509663,0.007264276090621635,143,2.2422506790557737
2023-04,2000.0,1913.0,1953.9565470793616,1948.0672228451567,1937.207325561976,2.596638857742164,3.1396337219012027,2.30217264603192,4.35,1913.9504283278452,0.0018311666325528941,144,4.30247858360774
2023-05,1992.0,2000.0,2036.059817280876,1998.901945674,2032.207588593354,0.3464832165662645,2.0184532426382584,2.211838216911441,0.4016064257028112,2015.2071915948925,0.006919254920292772,145,1.1650196583781371
2023-06,1943.0,1992.0,2040.302781383723,1971.080367020617,1965.0933032776093,1.4452067432123987,1.1370717075455103,5.007863169517393,2.521873391662378,2002.8289342748556,0.004750627759796677,146,3.079204028556642
2023-07,1951.0,1943.0,1953.932556824965,1931.624226707704,1952.64931407224,0.9931201072422292,0.0845368565986689,0.1503104472047721,0.4100461301896463,1980.679673532794,0.020418311534057265,147,1.5212544096767766
2023-08,1919.0,1951.0,1935.07915763035,1967.5858736352272,1930.987226140121,2.5318329148112166,0.6246600385680583,0.837892528939551,1.6675351745700884,1938.2066367423017,-0.00628057349872857,148,1.0008669485305746
2023-09,1916.0,1919.0,1895.4072418380188,1903.9668112357367,1899.5239230408488,0.628036991871779,0.8599205093502722,1.074778609706745,0.1565762004175365,1938.3912968921188,0.010485656509252705,149,1.1686480632629863
2023-10,1916.0,1916.0,1907.155862076165,1892.5110054022373,1934.5731043964347,1.2259391752485758,0.969368705450663,0.461593837360907,0.0,1930.346645722639,0.009372230787542124,150,0.7487810919957774
