month,actual,rw,mom,vw,patch_r1,vw_ape,patch_r1_ape,mom_ape,rw_ape,patch_repro,predicted_log_return,patch_repro_ape
2023-01,1898.0,1798.0,1839.3504245964816,1812.910168610616,1835.087076998642,4.483131263929611,3.314695627047312,3.090072465938798,5.268703898840886,1802.353562014198,0.00241840922626102,5.039327607260384
2023-02,1855.0,1898.0,1983.1536732272305,1919.7547075741832,1942.2264485648948,3.490819815319847,4.702234423983547,6.908553812788703,2.3180592991913747,1914.4268978038335,0.008617607578320197,3.203606350610972
2023-03,1913.0,1855.0,1901.5486072417525,1828.5969633875925,1830.521674997169,4.412077188311945,4.3114649766247295,0.5986091352978302,3.0318870883429168,1855.2288172836634,0.00012334402821057022,3.0199259130338016
2023-04,2000.0,1913.0,1953.9565470793616,1948.0672228451567,1937.207325561976,2.596638857742164,3.1396337219012027,2.30217264603192,4.35,1914.6523739913646,0.0008633877544563517,4.267381300431771
2023-05,1992.0,2000.0,2036.059817280876,1998.901945674,2032.207588593354,0.3464832165662645,2.0184532426382584,2.211838216911441,0.4016064257028112,2011.1657269692816,0.005567337063418054,0.9621348880161471
2023-06,1943.0,1992.0,2040.302781383723,1971.080367020617,1965.0933032776093,1.4452067432123987,1.1370717075455103,5.007863169517393,2.521873391662378,1992.261306498481,0.00013116935800844276,2.535322001980492
2023-07,1951.0,1943.0,1953.932556824965,1931.624226707704,1952.64931407224,0.9931201072422292,0.0845368565986689,0.1503104472047721,0.4100461301896463,1947.1931422391008,0.002155750992133554,0.19512341162989338
2023-08,1919.0,1951.0,1935.07915763035,1967.5858736352272,1930.987226140121,2.5318329148112166,0.6246600385680583,0.837892528939551,1.6675351745700884,1955.0248337071732,0.0020608343791925984,1.8772711676484226
2023-09,1916.0,1919.0,1895.4072418380188,1903.9668112357367,1899.5239230408488,0.628036991871779,0.8599205093502722,1.074778609706745,0.1565762004175365,1913.6337481090293,-0.0028002964803572894,0.12349957677300187
2023-10,1916.0,1916.0,1907.155862076165,1892.5110054022373,1934.5731043964347,1.2259391752485758,0.969368705450663,0.461593837360907,0.0,1915.2747004278424,-0.00037862050494114063,0.03785488372430114
2023-11,1984.0,1916.0,1904.5262515083143,1950.7768270653053,1924.8818190931408,1.6745550874342103,2.9797470215150783,4.005733290911577,3.427419354838709,1927.2943310834376,0.005877438792526446,2.8581486349073812
2023-12,2026.0,1984.0,2006.4372485814672,2000.4964971164595,2000.81545126352,1.2588106062951865,1.2430675585626905,0.9655849663639092,2.073050345508391,1986.6922190653079,0.0013560454093781704,1.9401668773293246
2024-01,2034.0,2026.0,2064.2643598334344,2055.8093896792675,2003.065832522015,1.0722413804949604,1.5208538583080164,1.4879232956457402,0.3933136676499508,2043.4945150888907,0.008597934115218697,0.46679031902117474
2024-02,2023.0,2034.0,2075.092649507012,2036.8704302042413,2037.4947463196288,0.6856366882966536,0.7164975936544143,2.575019748245778,0.5437469105289174,2022.4942949456313,-0.005672748473097122,0.024997778268349886
2024-03,2158.0,2023.0,2036.291082509656,2019.72764791034,2050.323676746568,6.40743058802873,4.989634997842085,5.639894230321779,6.255792400370713,2037.0165105119686,0.006904684334002653,5.606278474885607
2024-04,2331.0,2158.0,2204.9531739867484,2204.5131232328813,2221.5922084807403,5.426292439601832,4.693598949775192,5.407414243382736,7.421707421707421,2167.8191542154636,0.004539797309875859,7.000465284621894
2024-05,2351.0,2331.0,2440.938766194445,2340.59872784917,2351.000237545209,0.4424190621365466,1.0104007191603433e-05,3.825553645021063,0.8507018290089324,2339.0686553006544,0.0034554795334901245,0.5075008379134655
2024-06,2326.0,2351.0,2472.844027125159,2367.829062777653,2366.1940170926164,1.798326000758933,1.728031689278434,6.313156798158162,1.0748065348237317,2340.9356929825276,-0.0042900513185915035,0.6421192167896647
2024-07,2398.0,2326.0,2386.563656742873,2323.4170695392827,2342.692134797303,3.1102139474861263,2.306416397109968,0.4769117288209837,3.0025020850708923,2312.3819327040164,-0.005871921123430823,3.5703947996657033
2024-08,2470.0,2398.0,2421.101264026976,2443.552476227449,2446.5924464644786,1.0707499503057083,0.9476742322073444,1.9797059098390293,2.91497975708502,2410.9708581170826,0.005394455468436199,2.389843800927831
2024-09,2571.0,2470.0,2511.451273397274,2515.860208522791,2499.9786720432858,2.144682671225562,2.7624009318052987,2.3161698406350144,3.928432516530533,2480.6205134144166,0.004290585262390401,3.5153437022786247
2024-10,2690.0,2571.0,2658.3027076770195,2620.766778671481,2585.780742201301,2.573725699944944,3.874321851252746,1.1783380045717655,4.4237918215613385,2600.5757259817083,0.011437925300888052,3.3243224542115883
2024-11,2651.0,2690.0,2795.090410352186,2727.2644749948863,2739.7678519660863,2.876819124665648,3.3484666905351284,5.435322910305023,1.4711429649188985,2644.895398179999,-0.016909676087379033,0.2302754364391128
2024-12,2648.0,2651.0,2715.2231604821027,2652.4268504138413,2632.490025610177,0.167177130432073,0.5857241083770064,2.5386389910159624,0.1132930513595166,2665.4267213042685,0.005427238057443717,0.6581088105841594
2025-01,2710.0,2648.0,2675.058766588142,2656.804316261684,2661.09037863034,1.96294035934745,1.8047830763712107,1.2893444063416186,2.2878228782287824,2653.7427051582436,0.002166347076240041,2.075914938810201
2025-02,2895.0,2710.0,2717.0316438495006,2808.203118791661,2764.792927504148,2.9981651540013496,4.497653626799727,6.147438899844539,6.390328151986183,2716.6974738698163,0.002468343703532966,6.158981904324133
