date,n_bars,close_mid,rv_5m,r3_5m,dr_5m,rs_plus_5m,rs_minus_5m,avg_spread_5m,max_spread_5m
2020-01-01,288,1519.62000000,0.000009278245934316984,1.062921900947341e-8,0.000002294016399340560,0.000006984229534976420,0.000002294016399340560,0.8935694444445524,1.100000000000136
2020-01-02,288,1538.86000000,0.00003270534765147148,9.180569117505532e-9,0.00001194550056602248,0.00002075984708544902,0.00001194550056602248,0.3044479166666715,0.9600000000000364
2020-01-03,288,1552.16000000,0.00004716453754509515,-1.063171291472792e-8,0.00002336030568063459,0.00002380423186446056,0.00002336030568063459,0.5719687499999869,1.289999999999964
2020-01-06,288,1559.30350000,0.00008384470818051195,-6.646160902372089e-8,0.00005619679918529191,0.00002764790899522004,0.00005619679918529191,0.2927673611111064,0.7500000000000000
2020-01-07,288,1593.24500000,0.0002133019886501962,1.897871898993123e-8,0.00009371650466531953,0.0001195854839848767,0.00009371650466531953,0.3172326388888859,1.000000000000000
2020-01-08,288,1558.47000000,0.0002080530336607455,-1.940210259566108e-7,0.0001277447473650297,0.00008030828629571561,0.0001277447473650297,0.3333923611111136,1.269999999999982
2020-01-09,288,1547.17500000,0.00009682703172300462,-4.748826443508378e-8,0.00005338983494295844,0.00004343719678004599,0.00005338983494295844,0.3192638888888932,0.9900000000000091
2020-01-10,288,1562.16000000,0.00005505584105975332,8.013280025815387e-8,0.00001813814815403669,0.00003691769290571663,0.00001813814815403669,0.4131562499999977,0.7500000000000000
2020-01-13,288,1539.01850000,0.00004085507291375582,-2.539150848095489e-8,0.00002847453600195525,0.00001238053691180061,0.00002847453600195525,0.2952152777777736,0.7500000000000000
2020-01-14,288,1552.10500000,0.00003681084871406404,2.478016610127451e-9,0.00001565116787307049,0.00002115968084099354,0.00001565116787307049,0.3312083333333338,1.500000000000000
2020-01-15,288,1555.87000000,0.00002895153281981643,-4.062573743222317e-9,0.00001464455540351102,0.00001430697741630538,0.00001464455540351102,0.3075763888888861,0.9800000000000182
2020-01-16,288,1555.72650000,0.00002583636620148089,-4.862819390397318e-9,0.00001447755795721291,0.00001135880824426800,0.00001447755795721291,0.3073715277777838,0.9800000000000182
2020-01-17,288,1557.32000000,0.00002239019510297919,8.321886347847467e-10,0.00001065401802763718,0.00001173617707534203,0.00001065401802763718,0.4096319444444332,0.7500000000000000
2020-01-20,288,1566.60150000,0.00002028063743730292,2.277721980479840e-8,0.000005392234317174317,0.00001488840312012860,0.000005392234317174317,0.3480347222222251,0.6340000000000146
2020-01-21,288,1553.07000000,0.00004778876797607986,-2.632606315988131e-9,0.00002732462127269376,0.00002046414670338608,0.00002732462127269376,0.3107083333333346,1.000000000000000
2020-01-22,288,1558.94000000,0.00003005084245980686,-3.257241714620167e-9,0.00001533907945461631,0.00001471176300519055,0.00001533907945461631,0.3050381944444385,1.019999999999982
2020-01-23,288,1559.76350000,0.00004154950487169817,-2.920051654894308e-10,0.00002135395469892723,0.00002019555017277091,0.00002135395469892723,0.3076562499999969,0.9700000000000273
2020-01-24,288,1571.83000000,0.00004236578310011185,1.211838885564349e-8,0.00001712484293592382,0.00002524094016418806,0.00001712484293592382,0.4103576388888912,0.7500000000000000
